,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
118,Bolivia (Plurinational State of),NMC622,Pyro,-5.0521157715028115,baseline,baseline
119,Bolivia (Plurinational State of),NMC811,Pyro,-6.653970344460659,baseline,baseline
120,Bosnia Herzegovina,LFP,,,baseline,baseline
121,Bosnia Herzegovina,NCA,,,baseline,baseline
122,Bosnia Herzegovina,NMC111,,,baseline,baseline
123,Bosnia Herzegovina,NMC523,,,baseline,baseline
124,Bosnia Herzegovina,NMC622,,,baseline,baseline
125,Bosnia Herzegovina,NMC811,,,baseline,baseline
126,Botswana,LFP,Pyro,0.0,baseline,baseline
127,Botswana,NCA,Pyro,-12.350333252440818,baseline,baseline
128,Botswana,NMC111,Pyro,-37.7283703844367,baseline,baseline
129,Botswana,NMC523,Pyro,-32.56767003849211,baseline,baseline
130,Botswana,NMC622,Pyro,-53.345902088206536,baseline,baseline
131,Botswana,NMC811,Pyro,-62.55795064447394,baseline,baseline
132,Brazil,LFP,Pyro,0.0,baseline,baseline
133,Brazil,NCA,Pyro,4.778142814723859,baseline,baseline
134,Brazil,NMC111,Pyro,3.924291165506455,baseline,baseline
135,Brazil,NMC523,Pyro,3.6560252257059904,baseline,baseline
136,Brazil,NMC622,Pyro,3.7212017250582075,baseline,baseline
137,Brazil,NMC811,Pyro,3.539746178521365,baseline,baseline
138,Brunei Darussalam,LFP,,,baseline,baseline
139,Brunei Darussalam,NCA,,,baseline,baseline
140,Brunei Darussalam,NMC111,,,baseline,baseline
141,Brunei Darussalam,NMC523,,,baseline,baseline
142,Brunei Darussalam,NMC622,,,baseline,baseline
143,Brunei Darussalam,NMC811,,,baseline,baseline
144,Bulgaria,LFP,,,baseline,baseline
145,Bulgaria,NCA,,,baseline,baseline
146,Bulgaria,NMC111,,,baseline,baseline
147,Bulgaria,NMC523,,,baseline,baseline
148,Bulgaria,NMC622,,,baseline,baseline
149,Bulgaria,NMC811,,,baseline,baseline
150,Burkina Faso,LFP,Pyro,0.0,baseline,baseline
151,Burkina Faso,NCA,Pyro,2.7919464688361,baseline,baseline
152,Burkina Faso,NMC111,Pyro,-0.8950246684615228,baseline,baseline
153,Burkina Faso,NMC523,Pyro,-0.5374498516933608,baseline,baseline
154,Burkina Faso,NMC622,Pyro,-2.880397898004248,baseline,baseline
155,Burkina Faso,NMC811,Pyro,-4.109143832435197,baseline,baseline
156,Burundi,LFP,,,baseline,baseline
157,Burundi,NCA,,,baseline,baseline
158,Burundi,NMC111,,,baseline,baseline
159,Burundi,NMC523,,,baseline,baseline
160,Burundi,NMC622,,,baseline,baseline
161,Burundi,NMC811,,,baseline,baseline
162,C?te d'Ivoire,LFP,Pyro,0.0,baseline,baseline
