,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Pyro,0.0
11,Afghanistan,NCA,Pyro,-2727.4174982932755
7,Afghanistan,NMC111,Pyro,-6350.071142446934
10,Afghanistan,NMC523,Pyro,-5562.109009894961
8,Afghanistan,NMC622,Pyro,-8570.061316870719
9,Afghanistan,NMC811,Pyro,-23170.53101613936
18,Albania,LFP,Pyro,-271.17146495849096
23,Albania,NCA,Pyro,-192.1020555592647
19,Albania,NMC111,Pyro,-272.9737688699776
22,Albania,NMC523,Pyro,-254.24100941270382
20,Albania,NMC622,Pyro,-390.62514281467105
21,Albania,NMC811,Pyro,-523.759902247479
258,Algeria,LFP,Pyro,-401.5960882098014
263,Algeria,NCA,Pyro,-66.9622864886621
259,Algeria,NMC111,Pyro,-117.03154342172122
262,Algeria,NMC523,Pyro,-140.53604065813954
260,Algeria,NMC622,Pyro,-243.08800871329777
261,Algeria,NMC811,Pyro,-316.10085058607007
24,Andorra,LFP,Pyro,-7332.114639232391
29,Andorra,NCA,Pyro,-1178.9254654309373
25,Andorra,NMC111,Pyro,-1922.9100076327202
28,Andorra,NMC523,Pyro,-2451.1420556971357
26,Andorra,NMC622,Pyro,-4186.155279348164
27,Andorra,NMC811,Pyro,-5594.997168775847
12,Angola,LFP,Pyro,-9780.357949720112
17,Angola,NCA,Pyro,-225.83623108496639
13,Angola,NMC111,Pyro,-404.7409583535146
16,Angola,NMC523,Pyro,-466.89346449294527
14,Angola,NMC622,Pyro,-784.5253822449988
15,Angola,NMC811,Pyro,-1861.527433844201
36,Argentina,LFP,Pyro,-163.3168036373744
41,Argentina,NCA,Pyro,-17.51199957720567
37,Argentina,NMC111,Pyro,-42.685595595431145
40,Argentina,NMC523,Pyro,-42.643025053611055
38,Argentina,NMC622,Pyro,-69.28676033117797
39,Argentina,NMC811,Pyro,-84.42741924706384
42,Armenia,LFP,Pyro,0.0
47,Armenia,NCA,Pyro,-246.31274211510646
43,Armenia,NMC111,Pyro,-583.9962097525594
46,Armenia,NMC523,Pyro,-495.77156316779804
44,Armenia,NMC622,Pyro,-766.8965940794262
45,Armenia,NMC811,Pyro,-962.2532587844998
0,Aruba,LFP,Pyro,0.0
5,Aruba,NCA,Pyro,-300.7193668948003
1,Aruba,NMC111,Pyro,-722.3747162324707
4,Aruba,NMC523,Pyro,-644.3723019039566
2,Aruba,NMC622,Pyro,-1027.26853210411
3,Aruba,NMC811,Pyro,-1200.1454583498034
48,Australia,LFP,Pyro,-40.95708266144581
53,Australia,NCA,Pyro,-3.7983510885347305
49,Australia,NMC111,Pyro,-15.299550451705116
52,Australia,NMC523,Pyro,-13.25793866493734
50,Australia,NMC622,Pyro,-21.87939118304901
51,Australia,NMC811,Pyro,-26.071743728481618
54,Austria,LFP,Pyro,-10.644781160900207
59,Austria,NCA,Pyro,-1.901721934944413
55,Austria,NMC111,Pyro,-5.090994406055998
58,Austria,NMC523,Pyro,-4.781347435061588
56,Austria,NMC622,Pyro,-9.004563525915742
57,Austria,NMC811,Pyro,-13.637598306843667
60,Azerbaijan,LFP,Pyro,-384.6864982787832
65,Azerbaijan,NCA,Pyro,-67.40972651085903
61,Azerbaijan,NMC111,Pyro,-163.1990831612792
64,Azerbaijan,NMC523,Pyro,-141.90394468573774
62,Azerbaijan,NMC622,Pyro,-219.9528593602659
63,Azerbaijan,NMC811,Pyro,-260.8031165358603
108,Bahamas,LFP,Pyro,0.0
113,Bahamas,NCA,Pyro,-55510.935719030356
109,Bahamas,NMC111,Pyro,0.0
112,Bahamas,NMC523,Pyro,0.0
110,Bahamas,NMC622,Pyro,0.0
111,Bahamas,NMC811,Pyro,0.0
102,Bahrain,LFP,Pyro,0.0
107,Bahrain,NCA,Pyro,-407.0848709516979
103,Bahrain,NMC111,Pyro,-621.0479988219473
106,Bahrain,NMC523,Pyro,-738.510742237545
104,Bahrain,NMC622,Pyro,-1343.1462802981873
105,Bahrain,NMC811,Pyro,-4361.491631993321
90,Bangladesh,LFP,Pyro,-13320.289283005734
95,Bangladesh,NCA,Pyro,-1675.8143503130304
91,Bangladesh,NMC111,Pyro,-2609.4535143607004
94,Bangladesh,NMC523,Pyro,-4784.211815206503
92,Bangladesh,NMC622,Pyro,-8479.04363772831
93,Bangladesh,NMC811,Pyro,-9756.0448583885
144,Barbados,LFP,Pyro,0.0
149,Barbados,NCA,Pyro,-703.3697304929807
145,Barbados,NMC111,Pyro,-1744.644505650804
148,Barbados,NMC523,Pyro,-1513.6621931770576
146,Barbados,NMC622,Pyro,-2406.4457511976216
147,Barbados,NMC811,Pyro,-2826.2219556831906
120,Belarus,LFP,Pyro,-193.46544736215193
125,Belarus,NCA,Pyro,-29.965501894590133
121,Belarus,NMC111,Pyro,-76.21609774377757
124,Belarus,NMC523,Pyro,-66.05817538312357
122,Belarus,NMC622,Pyro,-103.09157163619439
123,Belarus,NMC811,Pyro,-122.07370983756883
72,Belgium,LFP,Pyro,-29.99456092583603
77,Belgium,NCA,Pyro,-13.044154911055976
73,Belgium,NMC111,Pyro,-20.558762299727945
76,Belgium,NMC523,Pyro,-19.190487495842245
74,Belgium,NMC622,Pyro,-30.714411040024114
75,Belgium,NMC811,Pyro,-42.60952143473285
78,Benin,LFP,Pyro,0.0
