,country,total_netprofits,scrap_sum,net_profit
0,Australia,-11407044.994621143,8999.755361057585,-1.2674838967267963
1,Belgium,-30733385.582656637,8000.0,-3.8416731978320793
2,Brazil,-4174744.0485145934,10000.0,-0.4174744048514593
3,Canada,94571782.154205,32538.36166947054,2.9064703107943495
4,Czechia,-19336381.019288555,1000.0,-19.336381019288552
5,Finland,-29463174.003257938,6999.106145858992,-4.209562391147585
6,France,203684676.3842208,78000.0,2.611342004925908
7,Germany,575734289.6964086,159000.0,3.620970375449111
8,Hungary,257360072.9070103,84999.88402405258,3.027769694770226
9,India,31033133.026700236,19558.23901093483,1.5867038443159374
10,Italy,191750839.47970286,77000.0,2.4902706425935435
11,Japan,5732633.454428166,11069.475664692785,0.5178775967422722
12,Korea,236737829.19456226,51098.65603045887,4.632956081143262
13,Netherlands,4267651.756068282,23999.999999999996,0.17781882316951178
14,Norway,80664922.78595152,40390.67812807183,1.9971173182628195
15,Poland,156958358.06743675,63999.0020529664,2.4525125866421478
16,Romania,-19400913.935625933,1000.0000000000001,-19.40091393562593
17,Russian Federation,-11245060.39170394,7965.564690799165,-1.4117091290078712
18,Serbia,-18983832.266943373,999.6609731588374,-18.99027047835647
19,Slovakia,-19356179.223640606,1000.0,-19.356179223640606
20,Spain,161348835.8316851,65095.82715663756,2.4786356188920937
21,Sweden,36675492.79339739,35529.09049646008,1.0322665815791578
22,Switzerland,94345545.26859178,48999.82318468962,1.9254262390495884
23,Thailand,144487800.6340392,41999.25986493704,3.440246354309315
24,Turkey,-6055574.046741255,9999.578088617543,-0.6055829549082952
25,USA,1738754749.2669928,293476.7238644335,5.924676841050538
26,United Kingdom,418599756.9382904,94999.58205473078,4.406332616254336
27,Viet Nam,-19013221.51370983,4000.0,-4.7533053784274575
