,country,total_netprofits,scrap_sum,net_profit
0,Australia,-75207793.64649609,6739.755361057585,-11.158831384451716
1,Belgium,-89286772.4423827,8000.0,-11.160846555297836
2,Brazil,-72290019.31270847,10000.0,-7.2290019312708464
3,Canada,-33529821.25445386,32538.36166947054,-1.0304704826584297
4,Czechia,-48937556.69458524,1000.0,-48.93755669458524
5,Finland,-83395620.21235138,6519.106145858992,-12.792493072892393
6,France,11336285.736023046,78000.0,0.1453369966156801
7,Germany,242945307.74735197,159000.0,1.5279579103607044
8,Hungary,42327992.96012675,85038.8840240511,0.49774868809608724
9,India,-73483021.40572189,6466.239010934833,-11.364105360389138
10,Italy,1632336.0632034317,77000.0,0.02119916965199262
11,Japan,-32345701.177614704,28809.47566469219,-1.1227452229287316
12,Korea,376853865.7886559,138617.6560304561,2.7186570353336243
13,Netherlands,-89086711.9936949,23999.999999999996,-3.7119463330706215
14,Norway,-72105829.23185696,15772.678128071828,-4.571565376936512
15,Poland,-90176882.81943487,23624.002052966407,-3.817172154711677
16,Romania,-49190255.29139039,1000.0000000000001,-49.190255291390386
17,Russian Federation,-70328551.2729239,5378.564690799167,-13.075709843786266
18,Serbia,-25443784.637276124,199.6609731588374,-127.43494251645606
19,Slovakia,-49032549.052604675,1000.0,-49.03254905260468
20,Spain,-11151651.58734703,67999.82715663758,-0.1639952931300723
21,Sweden,-84629395.40450944,28071.090496460078,-3.0148239312320864
22,Switzerland,-81414918.1421196,12891.823184689612,-6.315236951031745
23,Thailand,-70371510.80339572,5434.2598649370375,-12.949603543519732
24,Turkey,-75662375.72675663,9601.578088617543,-7.880202090576412
25,USA,980685157.7902949,363969.72386443126,2.6944141050467514
26,United Kingdom,88093926.91483587,80993.58205473078,1.0876655246005427
27,Viet Nam,-65749357.24380242,4000.0,-16.437339310950605
