,country,type,recycling_m,net_profit
0,Afghanistan,LFP,Direct,0.0
3,Afghanistan,NCA,Direct,0.0
6,Afghanistan,NMC111,Direct,0.0
9,Afghanistan,NMC523,Direct,0.0
12,Afghanistan,NMC622,Direct,0.0
15,Afghanistan,NMC811,Direct,0.0
18,Albania,LFP,Direct,-799.0861554495694
21,Albania,NCA,Direct,-48.96652876524704
24,Albania,NMC111,Direct,-71.68472160501173
27,Albania,NMC523,Direct,-72.90899945578924
30,Albania,NMC622,Direct,-91.96887607488556
33,Albania,NMC811,Direct,-114.47390822035838
36,Algeria,LFP,Direct,0.0
39,Algeria,NCA,Direct,-33.01163191021766
42,Algeria,NMC111,Direct,-71.8226860459193
45,Algeria,NMC523,Direct,-76.07790201437838
48,Algeria,NMC622,Direct,-101.55216728546777
51,Algeria,NMC811,Direct,-115.95165475140331
54,Andorra,LFP,Direct,0.0
57,Andorra,NCA,Direct,-347.1186343725578
60,Andorra,NMC111,Direct,-591.6898402989634
63,Andorra,NMC523,Direct,-612.9312447072106
66,Andorra,NMC622,Direct,-858.4851449680364
69,Andorra,NMC811,Direct,-981.9303219899493
72,Angola,LFP,Direct,0.0
75,Angola,NCA,Direct,-133.40230126809504
78,Angola,NMC111,Direct,-236.94570220519984
81,Angola,NMC523,Direct,-257.7420577981488
84,Angola,NMC622,Direct,-369.18282314476863
87,Angola,NMC811,Direct,-491.2630491816769
90,Argentina,LFP,Direct,0.0
93,Argentina,NCA,Direct,-7.82705667431467
96,Argentina,NMC111,Direct,-28.40094032162509
99,Argentina,NMC523,Direct,-31.954780779486782
102,Argentina,NMC622,Direct,-36.48042890962064
105,Argentina,NMC811,Direct,-40.46097390234538
108,Armenia,LFP,Direct,0.0
111,Armenia,NCA,Direct,0.0
114,Armenia,NMC111,Direct,-339.3738945839009
117,Armenia,NMC523,Direct,0.0
120,Armenia,NMC622,Direct,0.0
123,Armenia,NMC811,Direct,-105.69855084245836
126,Aruba,LFP,Direct,0.0
129,Aruba,NCA,Direct,-185.00570228072854
132,Aruba,NMC111,Direct,-361.72514213459567
135,Aruba,NMC523,Direct,-338.34791029417363
138,Aruba,NMC622,Direct,0.0
141,Aruba,NMC811,Direct,-73.09691499262844
144,Australia,LFP,Direct,0.0
147,Australia,NCA,Direct,-6.959144060959109
150,Australia,NMC111,Direct,-26.755707546974403
153,Australia,NMC523,Direct,-29.06376871563454
156,Australia,NMC622,Direct,-31.22306936412667
159,Australia,NMC811,Direct,-33.76420881600891
162,Austria,LFP,Direct,-71.73784908121537
165,Austria,NCA,Direct,4.690179551713562
169,Austria,NMC111,Hydro,0.8263993254516502
172,Austria,NMC523,Hydro,0.7582773295227391
174,Austria,NMC622,Direct,-1.127696764202134
177,Austria,NMC811,Direct,-1.67161889787218
180,Azerbaijan,LFP,Direct,0.0
183,Azerbaijan,NCA,Direct,-29.99512041629637
186,Azerbaijan,NMC111,Direct,-70.58746335129453
189,Azerbaijan,NMC523,Direct,-68.80907487220816
