source_iso3,destination_iso3,scenario,forbidden,policy_penalty_usd_per_t,approval_delay_days,modeled_policy_cost_per_kg,source_basis,notes,strategy3_supply,strategy2_supply
BGD,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.4786408925255313,0.0
CHN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,138726.9938207069,138726.9938207069
MDV,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,5.780828544111525,0.0
GRD,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,1.1625492695642023,0.0
IND,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,721.3892285092552,721.3892285092552
HRV,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,10.797277866834039,0.0
ETH,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,40.23613684647857,0.0
TTO,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,10.722203152106534,0.0
CIV,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,16.81811861127975,0.0
GUY,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,8.106933948300878,0.0
LAO,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,19.44155982292864,0.0
BEN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,11.174383611623455,0.0
BLR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,91.4171943397829,0.0
WSM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.1004921353369018,0.0
ESP,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,5517.007234229264,5517.007234229264
DEU,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,45022.476802608275,45022.476802608275
ECU,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,44.2331788480713,0.0
UKR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,379.78677632874997,0.0
CRI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,61.94282187810262,0.0
SWE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,8845.715888448422,8845.715888448422
KWT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,45.645476009021344,0.0
NCL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.21398706165711728,0.0
MLT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,4.251712177209282,0.0
SVN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,15.536984791714392,0.0
COG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,10.853068269447565,0.0
JPN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,3433.1682168473394,3433.1682168473394
KGZ,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,8.969717741352138,0.0
SLV,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,33.720174063990655,0.0
ARE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,841.4077967708029,0.0
BDI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,13.436076571700761,0.0
NER,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,7.297385614149894,0.0
POL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,1756.1959139660194,1756.1959139660194
JOR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,66.0058402996568,0.0
OMN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,26.77620071631865,0.0
MDA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,12.909790435999984,0.0
NOR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,7637.137740094282,7637.137740094282
GRL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.15807803344019478,0.0
COM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.0543566621501102,0.0
DNK,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,3783.7667107095685,0.0
NPL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,21.26390043822564,0.0
KIR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.08062120779318929,0.0
BWA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,31.29768751230878,0.0
SLB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.1951319334536165,0.0
ARG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,322.8632685704332,0.0
GHA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,64.88573901063835,0.0
HUN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,56.37904460130991,56.37904460130991
BMU,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,7.997664445356332,0.0
SYC,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,1.2017476717920141,0.0
BHR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,9.478043051541349,0.0
FIN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,1623.2974008731167,1623.2974008731167
IRL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,121.41982850425643,0.0
MNG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,10.94272853398403,0.0
NZL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,553.6642154055653,0.0
EST,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,8.868527035449297,0.0
ARM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,10.274033382499923,0.0
TON,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.0007434218209401576,0.0
DZA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,69.34491274114876,0.0
PRY,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,27.95350253987725,0.0
TZA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,73.28419007026342,0.0
KOR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,5989.430552287347,5989.430552287347
SEN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,20.53099147396516,0.0
KHM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,30.39479102789288,0.0
TUR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,2730.540558638032,2730.540558638032
AUT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,2660.889457915124,0.0
PER,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,206.26355230066736,0.0
FJI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,14.898977274706711,0.0
ZWE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,49.0402594359919,0.0
CYP,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,7.183393457085785,0.0
GRC,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,738.2723536577614,0.0
NIC,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,33.23397143973615,0.0
CHE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,2557.381559305336,2557.381559305336
PLW,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,0.08616711041669689,0.0
PRT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,2109.452689918214,0.0
AZE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.,30.23966613033315,0.0
