source_iso3,destination_iso3,transport_cost_per_kg
ANT,HUN,0.26631257999999997
ANT,IND,0.4266117
ANT,ITA,0.25248726
ANT,JPN,0.4176276
ANT,KOR,0.42803459999999993
ANT,NLD,0.23571062999999998
ANT,NOR,0.24837254999999997
ANT,POL,0.26851746000000004
ANT,ROM,0.28418286
ANT,RUS,0.29749512
ANT,SVK,0.26188065
ANT,SWE,0.26076327
ANT,THA,0.5079369
ANT,TUR,0.30406110000000003
ANT,USA,0.09252297
ANT,VNM,0.4891314
ANT,YUG,0.27080289
ARE,AUS,0.35887979999999997
ARE,BEL,0.15479910000000002
ARE,BRA,0.35872229999999994
ARE,CAN,0.3228933
ARE,CHE,0.14492211
ARE,CHN,0.17899281
ARE,CZE,0.13384121999999998
ARE,DEU,0.13924824000000002
ARE,ESP,0.16904001
ARE,FIN,0.13710951
ARE,FRA,0.15748605
ARE,GBR,0.16451235
ARE,HUN,0.12092211
ARE,IND,0.06938612999999999
ARE,ITA,0.12911927999999998
ARE,JPN,0.24188666999999997
ARE,KOR,0.20727707999999997
ARE,NLD,0.15512447999999998
ARE,NOR,0.15524780999999999
ARE,POL,0.12544883999999998
ARE,ROM,0.10159107
ARE,RUS,0.11217585
ARE,SVK,0.12569246999999997
ARE,SWE,0.14389131
ARE,THA,0.14903388
ARE,TUR,0.07947849
ARE,USA,0.3407736
ARE,VNM,0.15796562999999997
ARE,YUG,0.11399688000000001
ARG,AUS,0.35201639999999995
ARG,BEL,0.3398028
ARG,BRA,0.07059771
ARG,CAN,0.27241635
ARG,CHE,0.3364353
ARG,CHN,0.5789241
ARG,CZE,0.3551049
ARG,DEU,0.35802959999999995
ARG,ESP,0.3019755
ARG,FIN,0.38913899999999996
ARG,FRA,0.33216749999999995
ARG,GBR,0.3344244
ARG,HUN,0.3587124
ARG,IND,0.4745376
ARG,ITA,0.33520679999999997
ARG,JPN,0.5511612
ARG,KOR,0.5834204999999999
ARG,NLD,0.3440025
ARG,NOR,0.36812219999999996
ARG,POL,0.37054739999999997
ARG,ROM,0.3674811
ARG,RUS,0.4051608
ARG,SVK,0.35639699999999996
ARG,SWE,0.3775509
ARG,THA,0.5067054
ARG,TUR,0.3750681
ARG,USA,0.25209678
ARG,VNM,0.5363145
ARG,YUG,0.35674379999999994
ARM,AUS,0.407457
ARM,BEL,0.09899658
ARM,BRA,0.3402764999999999
ARM,CAN,0.26398338
ARM,CHE,0.09155561999999999
ARM,CHN,0.17841449999999998
ARM,CZE,0.07747233
ARM,DEU,0.08172512999999999
ARM,ESP,0.12121356
ARM,FIN,0.07793238
ARM,FRA,0.10302212999999999
ARM,GBR,0.10858094999999998
ARM,HUN,0.06560679
ARM,IND,0.09735192
ARM,ITA,0.0803301
ARM,JPN,0.23830913999999997
ARM,KOR,0.20648829000000002
ARM,NLD,0.09846534
ARM,NOR,0.09599229
ARM,POL,0.06710352
ARM,ROM,0.047430150000000004
ARM,RUS,0.05409105
ARM,SVK,0.07020555
ARM,SWE,0.08452413
ARM,THA,0.18490067999999998
ARM,TUR,0.029764329
ARM,USA,0.28248066
ARM,VNM,0.18374199
ARM,YUG,0.06083271
ATG,AUS,0.49094219999999994
ATG,BEL,0.20644121999999998
ATG,BRA,0.11907333
ATG,CAN,0.10207146
ATG,CHE,0.21202014
ATG,CHN,0.4104507
ATG,CZE,0.22768506
ATG,DEU,0.22555931999999998
ATG,ESP,0.18324290999999998
ATG,FIN,0.24586493999999998
ATG,FRA,0.2012631
ATG,GBR,0.19747910999999999
ATG,HUN,0.23829513
ATG,IND,0.3990243
ATG,ITA,0.22411218
ATG,JPN,0.41195669999999995
ATG,KOR,0.4164948
ATG,NLD,0.20823723
ATG,NOR,0.22213739999999998
ATG,POL,0.24102837
ATG,ROM,0.25599201
ATG,RUS,0.27084438
ATG,SVK,0.23391243
ATG,SWE,0.23439722999999998
ATG,THA,0.4826361
ATG,TUR,0.27571071
ATG,USA,0.08495984999999999
ATG,VNM,0.4674195
ATG,YUG,0.2425953
AUS,AUS,0.031284509999999995
AUS,BEL,0.5020418999999999
AUS,BRA,0.42212399999999994
AUS,CAN,0.48369
AUS,CHE,0.4983738
AUS,CHN,0.27054921000000004
AUS,CZE,0.4816377
AUS,DEU,0.48246269999999997
AUS,ESP,0.5277443999999999
AUS,FIN,0.4568256
AUS,FRA,0.5081427
AUS,GBR,0.5100585
AUS,HUN,0.471993
AUS,IND,0.3109155
AUS,ITA,0.4869681
AUS,JPN,0.23874839999999997
AUS,KOR,0.25256358
AUS,NLD,0.4993272
AUS,NOR,0.4797885
AUS,POL,0.4672758
AUS,ROM,0.4548507
AUS,RUS,0.43474379999999996
AUS,SVK,0.4761801
AUS,SWE,0.4687614
AUS,THA,0.22453518
AUS,TUR,0.435378
AUS,USA,0.47885849999999996
AUS,VNM,0.23260854
AUS,YUG,0.4682673
AUT,AUS,0.4779525
AUT,BEL,0.027433899
AUT,BRA,0.28604664
AUT,CAN,0.19719290999999997
AUT,CHE,0.020546625000000002
AUT,CHN,0.22404036
AUT,CZE,0.007573437000000001
AUT,DEU,0.015718076999999997
AUT,ESP,0.054359969999999994
AUT,FIN,0.04313439
AUT,FRA,0.03105432
AUT,GBR,0.03714597
AUT,HUN,0.006469877999999999
AUT,IND,0.16713287999999998
AUT,ITA,0.023022395999999997
AUT,JPN,0.27423189000000003
AUT,KOR,0.24867087000000002
AUT,NLD,0.028043483999999997
AUT,NOR,0.04055097
AUT,POL,0.016704735
AUT,ROM,0.025789971
AUT,RUS,0.05027097
AUT,SVK,0.0017885168999999999
AUT,SWE,0.03726929999999999
AUT,THA,0.25351323000000003
AUT,TUR,0.048098699999999994
AUT,USA,0.21389001
AUT,VNM,0.24763781999999998
AUT,YUG,0.01475307
AZE,AUS,0.3950286
AZE,BEL,0.1099875
AZE,BRA,0.3539148
AZE,CAN,0.27169161000000003
AZE,CHE,0.10354524
AZE,CHN,0.16560641999999998
AZE,CZE,0.08845238999999999
AZE,DEU,0.0919116
AZE,ESP,0.13412234999999997
AZE,FIN,0.08367927
AZE,FRA,0.11452641
AZE,GBR,0.11941347000000001
AZE,HUN,0.07728351000000001
AZE,IND,0.08434757999999999
AZE,ITA,0.09341634
AZE,JPN,0.22612632
AZE,KOR,0.19385507999999999
AZE,NLD,0.10901481
AZE,NOR,0.10368987
AZE,POL,0.07677729
AZE,ROM,0.05991932999999999
AZE,RUS,0.05792241
AZE,SVK,0.08172786000000001
AZE,SWE,0.09167093999999999
AZE,THA,0.17174579999999998
AZE,TUR,0.04343043
AZE,USA,0.29086617000000003
AZE,VNM,0.17007884999999998
AZE,YUG,0.07331930999999998
BDI,AUS,0.3732558
BDI,BEL,0.19453431
BDI,BRA,0.25643055
BDI,CAN,0.34362899999999996
BDI,CHE,0.17991279
BDI,CHN,0.3003486
BDI,CZE,0.18358971
BDI,DEU,0.19196562
BDI,ESP,0.17761418999999998
