iso3,carbon_unit_cost
AUS,0.02050292665562006
BEL,0.0
BRA,0.0
CAN,0.0551751497003224
CHE,0.12367252377867767
CHN,0.011768985716050055
CZE,0.0
DEU,0.04527703310144018
ESP,0.015092344367146725
FIN,0.0609338222929191
FRA,0.044874570584982926
GBR,0.02117224664443938
HUN,0.03622162648115214
IND,0.0
ITA,0.0
JPN,0.0017832393797783544
KOR,0.0
NLD,0.06690939336101716
NOR,0.1008904069434114
POL,7.41267483519013e-05
ROM,0.0
RUS,0.0
SVK,0.0
SWE,0.12869371927666512
THA,0.0
TUR,0.0
USA,0.0
VNM,0.0
YUG,0.0
