source_iso3,destination_iso3,scenario,forbidden,policy_penalty_usd_per_t,approval_delay_days,modeled_policy_cost_per_kg,source_basis,notes
BDI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
NER,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
POL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
JOR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
OMN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MDA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
NOR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
GRL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
COM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
DNK,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
NPL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
KIR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BWA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
SLB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
ARG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
GHA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
HUN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BMU,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
SYC,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BHR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
FIN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
IRL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MNG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
NZL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
EST,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
ARM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
TON,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
DZA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
PRY,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
TZA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
KOR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
SEN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
KHM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
TUR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
AUT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
PER,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
FJI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
ZWE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CYP,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
GRC,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
NIC,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CHE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
PLW,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
PRT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
AZE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CZE,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MYS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
GTM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
AFG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
NLD,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
ISR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
AND,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
ROM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
COL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
PNG,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
QAT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
KAZ,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
AUS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MKD,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CPV,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
GEO,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BRB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
LVA,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CAN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MLI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
DOM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
JAM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MRT,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
SDN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MMR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
ZMB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CMR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BHS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
TJK,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
VNM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
PHL,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
HND,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MAR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
CYM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MWI,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
GIN,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
EGY,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
TGO,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
UZB,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MUS,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BIH,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
YEM,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
LUX,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MOZ,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
BGR,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
SGP,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
LSO,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
MEX,USA,baseline,1,0.0,0.0,0.0,regulation_proxy,Hazardous waste exports to Basel non-parties are prohibited in the baseline policy setting.
SAU,FIN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,FRA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,CHN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,CAN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,IND,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,BRA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,KOR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,TUR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,VNM,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,ESP,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,DEU,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,ITA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,CHE,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,SWE,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,BEL,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,GBR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,CZE,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,JPN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,RUS,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,NLD,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,SVK,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,POL,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,ROM,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,NOR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,THA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,YUG,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,AUS,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
SAU,HUN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,FIN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,FRA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,CHN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,CAN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,IND,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,BRA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,KOR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,TUR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,VNM,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,ESP,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,DEU,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,ITA,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,CHE,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,SWE,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,BEL,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,GBR,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,CZE,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,JPN,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,RUS,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,NLD,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,SVK,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
BFA,POL,baseline,0,150.0,25.0,0.175,scenario_assumption,Hazardous waste exports between Basel parties require prior informed consent and compliance documentation.
