,HUN,IND,JPN,KOR,NOR,RUS,YUG,SWE,CHE,THA,Virtual_Demand
KWT,0.0,29.629197354583802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAO,0.0,0.0,0.0,93709.72083938432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBN,0.0,75785.54155687666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCA,0.0,0.0,0.0,73.80975776238567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LKA,0.0,308369.1140124588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167076.73226351192,0.0
LSO,0.0,1322.8382058387533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTU,0.0,0.0,0.0,11530.474329051664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUX,0.0,0.0,0.0,2907.0649040239364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LVA,0.0,0.0,0.0,7639.362520607946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11454.069870818876,0.0,0.0
MDA,0.0,0.0,0.0,1943.0119914680224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDG,0.0,3008.8028741139597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDV,0.0,486.8708922305877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,0.0,0.0,374274.7377128813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKD,0.0,0.0,0.0,701.7077971276369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLI,0.0,667.1391576671929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLT,0.0,2480.8645728116226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MNG,0.0,0.0,0.0,1624.6632018330572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZ,0.0,363.4964717016621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUS,0.0,3186.9605186575686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MWI,0.0,9178.20591058031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.89004829763245,0.0
NAM,0.0,4006.1008457198473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NER,0.0,3103.5528459822413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA,0.0,493481.0622939663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC,0.0,0.0,5153.972679545134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPL,0.0,0.0,0.0,1207.1494400418037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NZL,0.0,0.0,19045.859304880338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMN,0.0,3020.463194262908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAK,0.0,473358.0448396506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAL,0.0,122.18156833927523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAN,0.0,0.0,27.33570970946076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PER,0.0,0.0,18448.20147713753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHL,0.0,0.0,0.0,1529368.2530915707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLW,0.0,0.0,0.0,6.544982611171262,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRT,0.0,0.0,0.0,0.0,35075.433027279134,0.0,0.0,0.0,0.0,0.0,0.0
PRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.8483186842186
PYF,0.0,0.0,1706.7210141337664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAT,0.0,26.100905003362495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RWA,0.0,12.465245972994294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAU,0.0,44322.0423096356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDN,0.0,13.23558718776679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEN,0.0,66514.31583165328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLB,0.0,0.0,6.926193598168847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,0.0,0.0,27.73502600173036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVN,0.0,0.0,0.0,0.0,0.0,9629.632223708846,0.0,0.0,0.0,0.0,0.0
SYC,0.0,685.5729535408584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGO,0.0,1707.8265558419164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJK,0.0,568.7133418615188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTO,0.0,0.0,0.0,4088.235524507707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN,0.0,0.0,0.0,696.1858542861262,0.0,0.0,38.02695842739345,0.0,0.0,0.0,0.0
TZA,0.0,17301.306385160842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGA,0.0,203196.7164836644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKR,0.0,0.0,0.0,275.8364190974622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.220854196194
UZB,0.0,0.0,0.0,11471.328107461546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSM,0.0,0.0,11.033807311909914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YEM,0.0,5389.677620573245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAF,0.0,1103.5612422080899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMB,0.0,308.0574264795706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZWE,0.0,41.392509747247644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMR,0.0,0.0,0.0,36874.16201890267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWZ,0.0,65.60484216733697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1082233.8137083857
USA,0.0,0.0,0.0,1511209.2928324696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,0.0,0.0,72986.97105320638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32244.806102764138,0.0,0.0,0.0
BRA,0.0,119651.5574017024,0.0,210067.8698789105,77254.31779585619,0.0,0.0,0.0,0.0,0.0,825556.3713640503
CAN,0.0,0.0,0.0,371750.8404883542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZE,0.0,0.0,0.0,221341.45208253706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIN,0.0,0.0,0.0,17718.30872642104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0,0.0,0.0,16115.636123803595,0.0,0.0,0.0,119767.18108039824,0.0,0.0,0.0
DEU,0.0,0.0,0.0,83857.21176340789,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,82531.87857761557,0.0,0.0,19625.664372911433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28561.782172527743,0.0,0.0,0.0
POL,0.0,0.0,0.0,70491.69493482781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROM,0.0,0.0,0.0,282187.41926053696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SVK,0.0,0.0,0.0,20282.020523110357,0.0,253.1243808226445,0.0,0.0,0.0,0.0,0.0
ESP,0.0,0.0,0.0,2300.7301554089804,0.0,0.0,0.0,0.0,50016.51611299273,0.0,0.0
TUR,0.0,69280.86328752417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,0.0,0.0,704386.1319944134,1338397.1330800026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBR,0.0,0.0,0.0,0.0,46426.32428390817,0.0,0.0,0.0,0.0,0.0,0.0
VNM,0.0,0.0,0.0,84375.40675493809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
