Year,region,type,scrap,inuse,f_ebp,tau_w,f_tau,source,source_basis,data_status
2015,USA,TLB,135.2797963868913,135.2797963868913,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,LFP,9.35927805295438,9.35927805295438,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,NCA,18.126309663273414,18.126309663273414,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,NMC111,17.54675704876173,17.54675704876173,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,NMC523,2.3463669543588748,2.3463669543588748,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,NMC622,0.5771498712333184,0.5771498712333184,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,NMC811,3.444724879912726,3.444724879912726,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2015,United Kingdom,TLB,38.597670136594374,38.597670136594374,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,LFP,1584.2239684820217,1584.2239684820217,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,NCA,3004.0117639109762,3004.0117639109762,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,NMC111,2515.120133982519,2515.120133982519,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,NMC523,620.1760403814505,620.1760403814505,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,NMC622,408.45140052888246,408.45140052888246,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,NMC811,83.98246853323292,83.98246853323292,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,China,TLB,6632.043089022418,6632.043089022418,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,LFP,3.487191479474651,3.487191479474651,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,NCA,6.6124262956263005,6.6124262956263005,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,NMC111,5.536278755763891,5.536278755763891,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,NMC523,1.3651305918977856,1.3651305918977856,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,NMC622,0.8990826247052647,0.8990826247052647,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,NMC811,0.18486208675087423,0.18486208675087423,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,France,TLB,14.598443535548725,14.598443535548725,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,LFP,168.06181421075794,168.06181421075794,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,NCA,318.67947777427344,318.67947777427344,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,NMC111,266.81558989422876,266.81558989422876,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,NMC523,65.79114604383899,65.79114604383899,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,NMC622,43.330415872689734,43.330415872689734,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,NMC811,8.90924913673479,8.90924913673479,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Japan,TLB,703.5578400780114,703.5578400780114,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,LFP,126.04628008725777,126.04628008725777,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,NCA,239.00945555201474,239.00945555201474,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,NMC111,200.11156450613916,200.11156450613916,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,NMC523,49.34332799182991,49.34332799182991,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,NMC622,32.497791131406224,32.497791131406224,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,NMC811,6.681932581352255,6.681932581352255,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Korea,TLB,527.6680427646039,527.6680427646039,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Poland,LFP,125.53889326108742,125.53889326108742,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
2016,Poland,NCA,238.04734664254678,238.04734664254678,1.0,0.0,1.0,manufacturing_scrap,bnef-production-scrap,BNEF_observed
