year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,solver_target_constraint_li_t,max_target_recovered_lithium_t,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t,solver_method,draw_id,random_seed,solve_status,solve_message,direct_cost_multiplier,direct_recovery_efficiency,hydro_cost_multiplier,hydro_recovery_efficiency,pyro_cost_multiplier,pyro_recovery_efficiency
2030,reference_policy,China,0.0,0.0,0.0,42627.93276819615,71609.35984021363,35884.35540183354,84.18037908844161,7424680.344611991,4553741.048207438,highs,0,20260507,success,,1.0,0.97,1.0,0.95,1.0,0.35
2030,reference_policy,China,0.75,31970.94957614711,31970.917605197534,42627.93276819615,71609.35984021363,38939.47977586688,91.3473331855277,7424680.344611991,4553741.048207439,highs,0,20260507,success,,1.0,0.97,1.0,0.95,1.0,0.35
2030,reference_policy,China,0.9,38365.13949137654,38365.101126237045,42627.93276819615,71609.35984021363,38939.47977586688,91.3473331855277,7424680.344611991,4553741.048207438,highs,0,20260507,success,,1.0,0.97,1.0,0.95,1.0,0.35
2030,reference_policy,China,0.95,40496.53612978634,40496.49563325021,42627.93276819615,71609.35984021363,40496.49563325026,94.99990500000011,7433060.1832278315,4553741.048207438,highs,0,20260507,success,,1.0,0.97,1.0,0.95,1.0,0.35
2030,reference_policy,China,0.99,42201.65344051419,42201.61123886074,42627.93276819615,72061.92301065897,42201.61123886075,98.999901,7933583.809133857,4553741.048207438,highs,0,20260507,success,,1.0,0.97,1.0,0.95,1.0,0.35
2030,reference_policy,China,1.0,42627.93276819615,42627.89014026338,42627.93276819615,72488.20191206162,42627.89014026339,99.99990000000003,8556435.754889557,4553741.048207438,highs,0,20260507,success,,1.0,0.97,1.0,0.95,1.0,0.35
