From Region,To Region,Amount Transported,Remaining Storage
Belgium,Japan,1.5479999999999403,12.643152433530782
Brazil,USA,4.908999999999974,8.316227613556194
Czechia,Hungary,0.1440000000000001,8.286111597594742
France,Korea,2.7659999999998064,35.43263439695405
France,Spain,0.7640000000000006,0.0010172843363894799
Germany,Spain,0.7530000000000006,0.0030172843363892596
Germany,USA,4.400999999999804,7.990227613556374
Italy,Hungary,2.349999999999852,5.936111597594905
Italy,Spain,0.8120000000000006,1.7284336389590017e-05
Netherlands,Korea,0.5120000000000003,39.500634396954126
Romania,Spain,0.011000000000000003,2.2970172843362433
Slovakia,Korea,0.12800000000000009,40.25963439695412
Viet Nam,Korea,1.776999999999915,37.20363439695438
