,country,total_netprofits,scrap,net_profit
0,Angola,-19772563.73545947,88.99999999999999,-222.1636374770727
1,Argentina,-57970569.82657046,3851.0,-15.053380894980645
2,Aruba,-7073875.1982742185,5.0,-1414.7750396548438
3,Australia,-66040434.607133634,12000.0,-5.50336955059447
4,Barbados,-4558266.399819913,0.9999999999999999,-4558.266399819914
5,Belgium,-76235940.01246014,9000.0,-8.47066000138446
6,Benin,-6765465.59015416,4.0,-1691.36639753854
7,Bermuda,-5675496.669573888,2.9999999999999996,-1891.8322231912964
8,Bolivia (Plurinational State of),-50255557.89361839,1796.0,-27.98193646637995
9,Botswana,-33107216.299430683,425.0,-77.89933246924866
10,Brazil,3327679680.5760674,799400.0000000001,4.162721641951547
11,Burkina Faso,-39413527.54896741,754.0,-52.272582956190206
12,C?te d'Ivoire,-28470752.04574491,265.0,-107.4368001726223
13,Cabo Verde,-8230371.250116019,7.000000000000001,-1175.7673214451454
14,Cameroon,-4728824.345534261,2.0,-2364.412172767131
15,Canada,298424841.7369299,120000.00000000001,2.4868736811410823
16,Chile,-44529160.13895819,1100.0,-40.48105467178018
17,China,8181481777.353342,3118032.14511573,2.6239247693996037
18,Colombia,-57427537.66485935,3586.9999999999995,-16.009907350114123
19,Congo,-7762660.280824475,6.0,-1293.7767134707458
20,Costa Rica,-43955341.37091426,1048.9999999999998,-41.90213667389349
21,Czechia,-43746796.34000118,1000.0,-43.74679634000118
22,Dominican Rep.,-48973255.22576988,1607.0,-30.47495658106402
23,Ecuador,-44966528.872065276,1143.0,-39.34079516366165
24,El Salvador,-7746387.382798762,24.0,-322.7661409499484
25,Eswatini,-10981805.95885051,16.0,-686.362872428157
26,Finland,-72989613.21838407,6999.999999999999,-10.427087602626298
27,France,142128804.1765064,98000.00000000001,1.4502939201684324
28,Germany,482467679.59241825,194000.0,2.4869468020227745
29,Ghana,-13635259.179380044,36.0,-378.7571994272235
30,Grenada,-18157116.76346665,60.0,-302.6186127244441
31,Guatemala,-55868793.24760159,3021.9999999999995,-18.4873571302454
32,Guinea,-7230506.770191319,4.999999999999999,-1446.1013540382642
33,Guyana,-48532394.815479934,1547.0,-31.371942350019353
34,Honduras,-32933837.549665198,385.0,-85.54243519393559
35,Hungary,246622768.23990434,124087.4894047969,1.9874909986725104
36,India,163023004.66303745,57439.39622586827,2.838174064747895
37,Italy,161981308.24885324,103000.0,1.572634060668478
38,Jamaica,-9552671.795440298,10.0,-955.2671795440298
39,Japan,1070055529.2023236,301446.4663680466,3.549736515723011
40,Korea,6298439982.793548,1490136.7309860305,4.226753056832469
41,Lesotho,-23830136.347526632,154.0,-154.7411451138093
42,Mali,-20265427.50088282,95.00000000000001,-213.32028948297702
43,Mozambique,-20577449.863575432,111.0,-185.38243120338225
44,Namibia,-36981927.12843938,609.0,-60.72566030942428
45,Netherlands,-49112831.87933941,32000.0,-1.5347759962293568
46,Nicaragua,-43019332.61442417,968.0000000000001,-44.44145931242166
47,Niger,-31026870.8804756,346.0,-89.67303722680809
48,Nigeria,-40091306.496495396,20583.0,-1.947787324320818
49,Norway,-67674072.23272006,12365.798483756236,-5.472681147247952
50,Panama,-7650416.828828822,23.0,-332.6268186447314
51,Paraguay,-37132621.39353484,575.0,-64.57847198875623
52,Peru,-58892726.072334036,4388.0,-13.421314054770747
53,Poland,90820427.38271406,77000.00000000001,1.1794860699053773
54,Romania,-43969109.34178888,1000.0,-43.96910934178888
55,Russian Federation,-33231952.776894547,11706.694734470317,-2.838713533636714
56,Saint Lucia,-12368691.236745518,19.0,-650.9837493023956
57,Senegal,-55977400.75898661,3083.0,-18.156795575409216
58,Serbia,-30492008.95468204,422.31000355925624,-72.20290473276361
59,Slovakia,-43831213.27255844,1000.0000000000002,-43.83121327255843
60,South Africa,-28726260.541296866,272.0,-105.61125199006202
61,Spain,217217982.71975636,115999.99999999999,1.872568816549624
62,Sweden,437599672.2705842,196697.25238619125,2.224737086878114
63,Switzerland,-56803870.139337614,23344.204670692805,-2.4333178594279263
64,Thailand,-31829593.039454035,12106.091423444974,-2.629221267717507
65,Togo,-30913906.268856622,342.0,-90.39153879782637
66,Trinidad and Tobago,-37419419.18939905,590.0,-63.42274438881194
67,Turkey,-65086781.21728209,10000.000000000002,-6.508678121728208
68,USA,2773518369.234047,672000.0,4.127259478026856
69,United Kingdom,409952923.76686174,159000.0,2.5783202752632817
70,Uruguay,-30594035.258591346,300.00000000000006,-101.9801175286378
71,Viet Nam,-55720396.38396287,5000.0,-11.144079276792574
