,country,type,recycling_m,scrap,year,Strategy type
180,Poland,LFP,Direct,2.9042273264779284,2025,Strategy 2
195,Poland,NCA,Direct,1338.5023882796143,2025,Strategy 2
183,Poland,NMC111,Direct,723.3372168013013,2025,Strategy 2
193,Poland,NMC523,Hydro,745.9760733442803,2025,Strategy 2
186,Poland,NMC622,Direct,346.20828240568807,2025,Strategy 2
189,Poland,NMC811,Direct,188.0703579818878,2025,Strategy 2
504,Romania,LFP,Direct,1.2152636133827377,2025,Strategy 2
519,Romania,NCA,Direct,377.35264716987524,2025,Strategy 2
507,Romania,NMC111,Direct,215.03172002950495,2025,Strategy 2
516,Romania,NMC523,Direct,239.31959244796886,2025,Strategy 2
510,Romania,NMC622,Direct,117.13646200286829,2025,Strategy 2
513,Romania,NMC811,Direct,70.33189768798553,2025,Strategy 2
288,Russian Federation,LFP,Direct,0.0,2025,Strategy 2
303,Russian Federation,NCA,Direct,1359.7238211121537,2025,Strategy 2
291,Russian Federation,NMC111,Direct,564.5894933247178,2025,Strategy 2
301,Russian Federation,NMC523,Hydro,540.0356733975586,2025,Strategy 2
294,Russian Federation,NMC622,Direct,222.79208515857673,2025,Strategy 2
297,Russian Federation,NMC811,Direct,103.22479811426224,2025,Strategy 2
306,Serbia,LFP,Direct,0.16643687306504254,2025,Strategy 2
321,Serbia,NCA,Direct,113.9834118057575,2025,Strategy 2
309,Serbia,NMC111,Direct,56.55428101828622,2025,Strategy 2
318,Serbia,NMC523,Direct,56.13624997694639,2025,Strategy 2
312,Serbia,NMC622,Direct,25.73640561021829,2025,Strategy 2
315,Serbia,NMC811,Direct,14.239400237561785,2025,Strategy 2
198,Slovakia,LFP,Direct,1.2977721022659305,2025,Strategy 2
213,Slovakia,NCA,Direct,378.1274421398996,2025,Strategy 2
201,Slovakia,NMC111,Direct,234.908011804556,2025,Strategy 2
210,Slovakia,NMC523,Direct,253.52907032939274,2025,Strategy 2
204,Slovakia,NMC622,Direct,118.7167177055615,2025,Strategy 2
207,Slovakia,NMC811,Direct,61.92912484436833,2025,Strategy 2
216,Spain,LFP,Direct,12.761450623769447,2025,Strategy 2
231,Spain,NCA,Direct,4334.59705309614,2025,Strategy 2
220,Spain,NMC111,Hydro,2514.0487769333363,2025,Strategy 2
229,Spain,NMC523,Hydro,2693.7191510710873,2025,Strategy 2
222,Spain,NMC622,Direct,1260.5113012677875,2025,Strategy 2
225,Spain,NMC811,Direct,651.9141200591013,2025,Strategy 2
234,Sweden,LFP,Direct,15.967049995949674,2025,Strategy 2
249,Sweden,NCA,Direct,4272.22214936539,2025,Strategy 2
238,Sweden,NMC111,Hydro,2633.3106103635723,2025,Strategy 2
247,Sweden,NMC523,Hydro,2877.735903915018,2025,Strategy 2
240,Sweden,NMC622,Direct,1351.7842046948688,2025,Strategy 2
243,Sweden,NMC811,Direct,690.6345508063249,2025,Strategy 2
486,Switzerland,LFP,Direct,0.0,2025,Strategy 2
501,Switzerland,NCA,Direct,1807.2813146674528,2025,Strategy 2
489,Switzerland,NMC111,Direct,545.3007601601282,2025,Strategy 2
499,Switzerland,NMC523,Hydro,602.9387079565231,2025,Strategy 2
492,Switzerland,NMC622,Direct,281.4360331488823,2025,Strategy 2
495,Switzerland,NMC811,Direct,186.57940803667356,2025,Strategy 2
72,Thailand,LFP,Direct,0.0,2025,Strategy 2
87,Thailand,NCA,Direct,10117.03567514251,2025,Strategy 2
76,Thailand,NMC111,Hydro,3997.9903744369185,2025,Strategy 2
85,Thailand,NMC523,Hydro,3761.917775953352,2025,Strategy 2
78,Thailand,NMC622,Direct,1580.973808142864,2025,Strategy 2
81,Thailand,NMC811,Direct,754.1554597821771,2025,Strategy 2
324,Turkey,LFP,Direct,0.01114214849567441,2025,Strategy 2
339,Turkey,NCA,Direct,4354.680132923751,2025,Strategy 2
328,Turkey,NMC111,Hydro,1557.0132739948797,2025,Strategy 2
337,Turkey,NMC523,Hydro,1568.500856030767,2025,Strategy 2
330,Turkey,NMC622,Direct,687.751894774728,2025,Strategy 2
333,Turkey,NMC811,Direct,372.6286661216019,2025,Strategy 2
342,USA,LFP,Direct,10.303454819175323,2025,Strategy 2
357,USA,NCA,Direct,55317.29781894445,2025,Strategy 2
346,USA,NMC111,Hydro,6557.4836137455195,2025,Strategy 2
355,USA,NMC523,Hydro,7130.106790143068,2025,Strategy 2
348,USA,NMC622,Direct,3059.244422268845,2025,Strategy 2
351,USA,NMC811,Direct,2321.117000286725,2025,Strategy 2
252,United Kingdom,LFP,Direct,0.1993838141833355,2025,Strategy 2
267,United Kingdom,NCA,Direct,10647.58440828211,2025,Strategy 2
256,United Kingdom,NMC111,Hydro,3281.2606325382626,2025,Strategy 2
265,United Kingdom,NMC523,Hydro,3579.517712163194,2025,Strategy 2
258,United Kingdom,NMC622,Direct,1663.1674316386006,2025,Strategy 2
261,United Kingdom,NMC811,Direct,1118.0235067313852,2025,Strategy 2
90,Viet Nam,LFP,Direct,0.0,2025,Strategy 2
105,Viet Nam,NCA,Direct,1473.543950319946,2025,Strategy 2
93,Viet Nam,NMC111,Direct,630.4294275971235,2025,Strategy 2
103,Viet Nam,NMC523,Hydro,571.6040069363997,2025,Strategy 2
96,Viet Nam,NMC622,Direct,232.18465340045665,2025,Strategy 2
99,Viet Nam,NMC811,Direct,92.23796174607374,2025,Strategy 2
396,Australia,LFP,Direct,0.0,2025,Strategy 3
411,Australia,NCA,Direct,700.3084899252249,2025,Strategy 3
399,Australia,NMC111,Direct,205.30316443191768,2025,Strategy 3
408,Australia,NMC523,Direct,231.8088490878003,2025,Strategy 3
402,Australia,NMC622,Direct,109.24141007190042,2025,Strategy 3
405,Australia,NMC811,Direct,69.91020317540425,2025,Strategy 3
450,Belgium,LFP,Direct,7.720277108459332,2025,Strategy 3
465,Belgium,NCA,Direct,2333.4848428079617,2025,Strategy 3
454,Belgium,NMC111,Hydro,1470.1032409527545,2025,Strategy 3
463,Belgium,NMC523,Hydro,1566.027645143378,2025,Strategy 3
456,Belgium,NMC622,Direct,723.707038814185,2025,Strategy 3
459,Belgium,NMC811,Direct,370.3759037666815,2025,Strategy 3
378,Brazil,LFP,Direct,0.0,2025,Strategy 3
393,Brazil,NCA,Direct,1312.063922716729,2025,Strategy 3
381,Brazil,NMC111,Direct,335.85331720237,2025,Strategy 3
390,Brazil,NMC523,Direct,414.33045417984596,2025,Strategy 3
384,Brazil,NMC622,Direct,204.5802667700036,2025,Strategy 3
387,Brazil,NMC811,Direct,159.4369004686885,2025,Strategy 3
360,Canada,LFP,Direct,0.0,2025,Strategy 3
375,Canada,NCA,Direct,3893.7313635310456,2025,Strategy 3
364,Canada,NMC111,Hydro,1248.719152745213,2025,Strategy 3
