,country,type,recycling_m,scrap,year,Strategy type
84,China,NMC622,Direct,608123.4870678594,2031,Strategy 1
87,China,NMC811,Direct,325842.1768420621,2031,Strategy 1
468,Czechia,LFP,Direct,1.2150071307830144,2031,Strategy 1
471,Czechia,NCA,Direct,367.3557808663977,2031,Strategy 1
474,Czechia,NMC111,Direct,208.52955437912172,2031,Strategy 1
477,Czechia,NMC523,Direct,234.44300750967724,2031,Strategy 1
480,Czechia,NMC622,Direct,116.14354810870816,2031,Strategy 1
483,Czechia,NMC811,Direct,72.31310200531215,2031,Strategy 1
522,Finland,LFP,Direct,7.9726717139118675,2031,Strategy 1
525,Finland,NCA,Direct,2569.9329104206063,2031,Strategy 1
529,Finland,NMC111,Hydro,1463.4054877858464,2031,Strategy 1
532,Finland,NMC523,Hydro,1643.3929543819722,2031,Strategy 1
534,Finland,NMC622,Direct,812.7221891804003,2031,Strategy 1
537,Finland,NMC811,Direct,502.5737865172622,2031,Strategy 1
180,France,LFP,Direct,106.85002431932445,2031,Strategy 1
183,France,NCA,Direct,34517.249155958816,2031,Strategy 1
187,France,NMC111,Hydro,19619.976060063236,2031,Strategy 1
190,France,NMC523,Hydro,22062.426593103934,2031,Strategy 1
193,France,NMC622,Hydro,10919.02085566288,2031,Strategy 1
195,France,NMC811,Direct,6774.477310891811,2031,Strategy 1
198,Germany,LFP,Direct,207.6299768920037,2031,Strategy 1
201,Germany,NCA,Direct,69411.17734457621,2031,Strategy 1
205,Germany,NMC111,Hydro,39473.63280567404,2031,Strategy 1
208,Germany,NMC523,Hydro,44349.52901859057,2031,Strategy 1
211,Germany,NMC622,Hydro,21947.530365621427,2031,Strategy 1
213,Germany,NMC811,Direct,13610.500488645726,2031,Strategy 1
216,Hungary,LFP,Direct,123.01766086658614,2031,Strategy 1
219,Hungary,NCA,Direct,44640.628252174785,2031,Strategy 1
223,Hungary,NMC111,Hydro,23270.461958884236,2031,Strategy 1
226,Hungary,NMC523,Hydro,26368.44772319488,2031,Strategy 1
229,Hungary,NMC622,Hydro,13062.155201025458,2031,Strategy 1
231,Hungary,NMC811,Direct,8303.861631980717,2031,Strategy 1
90,India,LFP,Direct,0.0,2031,Strategy 1
93,India,NCA,Direct,27160.631670836345,2031,Strategy 1
97,India,NMC111,Hydro,6888.806895777392,2031,Strategy 1
100,India,NMC523,Hydro,8543.809449614406,2031,Strategy 1
102,India,NMC622,Direct,4232.707447579505,2031,Strategy 1
105,India,NMC811,Direct,3369.0768437031948,2031,Strategy 1
234,Italy,LFP,Direct,114.4091960484662,2031,Strategy 1
237,Italy,NCA,Direct,35632.97039639307,2031,Strategy 1
241,Italy,NMC111,Hydro,20231.768508495883,2031,Strategy 1
244,Italy,NMC523,Hydro,22744.62907596005,2031,Strategy 1
247,Italy,NMC622,Hydro,11266.139713892824,2031,Strategy 1
249,Italy,NMC811,Direct,7010.083109209698,2031,Strategy 1
108,Japan,LFP,Direct,152.65225856302288,2031,Strategy 1
111,Japan,NCA,Direct,121568.82034363337,2031,Strategy 1
115,Japan,NMC111,Hydro,46106.688952674434,2031,Strategy 1
118,Japan,NMC523,Hydro,53874.9179569173,2031,Strategy 1
121,Japan,NMC622,Hydro,26667.35957079369,2031,Strategy 1
123,Japan,NMC811,Direct,18514.802702254532,2031,Strategy 1
126,Korea,LFP,Direct,594.6412942981701,2031,Strategy 1
129,Korea,NCA,Direct,541845.5399299033,2031,Strategy 1
133,Korea,NMC111,Hydro,182973.35201245945,2031,Strategy 1
136,Korea,NMC523,Hydro,212768.05691002877,2031,Strategy 1
138,Korea,NMC622,Direct,105266.93183604634,2031,Strategy 1
141,Korea,NMC811,Direct,75799.49527990981,2031,Strategy 1
486,Netherlands,LFP,Direct,33.528135571033616,2031,Strategy 1
489,Netherlands,NCA,Direct,11003.453140848274,2031,Strategy 1
493,Netherlands,NMC111,Hydro,6247.5704903236165,2031,Strategy 1
496,Netherlands,NMC523,Hydro,7069.915281457109,2031,Strategy 1
498,Netherlands,NMC622,Direct,3495.0669092751396,2031,Strategy 1
501,Netherlands,NMC811,Direct,2150.4660425248285,2031,Strategy 1
342,Norway,LFP,Direct,0.0,2031,Strategy 1
345,Norway,NCA,Direct,8479.678584199884,2031,Strategy 1
349,Norway,NMC111,Hydro,2287.643454336795,2031,Strategy 1
352,Norway,NMC523,Hydro,2712.545183941312,2031,Strategy 1
354,Norway,NMC622,Direct,1313.8219212741844,2031,Strategy 1
357,Norway,NMC811,Direct,989.8287732634644,2031,Strategy 1
36,Paraguay,LFP,Direct,0.0,2031,Strategy 1
39,Paraguay,NCA,Direct,237.31614576256527,2031,Strategy 1
42,Paraguay,NMC111,Direct,61.09559041279054,2031,Strategy 1
45,Paraguay,NMC523,Direct,74.71287042769036,2031,Strategy 1
48,Paraguay,NMC622,Direct,36.873158569850354,2031,Strategy 1
51,Paraguay,NMC811,Direct,29.00223482710351,2031,Strategy 1
252,Poland,LFP,Direct,97.88089972828378,2031,Strategy 1
255,Poland,NCA,Direct,27181.433272626964,2031,Strategy 1
259,Poland,NMC111,Hydro,15429.049655637935,2031,Strategy 1
262,Poland,NMC523,Hydro,17346.450605441572,2031,Strategy 1
265,Poland,NMC622,Hydro,8593.566154236743,2031,Strategy 1
267,Poland,NMC811,Direct,5351.6194123284995,2031,Strategy 1
558,Romania,LFP,Direct,1.2180979144827948,2031,Strategy 1
561,Romania,NCA,Direct,367.35518430951424,2031,Strategy 1
564,Romania,NMC111,Direct,208.5279979318923,2031,Strategy 1
567,Romania,NMC523,Direct,234.44099973777705,2031,Strategy 1
570,Romania,NMC622,Direct,116.14299327207054,2031,Strategy 1
573,Romania,NMC811,Direct,72.31472683426315,2031,Strategy 1
360,Russian Federation,LFP,Direct,0.0,2031,Strategy 1
363,Russian Federation,NCA,Direct,7774.737871815656,2031,Strategy 1
367,Russian Federation,NMC111,Hydro,1981.301455360715,2031,Strategy 1
370,Russian Federation,NMC523,Hydro,2458.441482032883,2031,Strategy 1
372,Russian Federation,NMC622,Direct,1215.6961736953654,2031,Strategy 1
375,Russian Federation,NMC811,Direct,959.1976371786054,2031,Strategy 1
378,Serbia,LFP,Direct,0.0,2031,Strategy 1
381,Serbia,NCA,Direct,279.59911737146007,2031,Strategy 1
384,Serbia,NMC111,Direct,71.26743765346194,2031,Strategy 1
387,Serbia,NMC523,Direct,88.6683272988086,2031,Strategy 1
390,Serbia,NMC622,Direct,43.80048382649212,2031,Strategy 1
393,Serbia,NMC811,Direct,34.658078521962715,2031,Strategy 1
270,Slovakia,LFP,Direct,1.204936521625627,2031,Strategy 1
273,Slovakia,NCA,Direct,367.3511130875398,2031,Strategy 1
276,Slovakia,NMC111,Direct,208.5450458196509,2031,Strategy 1
279,Slovakia,NMC523,Direct,234.46035341734435,2031,Strategy 1
282,Slovakia,NMC622,Direct,116.14491957333085,2031,Strategy 1
285,Slovakia,NMC811,Direct,72.29363158050853,2031,Strategy 1
288,Spain,LFP,Direct,122.35475154786829,2031,Strategy 1
291,Spain,NCA,Direct,38201.09965536856,2031,Strategy 1
295,Spain,NMC111,Hydro,21697.470605304792,2031,Strategy 1
298,Spain,NMC523,Hydro,24390.069378809658,2031,Strategy 1
301,Spain,NMC622,Hydro,12078.589286767557,2031,Strategy 1
303,Spain,NMC811,Direct,7510.41632220156,2031,Strategy 1
306,Sweden,LFP,Direct,60.04461093786285,2031,Strategy 1
309,Sweden,NCA,Direct,82702.20860154911,2031,Strategy 1
313,Sweden,NMC111,Hydro,27377.578101586845,2031,Strategy 1
316,Sweden,NMC523,Hydro,32593.593733172318,2031,Strategy 1
319,Sweden,NMC622,Hydro,16128.46088895822,2031,Strategy 1
321,Sweden,NMC811,Direct,11688.88580344039,2031,Strategy 1
540,Switzerland,LFP,Direct,0.0,2031,Strategy 1
543,Switzerland,NCA,Direct,14859.0102903087,2031,Strategy 1
547,Switzerland,NMC111,Hydro,3779.4367956322108,2031,Strategy 1
550,Switzerland,NMC523,Hydro,4680.7516072462795,2031,Strategy 1
552,Switzerland,NMC622,Direct,2316.451040509865,2031,Strategy 1
555,Switzerland,NMC811,Direct,1835.9190960323126,2031,Strategy 1
144,Thailand,LFP,Direct,0.0,2031,Strategy 1
147,Thailand,NCA,Direct,7889.205624943928,2031,Strategy 1
151,Thailand,NMC111,Hydro,2058.49986115922,2031,Strategy 1
154,Thailand,NMC523,Hydro,2484.5628694716597,2031,Strategy 1
156,Thailand,NMC622,Direct,1223.5782994524902,2031,Strategy 1
159,Thailand,NMC811,Direct,959.4014871032434,2031,Strategy 1
396,Turkey,LFP,Direct,0.0,2031,Strategy 1
399,Turkey,NCA,Direct,5403.988917042975,2031,Strategy 1
403,Turkey,NMC111,Hydro,1369.1733040093561,2031,Strategy 1
406,Turkey,NMC523,Hydro,1709.1153861538507,2031,Strategy 1
408,Turkey,NMC622,Direct,847.1181380138047,2031,Strategy 1
411,Turkey,NMC811,Direct,670.6042547800123,2031,Strategy 1
414,USA,LFP,Direct,4.653238930273956,2031,Strategy 1
417,USA,NCA,Direct,439929.41909481795,2031,Strategy 1
421,USA,NMC111,Hydro,49226.438385522444,2031,Strategy 1
424,USA,NMC523,Hydro,55296.0843728442,2031,Strategy 1
427,USA,NMC622,Hydro,27352.70915613608,2031,Strategy 1
429,USA,NMC811,Direct,34190.695751749074,2031,Strategy 1
324,United Kingdom,LFP,Direct,0.0,2031,Strategy 1
327,United Kingdom,NCA,Direct,77350.8093956575,2031,Strategy 1
331,United Kingdom,NMC111,Hydro,19650.960127360995,2031,Strategy 1
334,United Kingdom,NMC523,Hydro,24366.638881618906,2031,Strategy 1
337,United Kingdom,NMC622,Hydro,12060.080549444843,2031,Strategy 1
339,United Kingdom,NMC811,Direct,9571.511045917763,2031,Strategy 1
54,Uruguay,LFP,Direct,0.0,2031,Strategy 1
57,Uruguay,NCA,Direct,124.56670532279172,2031,Strategy 1
60,Uruguay,NMC111,Direct,32.765800353546894,2031,Strategy 1
63,Uruguay,NMC523,Direct,39.32641911060952,2031,Strategy 1
66,Uruguay,NMC622,Direct,19.301255993276772,2031,Strategy 1
69,Uruguay,NMC811,Direct,15.039819219775076,2031,Strategy 1
162,Viet Nam,LFP,Direct,0.0,2031,Strategy 1
165,Viet Nam,NCA,Direct,2689.521524116811,2031,Strategy 1
168,Viet Nam,NMC111,Direct,719.872391002816,2031,Strategy 1
172,Viet Nam,NMC523,Hydro,856.4122684058347,2031,Strategy 1
174,Viet Nam,NMC622,Direct,416.8442786656908,2031,Strategy 1
177,Viet Nam,NMC811,Direct,317.3495378088477,2031,Strategy 1
18,Afghanistan,LFP,Direct,0.0,2031,Strategy 1
33,Afghanistan,NCA,Direct,0.0852587964535358,2031,Strategy 1
21,Afghanistan,NMC111,Direct,0.0216237900500358,2031,Strategy 1
30,Afghanistan,NMC523,Direct,0.026818507778426,2031,Strategy 1
24,Afghanistan,NMC622,Direct,0.0132865133827908,2031,Strategy 1
27,Afghanistan,NMC811,Direct,0.0,2031,Strategy 1
54,Albania,LFP,Direct,0.3392556113917834,2031,Strategy 1
69,Albania,NCA,Direct,102.19901026320528,2031,Strategy 1
57,Albania,NMC111,Direct,58.01502133718872,2031,Strategy 1
66,Albania,NMC523,Direct,65.22215519076276,2031,Strategy 1
60,Albania,NMC622,Direct,32.310824696709254,2031,Strategy 1
63,Albania,NMC811,Direct,20.1169943400772,2031,Strategy 1
792,Algeria,LFP,Direct,0.0,2031,Strategy 1
807,Algeria,NCA,Direct,153.35328388515404,2031,Strategy 1
795,Algeria,NMC111,Direct,43.876560006782334,2031,Strategy 1
804,Algeria,NMC523,Direct,48.40267224376562,2031,Strategy 1
798,Algeria,NMC622,Direct,23.25920313140802,2031,Strategy 1
801,Algeria,NMC811,Direct,17.987577407057824,2031,Strategy 1
72,Andorra,LFP,Direct,0.0,2031,Strategy 1
87,Andorra,NCA,Direct,1.284480822723618,2031,Strategy 1
75,Andorra,NMC111,Direct,0.3823156240735414,2031,Strategy 1
84,Andorra,NMC523,Direct,0.3959568291511094,2031,Strategy 1
78,Andorra,NMC622,Direct,0.1895799294122566,2031,Strategy 1
81,Andorra,NMC811,Direct,0.1452585537975334,2031,Strategy 1
36,Angola,LFP,Direct,0.0,2031,Strategy 1
51,Angola,NCA,Direct,15.088476690564423,2031,Strategy 1
39,Angola,NMC111,Direct,4.528688319936718,2031,Strategy 1
48,Angola,NMC523,Direct,4.622627028854558,2031,Strategy 1
42,Angola,NMC622,Direct,2.2000587039538027,2031,Strategy 1
45,Angola,NMC811,Direct,1.5055549822538916,2031,Strategy 1
108,Argentina,LFP,Direct,0.0,2031,Strategy 1
123,Argentina,NCA,Direct,864.0969073356662,2031,Strategy 1
111,Argentina,NMC111,Direct,237.02541018091583,2031,Strategy 1
120,Argentina,NMC523,Direct,270.130406493978,2031,Strategy 1
114,Argentina,NMC622,Direct,132.5917366916267,2031,Strategy 1
117,Argentina,NMC811,Direct,103.53149342951367,2031,Strategy 1
126,Armenia,LFP,Direct,0.0,2031,Strategy 1
141,Armenia,NCA,Direct,7.561301705207392,2031,Strategy 1
129,Armenia,NMC111,Direct,0.8384243421046769,2031,Strategy 1
138,Armenia,NMC523,Direct,2.366436632611672,2031,Strategy 1
132,Armenia,NMC622,Direct,1.25627444022304,2031,Strategy 1
135,Armenia,NMC811,Direct,0.0,2031,Strategy 1
0,Aruba,LFP,Direct,0.0,2031,Strategy 1
15,Aruba,NCA,Direct,3.0087280840739075,2031,Strategy 1
3,Aruba,NMC111,Direct,0.8778735439330209,2031,Strategy 1
12,Aruba,NMC523,Direct,0.9773201180025858,2031,Strategy 1
6,Aruba,NMC622,Direct,2.6128231088816403,2031,Strategy 1
9,Aruba,NMC811,Direct,0.0,2031,Strategy 1
144,Australia,LFP,Direct,0.0,2031,Strategy 1
160,Australia,NCA,Hydro,7934.173404180466,2031,Strategy 1
148,Australia,NMC111,Hydro,2013.5966747802013,2031,Strategy 1
157,Australia,NMC523,Hydro,2496.8090551271,2031,Strategy 1
151,Australia,NMC622,Hydro,1236.6323217066872,2031,Strategy 1
154,Australia,NMC811,Hydro,982.9189494330578,2031,Strategy 1
162,Austria,LFP,Direct,19.624261017946733,2031,Strategy 1
177,Austria,NCA,Direct,6336.303531476919,2031,Strategy 1
166,Austria,NMC111,Hydro,3607.7043104701793,2031,Strategy 1
175,Austria,NMC523,Hydro,4047.155086028225,2031,Strategy 1
168,Austria,NMC622,Direct,2001.9373626737672,2031,Strategy 1
171,Austria,NMC811,Direct,1241.0259927082263,2031,Strategy 1
180,Azerbaijan,LFP,Direct,0.0,2031,Strategy 1
195,Azerbaijan,NCA,Direct,169.24109587905122,2031,Strategy 1
183,Azerbaijan,NMC111,Direct,43.32126694911267,2031,Strategy 1
192,Azerbaijan,NMC523,Direct,53.33877416708191,2031,Strategy 1
186,Azerbaijan,NMC622,Direct,26.353055114612346,2031,Strategy 1
189,Azerbaijan,NMC811,Direct,20.81879021027969,2031,Strategy 1
324,Bahamas,LFP,Direct,0.0,2031,Strategy 1
339,Bahamas,NCA,Direct,0.0053556239621631,2031,Strategy 1
327,Bahamas,NMC111,Direct,0.0,2031,Strategy 1
336,Bahamas,NMC523,Direct,0.0,2031,Strategy 1
330,Bahamas,NMC622,Direct,0.0,2031,Strategy 1
333,Bahamas,NMC811,Direct,0.0,2031,Strategy 1
306,Bahrain,LFP,Direct,0.0,2031,Strategy 1
321,Bahrain,NCA,Direct,1.3880588839815915,2031,Strategy 1
309,Bahrain,NMC111,Direct,0.8067332486515699,2031,Strategy 1
318,Bahrain,NMC523,Direct,0.533531697523769,2031,Strategy 1
312,Bahrain,NMC622,Direct,0.2610757722943275,2031,Strategy 1
315,Bahrain,NMC811,Direct,0.0376817534429533,2031,Strategy 1
270,Bangladesh,LFP,Direct,0.0,2031,Strategy 1
285,Bangladesh,NCA,Direct,0.6904219653278482,2031,Strategy 1
273,Bangladesh,NMC111,Direct,0.2223044177418487,2031,Strategy 1
282,Bangladesh,NMC523,Direct,0.1896495813078369,2031,Strategy 1
276,Bangladesh,NMC622,Direct,0.0907991787224625,2031,Strategy 1
279,Bangladesh,NMC811,Direct,0.0722933033902132,2031,Strategy 1
432,Barbados,LFP,Direct,0.0,2031,Strategy 1
447,Barbados,NCA,Direct,0.0,2031,Strategy 1
435,Barbados,NMC111,Direct,0.0,2031,Strategy 1
444,Barbados,NMC523,Direct,0.0,2031,Strategy 1
438,Barbados,NMC622,Direct,0.0,2031,Strategy 1
441,Barbados,NMC811,Direct,0.0,2031,Strategy 1
360,Belarus,LFP,Direct,0.0,2031,Strategy 1
375,Belarus,NCA,Direct,515.8373638549109,2031,Strategy 1
363,Belarus,NMC111,Direct,131.84475204824136,2031,Strategy 1
372,Belarus,NMC523,Direct,162.40732483253367,2031,Strategy 1
366,Belarus,NMC622,Direct,80.29075347087671,2031,Strategy 1
369,Belarus,NMC811,Direct,63.49781249473196,2031,Strategy 1
217,Belgium,LFP,Hydro,27.11737864040582,2031,Strategy 1
232,Belgium,NCA,Hydro,8859.680394263534,2031,Strategy 1
220,Belgium,NMC111,Hydro,5045.501375621876,2031,Strategy 1
229,Belgium,NMC523,Hydro,5668.046118316565,2031,Strategy 1
223,Belgium,NMC622,Hydro,2803.516410633616,2031,Strategy 1
226,Belgium,NMC811,Hydro,1736.6548288999943,2031,Strategy 1
234,Benin,LFP,Direct,0.0,2031,Strategy 1
249,Benin,NCA,Direct,179.54382545744494,2031,Strategy 1
237,Benin,NMC111,Direct,45.55267896621724,2031,Strategy 1
246,Benin,NMC523,Direct,56.4807050748557,2031,Strategy 1
240,Benin,NMC622,Direct,27.978930107707885,2031,Strategy 1
243,Benin,NMC811,Direct,22.21172237076089,2031,Strategy 1
378,Bermuda,LFP,Direct,0.0,2031,Strategy 1
393,Bermuda,NCA,Direct,1.4108092397754364,2031,Strategy 1
381,Bermuda,NMC111,Direct,0.3377015840089609,2031,Strategy 1
390,Bermuda,NMC523,Direct,0.5895297672772716,2031,Strategy 1
384,Bermuda,NMC622,Direct,0.2005264849214338,2031,Strategy 1
387,Bermuda,NMC811,Direct,0.0375724950281888,2031,Strategy 1
396,Bolivia (Plurinational State of),LFP,Direct,0.0,2031,Strategy 1
411,Bolivia (Plurinational State of),NCA,Direct,371.7948999188597,2031,Strategy 1
399,Bolivia (Plurinational State of),NMC111,Direct,95.06767273797212,2031,Strategy 1
408,Bolivia (Plurinational State of),NMC523,Direct,116.87234237701674,2031,Strategy 1
402,Bolivia (Plurinational State of),NMC622,Direct,57.79236191314093,2031,Strategy 1
405,Bolivia (Plurinational State of),NMC811,Direct,45.50988213614231,2031,Strategy 1
342,Bosnia Herzegovina,LFP,Direct,0.0,2031,Strategy 1
357,Bosnia Herzegovina,NCA,Direct,41.29090098359176,2031,Strategy 1
345,Bosnia Herzegovina,NMC111,Direct,10.57090720940381,2031,Strategy 1
354,Bosnia Herzegovina,NMC523,Direct,12.967218678356508,2031,Strategy 1
348,Bosnia Herzegovina,NMC622,Direct,6.411726526247883,2031,Strategy 1
351,Bosnia Herzegovina,NMC811,Direct,5.05822423037608,2031,Strategy 1
468,Botswana,LFP,Direct,0.0,2031,Strategy 1
483,Botswana,NCA,Direct,95.5066359585732,2031,Strategy 1
471,Botswana,NMC111,Direct,24.63801359811175,2031,Strategy 1
480,Botswana,NMC523,Direct,30.17338510998742,2031,Strategy 1
474,Botswana,NMC622,Direct,14.872052221190842,2031,Strategy 1
477,Botswana,NMC811,Direct,11.633508696238716,2031,Strategy 1
414,Brazil,LFP,Direct,0.0,2031,Strategy 1
429,Brazil,NCA,Direct,283901.2895431022,2031,Strategy 1
418,Brazil,NMC111,Hydro,72004.28569204417,2031,Strategy 1
427,Brazil,NMC523,Hydro,89302.2232867067,2031,Strategy 1
421,Brazil,NMC622,Hydro,44242.45020453604,2031,Strategy 1
423,Brazil,NMC811,Direct,35226.13180658343,2031,Strategy 1
450,Brunei Darussalam,LFP,Direct,0.0,2031,Strategy 1
465,Brunei Darussalam,NCA,Direct,5.966059548846571,2031,Strategy 1
453,Brunei Darussalam,NMC111,Direct,1.5778953319411546,2031,Strategy 1
462,Brunei Darussalam,NMC523,Direct,1.87339923163234,2031,Strategy 1
456,Brunei Darussalam,NMC622,Direct,0.918984088844688,2031,Strategy 1
459,Brunei Darussalam,NMC811,Direct,0.7199213354317504,2031,Strategy 1
288,Bulgaria,LFP,Direct,1.5370884160626297,2031,Strategy 1
303,Bulgaria,NCA,Direct,463.16712935054113,2031,Strategy 1
291,Bulgaria,NMC111,Direct,262.92532605187705,2031,Strategy 1
300,Bulgaria,NMC523,Direct,295.58784555638687,2031,Strategy 1
294,Bulgaria,NMC622,Direct,146.43302351450384,2031,Strategy 1
297,Bulgaria,NMC811,Direct,91.1699882121844,2031,Strategy 1
252,Burkina Faso,LFP,Direct,0.0,2031,Strategy 1
267,Burkina Faso,NCA,Direct,147.25619994438816,2031,Strategy 1
255,Burkina Faso,NMC111,Direct,37.62500084217312,2031,Strategy 1
264,Burkina Faso,NMC523,Direct,46.39138271073143,2031,Strategy 1
258,Burkina Faso,NMC622,Direct,22.935731920198496,2031,Strategy 1
261,Burkina Faso,NMC811,Direct,18.20322116135467,2031,Strategy 1
198,Burundi,LFP,Direct,0.0,2031,Strategy 1
213,Burundi,NCA,Direct,54.21799959294553,2031,Strategy 1
201,Burundi,NMC111,Direct,14.699447145990488,2031,Strategy 1
210,Burundi,NMC523,Direct,17.488098752935006,2031,Strategy 1
204,Burundi,NMC622,Direct,8.463529986155812,2031,Strategy 1
207,Burundi,NMC811,Direct,6.613995961026175,2031,Strategy 1
558,C?te d'Ivoire,LFP,Direct,0.0,2031,Strategy 1
573,C?te d'Ivoire,NCA,Direct,56.63737085385544,2031,Strategy 1
561,C?te d'Ivoire,NMC111,Direct,15.34312787625007,2031,Strategy 1
570,C?te d'Ivoire,NMC523,Direct,17.74866411280436,2031,Strategy 1
564,C?te d'Ivoire,NMC622,Direct,8.658581103005421,2031,Strategy 1
567,C?te d'Ivoire,NMC811,Direct,6.721937493075509,2031,Strategy 1
648,Cabo Verde,LFP,Direct,0.0,2031,Strategy 1
663,Cabo Verde,NCA,Direct,1.5019243074166422,2031,Strategy 1
651,Cabo Verde,NMC111,Direct,0.3918911166072711,2031,Strategy 1
660,Cabo Verde,NMC523,Direct,0.475651501514368,2031,Strategy 1
654,Cabo Verde,NMC622,Direct,0.2335197462287304,2031,Strategy 1
657,Cabo Verde,NMC811,Direct,0.1825390991738988,2031,Strategy 1
1404,Cambodia,LFP,Direct,0.0,2031,Strategy 1
1419,Cambodia,NCA,Direct,193.25161271156887,2031,Strategy 1
1407,Cambodia,NMC111,Direct,49.5613626477734,2031,Strategy 1
1416,Cambodia,NMC523,Direct,60.963742930558126,2031,Strategy 1
1410,Cambodia,NMC622,Direct,30.09506680097777,2031,Strategy 1
1413,Cambodia,NMC811,Direct,23.661844745976985,2031,Strategy 1
576,Cameroon,LFP,Direct,0.0,2031,Strategy 1
591,Cameroon,NCA,Direct,0.6692092882567581,2031,Strategy 1
579,Cameroon,NMC111,Direct,0.4973496884379643,2031,Strategy 1
588,Cameroon,NMC523,Direct,0.1930011518173577,2031,Strategy 1
582,Cameroon,NMC622,Direct,0.0556209898147605,2031,Strategy 1
585,Cameroon,NMC811,Direct,0.0,2031,Strategy 1
486,Canada,LFP,Direct,0.0,2031,Strategy 1
502,Canada,NCA,Hydro,36759.08921754284,2031,Strategy 1
490,Canada,NMC111,Hydro,9335.333818611774,2031,Strategy 1
499,Canada,NMC523,Hydro,11570.420395402063,2031,Strategy 1
493,Canada,NMC622,Hydro,5728.3399751140805,2031,Strategy 1
495,Canada,NMC811,Direct,4549.379157536402,2031,Strategy 1
684,Cayman Isds,LFP,Direct,0.0,2031,Strategy 1
699,Cayman Isds,NCA,Direct,0.0,2031,Strategy 1
687,Cayman Isds,NMC111,Direct,0.0,2031,Strategy 1
696,Cayman Isds,NMC523,Direct,0.0,2031,Strategy 1
690,Cayman Isds,NMC622,Direct,0.0,2031,Strategy 1
693,Cayman Isds,NMC811,Direct,0.0,2031,Strategy 1
522,Chile,LFP,Direct,0.0,2031,Strategy 1
537,Chile,NCA,Direct,194.75556385389203,2031,Strategy 1
525,Chile,NMC111,Direct,49.49527220254579,2031,Strategy 1
534,Chile,NMC523,Direct,61.29148136939959,2031,Strategy 1
528,Chile,NMC622,Direct,30.346039119511108,2031,Strategy 1
531,Chile,NMC811,Direct,24.10299589235228,2031,Strategy 1
540,China,LFP,Direct,1084181.5033780448,2031,Strategy 1
555,China,NCA,Direct,70453.59439586499,2031,Strategy 1
544,China,NMC111,Hydro,348042.2593093397,2031,Strategy 1
553,China,NMC523,Hydro,101096.4366392788,2031,Strategy 1
546,China,NMC622,Direct,402199.8633955423,2031,Strategy 1
549,China,NMC811,Direct,215505.0442900579,2031,Strategy 1
612,Colombia,LFP,Direct,0.0,2031,Strategy 1
627,Colombia,NCA,Direct,793.2996957725576,2031,Strategy 1
615,Colombia,NMC111,Direct,205.19135179842456,2031,Strategy 1
624,Colombia,NMC523,Direct,249.0118467977494,2031,Strategy 1
618,Colombia,NMC622,Direct,122.85202115910008,2031,Strategy 1
621,Colombia,NMC811,Direct,96.75644117981648,2031,Strategy 1
630,Comoros,LFP,Direct,0.0,2031,Strategy 1
645,Comoros,NCA,Direct,0.496663342357196,2031,Strategy 1
633,Comoros,NMC111,Direct,0.1259744404013047,2031,Strategy 1
642,Comoros,NMC523,Direct,0.1561910893306774,2031,Strategy 1
636,Comoros,NMC622,Direct,0.0773807040209345,2031,Strategy 1
639,Comoros,NMC811,Direct,0.0609238174146872,2031,Strategy 1
594,Congo,LFP,Direct,0.0,2031,Strategy 1
609,Congo,NCA,Direct,4.439335053632202,2031,Strategy 1
597,Congo,NMC111,Direct,0.8975277898810385,2031,Strategy 1
606,Congo,NMC523,Direct,1.4304930215808456,2031,Strategy 1
600,Congo,NMC622,Direct,0.674254390312308,2031,Strategy 1
603,Congo,NMC811,Direct,0.0,2031,Strategy 1
666,Costa Rica,LFP,Direct,0.0,2031,Strategy 1
681,Costa Rica,NCA,Direct,221.46928974521248,2031,Strategy 1
669,Costa Rica,NMC111,Direct,58.603036443873485,2031,Strategy 1
678,Costa Rica,NMC523,Direct,69.76723868338011,2031,Strategy 1
672,Costa Rica,NMC622,Direct,34.24713468634044,2031,Strategy 1
675,Costa Rica,NMC811,Direct,26.68467191136195,2031,Strategy 1
1134,Croatia,LFP,Direct,1.262545062900539,2031,Strategy 1
1149,Croatia,NCA,Direct,380.5145079205644,2031,Strategy 1
1137,Croatia,NMC111,Direct,216.0059169579133,2031,Strategy 1
1146,Croatia,NMC523,Direct,242.8398476761579,2031,Strategy 1
1140,Croatia,NMC622,Direct,120.30191331141452,2031,Strategy 1
1143,Croatia,NMC811,Direct,74.90072545005718,2031,Strategy 1
702,Cyprus,LFP,Direct,0.4530152626113904,2031,Strategy 1
717,Cyprus,NCA,Direct,135.8275694289061,2031,Strategy 1
705,Cyprus,NMC111,Direct,77.11043181235326,2031,Strategy 1
714,Cyprus,NMC523,Direct,86.68579191687307,2031,Strategy 1
708,Cyprus,NMC622,Direct,42.94216804546668,2031,Strategy 1
711,Cyprus,NMC811,Direct,26.73314127602604,2031,Strategy 1
721,Czechia,LFP,Hydro,13.191826780909365,2031,Strategy 1
736,Czechia,NCA,Hydro,3988.531182555398,2031,Strategy 1
724,Czechia,NMC111,Hydro,2264.0902183814987,2031,Strategy 1
733,Czechia,NMC523,Hydro,2545.443122683549,2031,Strategy 1
727,Czechia,NMC622,Hydro,1261.0177582932342,2031,Strategy 1
730,Czechia,NMC811,Hydro,785.1327712204761,2031,Strategy 1
756,Denmark,LFP,Direct,12.384868257193824,2031,Strategy 1
