,country,type,scrap,year,Strategy type,recycling_m,CO2,CO2_em
476,Brazil,NMC622,204.5802667700036,2025,Strategy 1,Hydro,2.337983546,478.3052975445589
477,Brazil,NMC811,159.4369004686885,2025,Strategy 1,Hydro,2.2614716749999997,360.5620343597332
478,Brazil,NMC523,414.33045417984596,2025,Strategy 1,Hydro,2.357900841,976.9501263625708
479,Brazil,NCA,1312.063922716729,2025,Strategy 1,Hydro,2.249491865,2951.4771205112706
480,Australia,LFP,0.0,2025,Strategy 1,Hydro,0.8018847791,0.0
481,Australia,NMC111,205.30316443191768,2025,Strategy 1,Hydro,2.414310695,495.6656256053225
482,Australia,NMC622,109.24141007190042,2025,Strategy 1,Hydro,2.337983546,255.40461928994182
483,Australia,NMC811,69.91020317540425,2025,Strategy 1,Hydro,2.2614716749999997,158.09994427467174
484,Australia,NMC523,231.8088490878003,2025,Strategy 1,Hydro,2.357900841,546.5822802153665
485,Australia,NCA,700.3084899252249,2025,Strategy 1,Hydro,2.249491865,1575.3382510772278
486,Czechia,LFP,0.3282341834575253,2025,Strategy 1,Hydro,0.8018847791,0.26320599569490655
487,Czechia,NMC111,57.89088938849815,2025,Strategy 1,Hydro,2.414310695,139.76659339371312
488,Czechia,NMC622,30.770840793915575,2025,Strategy 1,Hydro,2.337983546,71.94171947276018
489,Czechia,NMC811,16.98350211251918,2025,Strategy 1,Hydro,2.2614716749999997,38.40770896976478
490,Czechia,NMC523,63.99293366715537,2025,Strategy 1,Hydro,2.357900841,150.88899211184287
491,Czechia,NCA,97.2004888368253,2025,Strategy 1,Hydro,2.249491865,218.65170891246183
492,Netherlands,LFP,12.8804970177638,2025,Strategy 1,Hydro,0.8018847791,10.328674505787733
493,Netherlands,NMC111,2328.9292269264197,2025,Strategy 1,Hydro,2.414310695,5622.758740466537
494,Netherlands,NMC622,1261.8284100071075,2025,Strategy 1,Hydro,2.337983546,2950.134060471959
495,Netherlands,NMC811,569.0451761909502,2025,Strategy 1,Hydro,2.2614716749999997,1286.879547751218
496,Netherlands,NMC523,2694.8409958796387,2025,Strategy 1,Hydro,2.357900841,6354.1678505458785
497,Netherlands,NCA,3852.3410082025166,2025,Strategy 1,Hydro,2.249491865,8665.809759157459
498,Belgium,LFP,7.720277108459332,2025,Strategy 1,Hydro,0.8018847791,6.190772703707698
499,Belgium,NMC111,1470.1032409527545,2025,Strategy 1,Hydro,2.414310695,3549.2859773863975
500,Belgium,NMC622,723.707038814185,2025,Strategy 1,Hydro,2.337983546,1692.0151488719478
501,Belgium,NMC811,370.3759037666815,2025,Strategy 1,Hydro,2.2614716749999997,837.594615470876
502,Belgium,NMC523,1566.027645143378,2025,Strategy 1,Hydro,2.357900841,3692.537901512821
503,Belgium,NCA,2333.4848428079617,2025,Strategy 1,Hydro,2.249491865,5249.155170997314
504,Finland,LFP,2.7370582434105293,2025,Strategy 1,Hydro,0.8018847791,2.1948053449010865
505,Finland,NMC111,490.984978636462,2025,Strategy 1,Hydro,2.414310695,1185.3902850063569
506,Finland,NMC622,246.64539921517638,2025,Strategy 1,Hydro,2.337983546,576.6528850616836
507,Finland,NMC811,123.05787020197825,2025,Strategy 1,Hydro,2.2614716749999997,278.2918878476003
508,Finland,NMC523,529.7593490527078,2025,Strategy 1,Hydro,2.357900841,1249.1200146589922
509,Finland,NCA,779.904234707985,2025,Strategy 1,Hydro,2.249491865,1754.388231454663
510,Switzerland,LFP,0.0,2025,Strategy 1,Hydro,0.8018847791,0.0
