,source_point,dest_point,quantity,distcap,CO2,year,Strategy type
88,KWT,TUR,93.0,1816.297,2871.5655570000004,2025,Strategy 2
89,LBN,TUR,51.0,714.7758,619.7106186,2025,Strategy 2
90,LSO,TUR,6.0,7727.073,788.1614460000001,2025,Strategy 2
91,MOZ,TUR,7.0,7334.297,872.781343,2025,Strategy 2
92,MWI,TUR,103.0,5999.491,10505.108741,2025,Strategy 2
93,PAL,TUR,3.0,945.8355,48.2376105,2025,Strategy 2
94,QAT,TUR,73.0,2386.131,2961.188571,2025,Strategy 2
95,RWA,TUR,35.0,4667.988,2777.4528600000003,2025,Strategy 2
96,SAU,TUR,857.0,2140.525,31185.308725000003,2025,Strategy 2
97,SDN,TUR,1.0,2713.648,46.13201600000001,2025,Strategy 2
98,TZA,TUR,151.0,5139.468,13193.014356,2025,Strategy 2
99,UGA,TUR,420.0,4407.16,31467.1224,2025,Strategy 2
100,YEM,TUR,35.0,2945.615,1752.640925,2025,Strategy 2
101,ZAF,TUR,24.0,7323.674,2988.058992,2025,Strategy 2
102,ZMB,TUR,40.0,6183.896,4205.04928,2025,Strategy 2
103,ZWE,TUR,101.0,6431.728,11043.276976000001,2025,Strategy 2
104,SWZ,TUR,1.0,7377.204,125.412468,2025,Strategy 2
105,ABW,USA,12.0,3007.269,613.4828759999999,2025,Strategy 2
106,BMU,USA,16.0,1322.397,359.691984,2025,Strategy 2
107,BRB,USA,2.0,3340.145,113.56493,2025,Strategy 2
108,CRI,USA,127.0,3290.809,7104.856631000001,2025,Strategy 2
109,DOM,USA,93.0,2371.688,3749.6387280000004,2025,Strategy 2
110,GRD,USA,2.0,3342.946,113.66016400000001,2025,Strategy 2
111,GTM,USA,232.0,3004.99,11851.680559999999,2025,Strategy 2
112,HND,USA,48.0,2935.833,2395.639728,2025,Strategy 2
113,JAM,USA,40.0,2326.271,1581.8642800000002,2025,Strategy 2
114,LCA,USA,2.0,3181.807,108.181438,2025,Strategy 2
115,MEX,USA,428.0,3037.916,22103.876816000004,2025,Strategy 2
116,NIC,USA,68.0,3117.858,3604.2438480000005,2025,Strategy 2
117,PAN,USA,68.0,3339.086,3859.983416,2025,Strategy 2
118,SLV,USA,69.0,3049.378,3576.9203940000007,2025,Strategy 2
119,IRL,GBR,161.0,460.4115,1260.1462755,2025,Strategy 2
0,ABW,KOR,12.0,14183.6,2893.4544000000005,2025,Strategy 3
1,AGO,KOR,37.0,12705.4,7991.6966,2025,Strategy 3
2,ALB,KOR,5.0,8562.792,727.8373200000001,2025,Strategy 3
3,AND,KOR,1.0,9559.896,162.518232,2025,Strategy 3
4,ARE,KOR,1739.0,6909.236,204257.743868,2025,Strategy 3
5,ARG,KOR,648.0,19447.35,214232.00759999998,2025,Strategy 3
6,ARM,KOR,21.0,6882.943,2457.2106510000003,2025,Strategy 3
7,AUT,KOR,3549.0,8289.029,500101.98665700003,2025,Strategy 3
8,AZE,KOR,62.0,6461.836,6810.775144,2025,Strategy 3
9,BDI,KOR,27.0,10923.19,5013.744210000001,2025,Strategy 3
10,BEN,KOR,16.0,12463.68,3390.12096,2025,Strategy 3
11,BFA,KOR,41.0,12325.82,8591.09654,2025,Strategy 3
12,BGR,KOR,26.0,8244.246,3643.956732,2025,Strategy 3
13,BHR,KOR,19.0,7136.002,2304.9286460000003,2025,Strategy 3
14,BIH,KOR,21.0,8473.069,3024.8856330000003,2025,Strategy 3
15,BLR,KOR,189.0,7292.729,23431.538277,2025,Strategy 3
16,BMU,KOR,16.0,12169.14,3310.00608,2025,Strategy 3
17,BOL,KOR,168.0,17663.53,50447.04168,2025,Strategy 3
18,BRB,KOR,2.0,14359.76,488.23184000000003,2025,Strategy 3
19,BRN,KOR,5.0,3825.485,325.166225,2025,Strategy 3
20,BWA,KOR,64.0,12595.07,13703.436160000001,2025,Strategy 3
21,CHL,KOR,32.0,18375.18,9996.09792,2025,Strategy 3
22,CIV,KOR,34.0,13048.33,7541.93474,2025,Strategy 3
23,CMR,KOR,8.0,11957.9,1626.2744,2025,Strategy 3
24,COG,KOR,22.0,12217.9,4569.4946,2025,Strategy 3
25,COL,KOR,492.0,14817.3,123931.8972,2025,Strategy 3
26,CRI,KOR,127.0,13836.1,29872.139900000002,2025,Strategy 3
27,CYP,KOR,9.0,8012.453,1225.9053090000002,2025,Strategy 3
28,DNK,KOR,3697.0,7955.016,499964.800584,2025,Strategy 3
29,DOM,KOR,93.0,13557.66,21434.66046,2025,Strategy 3
30,DZA,KOR,143.0,9954.01,24198.19831,2025,Strategy 3
31,ECU,KOR,91.0,15129.37,23405.135390000003,2025,Strategy 3
32,EGY,KOR,225.0,8497.368,32502.432600000004,2025,Strategy 3
33,EST,KOR,11.0,7122.724,1331.9493880000002,2025,Strategy 3
34,ETH,KOR,82.0,9244.567,12886.926398,2025,Strategy 3
35,FJI,KOR,30.0,8202.271,4183.1582100000005,2025,Strategy 3
36,GEO,KOR,11.0,6783.199,1268.4582130000001,2025,Strategy 3
37,GHA,KOR,134.0,12774.57,29100.47046,2025,Strategy 3
38,GIN,KOR,1.0,13518.34,229.81178000000003,2025,Strategy 3
39,GRC,KOR,978.0,8528.293,141791.39941800002,2025,Strategy 3
40,GRD,KOR,2.0,14442.14,491.03276,2025,Strategy 3
41,GTM,KOR,232.0,13029.69,51389.09736000001,2025,Strategy 3
42,GUY,KOR,16.0,15077.83,4101.169760000001,2025,Strategy 3
43,HND,KOR,48.0,13268.34,10826.965440000002,2025,Strategy 3
44,HRV,KOR,22.0,8485.063,3173.413562,2025,Strategy 3
45,IDN,KOR,5959.0,5291.684,536063.4642520001,2025,Strategy 3
46,IRL,KOR,161.0,8968.355,24546.387635000003,2025,Strategy 3
47,IRN,KOR,298.0,6562.448,33245.36156800001,2025,Strategy 3
48,ISL,KOR,452.0,8396.076,64515.447984,2025,Strategy 3
49,ISR,KOR,1354.0,8092.951,186283.546118,2025,Strategy 3
50,JAM,KOR,40.0,13375.87,9095.591600000002,2025,Strategy 3
51,JOR,KOR,136.0,8009.55,18518.0796,2025,Strategy 3
52,KAZ,KOR,383.0,4552.944,29644.218384000003,2025,Strategy 3
53,KEN,KOR,257.0,10118.59,44208.11971,2025,Strategy 3
54,KGZ,KOR,18.0,4422.647,1353.329982,2025,Strategy 3
55,KHM,KOR,62.0,3628.807,3824.762578,2025,Strategy 3
56,KWT,KOR,93.0,7181.025,11353.200525,2025,Strategy 3
57,LAO,KOR,40.0,3218.349,2188.4773200000004,2025,Strategy 3
58,LBN,KOR,51.0,7926.322,6872.121174000001,2025,Strategy 3
59,LCA,KOR,2.0,14239.55,484.1447,2025,Strategy 3
60,LKA,KOR,108.0,5840.513,10723.181868,2025,Strategy 3
61,LSO,KOR,6.0,12727.98,1298.2539600000002,2025,Strategy 3
62,LTU,KOR,21.0,7365.838,2629.604166,2025,Strategy 3
63,LUX,KOR,27.0,8733.371,4008.6172890000003,2025,Strategy 3
64,LVA,KOR,13.0,7297.289,1612.700869,2025,Strategy 3
65,MAR,KOR,83.0,10750.38,15168.78618,2025,Strategy 3
66,MDA,KOR,26.0,7611.25,3364.1725,2025,Strategy 3
67,MDG,KOR,18.0,10400.05,3182.4153,2025,Strategy 3
68,MDV,KOR,11.0,6570.516,1228.686492,2025,Strategy 3
69,MEX,KOR,428.0,12066.01,87792.28876000001,2025,Strategy 3
70,MKD,KOR,25.0,8409.194,3573.9074499999997,2025,Strategy 3
71,MLI,KOR,5.0,12736.69,1082.6186500000001,2025,Strategy 3
72,MLT,KOR,5.0,9305.214,790.9431900000001,2025,Strategy 3
73,MNG,KOR,22.0,2003.103,749.1605220000001,2025,Strategy 3
74,MOZ,KOR,7.0,12104.01,1440.3771900000002,2025,Strategy 3
75,MUS,KOR,38.0,9691.986,6261.022956000002,2025,Strategy 3
76,MWI,KOR,103.0,11233.9,19670.5589,2025,Strategy 3
77,MYS,KOR,9.0,4614.067,705.952251,2025,Strategy 3
78,NAM,KOR,35.0,13231.29,7872.617550000001,2025,Strategy 3
79,NER,KOR,15.0,11953.51,3048.14505,2025,Strategy 3
80,NGA,KOR,726.0,11909.62,146988.53004000004,2025,Strategy 3
81,NIC,KOR,68.0,13509.79,15617.317240000002,2025,Strategy 3
82,NPL,KOR,44.0,4022.39,3008.7477200000003,2025,Strategy 3
83,NZL,KOR,740.0,10293.84,129496.50720000002,2025,Strategy 3
84,OMN,KOR,55.0,6590.233,6161.867855,2025,Strategy 3
85,PAK,KOR,404.0,4828.073,33159.205364,2025,Strategy 3
86,PAL,KOR,3.0,8153.009,415.8034590000001,2025,Strategy 3
87,PAN,KOR,68.0,14173.68,16384.77408,2025,Strategy 3
88,PER,KOR,427.0,16329.76,118537.72784000002,2025,Strategy 3
89,PHL,KOR,1866.0,2615.751,82976.85322200002,2025,Strategy 3
90,PRT,KOR,2813.0,10433.49,498939.92529000004,2025,Strategy 3
91,PRY,KOR,57.0,18600.7,18024.078300000005,2025,Strategy 3
92,PYF,KOR,30.0,10635.72,5424.2172,2025,Strategy 3
93,QAT,KOR,73.0,7113.408,8827.739328000001,2025,Strategy 3
94,RWA,KOR,35.0,10759.94,6402.164300000001,2025,Strategy 3
95,SAU,KOR,857.0,7557.272,110101.89576800002,2025,Strategy 3
96,SDN,KOR,1.0,9354.622,159.028574,2025,Strategy 3
97,SEN,KOR,42.0,13142.53,9383.76642,2025,Strategy 3
98,SLE,KOR,2.0,13456.32,457.51488,2025,Strategy 3
99,SLV,KOR,69.0,13198.76,15482.145480000003,2025,Strategy 3
100,SVN,KOR,20.0,8551.701,2907.57834,2025,Strategy 3
101,SYC,KOR,2.0,8724.406,296.62980400000004,2025,Strategy 3
102,TGO,KOR,26.0,12601.71,5569.95582,2025,Strategy 3
103,TJK,KOR,4.0,5008.503,340.578204,2025,Strategy 3
104,TTO,KOR,22.0,14603.4,5461.671600000001,2025,Strategy 3
105,TUN,KOR,23.0,9513.838,3719.9106580000002,2025,Strategy 3
106,TZA,KOR,151.0,10545.37,27069.964790000005,2025,Strategy 3
107,UGA,KOR,420.0,10384.14,74142.7596,2025,Strategy 3
108,UKR,KOR,784.0,7309.346,97418.963488,2025,Strategy 3
109,URY,KOR,37.0,19629.5,12346.9555,2025,Strategy 3
110,UZB,KOR,44.0,4896.334,3662.457832,2025,Strategy 3
111,YEM,KOR,35.0,8353.075,4970.079625,2025,Strategy 3
112,ZAF,KOR,24.0,12457.03,5082.468240000001,2025,Strategy 3
113,ZMB,KOR,40.0,11816.32,8035.0976,2025,Strategy 3
114,ZWE,KOR,101.0,11725.41,20132.52897,2025,Strategy 3
115,MMR,KOR,135.0,3796.143,8712.148185,2025,Strategy 3
116,SWZ,KOR,1.0,12247.65,208.21005,2025,Strategy 3
117,VNM,KOR,9450.00000000001,2740.135,440202.68775000045,2025,Strategy 3
0,FJI,AUS,39.0,3460.569,2294.357247,2026,Strategy 2
1,NZL,AUS,1224.0,2397.488,49886.930304,2026,Strategy 2
2,PYF,AUS,42.0,6319.975,4512.46215,2026,Strategy 2
3,ARG,BRA,743.0,2353.257,29723.989167000003,2026,Strategy 2
4,BOL,BRA,245.0,1876.689,7816.4096850000005,2026,Strategy 2
5,CHL,BRA,59.0,3017.946,3026.9998379999997,2026,Strategy 2
6,COL,BRA,698.0,3756.413,44573.59665800001,2026,Strategy 2
7,ECU,BRA,131.0,3779.018,8415.873086000001,2026,Strategy 2
8,GUY,BRA,37.0,2752.313,1731.2048770000001,2026,Strategy 2
9,LSO,BRA,10.0,7772.399,1321.3078300000002,2026,Strategy 2
10,NAM,BRA,54.0,6825.919,6266.193642,2026,Strategy 2
11,PER,BRA,558.0,3171.635,30086.129610000004,2026,Strategy 2
12,PRY,BRA,80.0,1463.434,1990.27024,2026,Strategy 2
13,TTO,BRA,37.0,3300.022,2075.713838,2026,Strategy 2
14,URY,BRA,48.0,2283.672,1863.4763520000001,2026,Strategy 2
15,EST,FIN,27.0,80.98481,37.17202779,2026,Strategy 2
16,LVA,FIN,30.0,358.1294,182.645994,2026,Strategy 2
17,LUX,FRA,63.0,289.1023,309.62856330000005,2026,Strategy 2
18,DNK,DEU,6891.0,352.9857,41351.2157979,2026,Strategy 2
19,AUT,HUN,6010.0,215.6626,22034.247842,2026,Strategy 2
20,BIH,HUN,31.0,407.2162,214.6029374,2026,Strategy 2
21,HRV,HUN,52.0,302.1079,267.0633836,2026,Strategy 2
22,SVN,HUN,48.0,381.6249,311.4059184,2026,Strategy 2
23,ARE,IND,1973.0,2312.871,77576.006211,2026,Strategy 2
24,BHR,IND,18.0,2634.919,806.2852140000001,2026,Strategy 2
25,KGZ,IND,15.0,1606.963,409.77556500000003,2026,Strategy 2
26,MDG,IND,27.0,6175.918,2834.746362,2026,Strategy 2
27,MDV,IND,14.0,2750.004,654.500952,2026,Strategy 2
28,MOZ,IND,9.0,7723.632,1181.715696,2026,Strategy 2
29,MUS,IND,54.0,5828.435,5350.503330000001,2026,Strategy 2
30,NPL,IND,51.0,801.1843,694.6267881,2026,Strategy 2
31,OMN,IND,84.0,1936.222,2764.925016,2026,Strategy 2
32,PAK,IND,806.0,683.3699,9363.5343698,2026,Strategy 2
33,QAT,IND,81.0,2570.834,3540.0384179999996,2026,Strategy 2
34,SYC,IND,4.0,4372.486,297.329048,2026,Strategy 2
35,TJK,IND,6.0,1356.548,138.36789600000003,2026,Strategy 2
36,UZB,IND,72.0,1584.103,1938.942072,2026,Strategy 2
37,YEM,IND,54.0,3691.113,3388.441734,2026,Strategy 2
38,AGO,ITA,36.0,5645.243,3454.8887160000004,2026,Strategy 2
39,ALB,ITA,13.0,611.7626,135.19953460000002,2026,Strategy 2
40,BDI,ITA,29.0,5315.705,2620.642565,2026,Strategy 2
41,BWA,ITA,84.0,7543.876,10772.654928000002,2026,Strategy 2
42,CMR,ITA,6.0,4234.211,431.8895220000001,2026,Strategy 2
43,COG,ITA,25.0,5140.217,2184.592225,2026,Strategy 2
