,country,type,scrap,year,Strategy type,recycling_m,CO2,CO2_em
0,China,LFP,91306.99900766967,2025,Strategy 2,Direct,2.252335332,205653.97992386334
1,China,NMC111,37377.2939027401,2025,Strategy 2,Direct,2.557347078,95586.7133457196
2,China,NMC622,40092.55238952166,2025,Strategy 2,Direct,2.478807863,99381.73411088574
3,China,NMC811,19042.20780226504,2025,Strategy 2,Direct,2.397518212,45654.04000261892
4,China,NMC523,9031.167901999801,2025,Strategy 2,Direct,2.496014242,22541.923705284764
5,China,NCA,5081.3566096419745,2025,Strategy 2,Direct,2.452491446,12461.983619222503
6,India,LFP,0.0,2025,Strategy 2,Direct,2.252335332,0.0
7,India,NMC111,636.9329005428679,2025,Strategy 2,Direct,2.557347078,1628.8584920853675
8,India,NMC622,278.33643891945525,2025,Strategy 2,Direct,2.478807863,689.942553352965
9,India,NMC811,147.7429448334486,2025,Strategy 2,Direct,2.397518212,354.21640093270435
10,India,NMC523,646.6424897823098,2025,Strategy 2,Direct,2.496014242,1614.0288639789849
11,India,NCA,1717.4023270998732,2025,Strategy 2,Direct,2.452491446,4211.914516552933
12,Japan,LFP,0.0,2025,Strategy 2,Direct,2.252335332,0.0
13,Japan,NMC111,979.0150014852842,2025,Strategy 2,Direct,2.557347078,2503.681153366557
14,Japan,NMC622,358.73796635948986,2025,Strategy 2,Direct,2.478807863,889.242491768533
15,Japan,NMC811,158.63012556232567,2025,Strategy 2,Direct,2.397518212,380.31861500752257
16,Japan,NMC523,908.9352007280123,2025,Strategy 2,Direct,2.496014242,2268.715206072248
17,Japan,NCA,2190.623093880069,2025,Strategy 2,Direct,2.452491446,5372.484399150924
18,Korea,LFP,0.0,2025,Strategy 2,Direct,2.252335332,0.0
19,Korea,NMC111,1356.3956313142085,2025,Strategy 2,Direct,2.557347078,3468.774404353356
20,Korea,NMC622,648.4541483032697,2025,Strategy 2,Direct,2.478807863,1607.3932416091131
21,Korea,NMC811,406.40169152591477,2025,Strategy 2,Direct,2.397518212,974.3554568209868
22,Korea,NMC523,1425.409007321557,2025,Strategy 2,Direct,2.496014242,3557.841182949689
23,Korea,NCA,4203.31884186617,2025,Strategy 2,Direct,2.452491446,10308.603504487408
24,Thailand,LFP,0.0,2025,Strategy 2,Direct,2.252335332,0.0
25,Thailand,NMC111,3997.9903744369185,2025,Strategy 2,Direct,2.557347078,10224.249001938379
26,Thailand,NMC622,1580.973808142864,2025,Strategy 2,Direct,2.478807863,3918.930306821585
