,country,type,scrap,year,Strategy type,recycling_m,CO2,CO2_em
320,Netherlands,NMC622,1261.8284100071075,2025,Strategy 3,Pyro,1.7540295940000001,2213.2843737024327
321,Netherlands,NMC811,569.0451761909502,2025,Strategy 3,Pyro,1.8325488049999998,1042.8030576197402
322,Netherlands,NMC523,2694.8409958796387,2025,Strategy 3,Pyro,1.726439185,4652.479092631032
323,Netherlands,NCA,3852.3410082025166,2025,Strategy 3,Pyro,1.811685064,6979.228665995201
324,Belgium,LFP,7.720277108459332,2025,Strategy 3,Pyro,1.5136551790000001,11.685837428534613
325,Belgium,NMC111,1470.1032409527545,2025,Strategy 3,Pyro,1.672116182,2458.1834184077456
326,Belgium,NMC622,723.707038814185,2025,Strategy 3,Pyro,1.7540295940000001,1269.4035634661873
327,Belgium,NMC811,370.3759037666815,2025,Strategy 3,Pyro,1.8325488049999998,678.7319198484272
328,Belgium,NMC523,1566.027645143378,2025,Strategy 3,Pyro,1.726439185,2703.651491368803
329,Belgium,NCA,2333.4848428079617,2025,Strategy 3,Pyro,1.811685064,4227.539636785572
330,Finland,LFP,2.7370582434105293,2025,Strategy 3,Pyro,1.5136551790000001,4.14296238536299
331,Finland,NMC111,490.984978636462,2025,Strategy 3,Pyro,1.672116182,820.9839278969524
332,Finland,NMC622,246.64539921517638,2025,Strategy 3,Pyro,1.7540295940000001,432.6233294473638
333,Finland,NMC811,123.05787020197825,2025,Strategy 3,Pyro,1.8325488049999998,225.50955298448034
334,Finland,NMC523,529.7593490527078,2025,Strategy 3,Pyro,1.726439185,914.5972988246873
335,Finland,NCA,779.904234707985,2025,Strategy 3,Pyro,1.811685064,1412.9408533708067
336,Switzerland,LFP,0.0,2025,Strategy 3,Pyro,1.5136551790000001,0.0
337,Switzerland,NMC111,545.3007601601282,2025,Strategy 3,Pyro,1.672116182,911.8062251206512
338,Switzerland,NMC622,281.4360331488823,2025,Strategy 3,Pyro,1.7540295940000001,493.6471309611046
339,Switzerland,NMC811,186.57940803667356,2025,Strategy 3,Pyro,1.8325488049999998,341.9158712352135
340,Switzerland,NMC523,602.9387079565231,2025,Strategy 3,Pyro,1.726439185,1040.9370115694128
341,Switzerland,NCA,1807.2813146674528,2025,Strategy 3,Pyro,1.811685064,3274.2245642293083
342,Romania,LFP,0.1491109550971942,2025,Strategy 3,Pyro,1.5136551790000001,0.22570256942850445
343,Romania,NMC111,26.26259465537795,2025,Strategy 3,Pyro,1.672116182,43.91410950456418
344,Romania,NMC622,13.985614929398997,2025,Strategy 3,Pyro,1.7540295940000001,24.531182476454063
345,Romania,NMC811,7.759192079580195,2025,Strategy 3,Pyro,1.8325488049999998,14.21909817320015
346,Romania,NMC523,29.050651215148793,2025,Strategy 3,Pyro,1.726439185,50.154182607600745
347,Romania,NCA,44.180419116982506,2025,Strategy 3,Pyro,1.811685064,80.04100543549727
348,China,LFP,91306.99900766967,2025,Strategy 1,Pyro,1.5136551790000001,138207.31192690707
349,China,NMC111,37377.2939027401,2025,Strategy 1,Pyro,1.672116182,62499.177974141654
350,China,NMC622,40092.55238952166,2025,Strategy 1,Pyro,1.7540295940000001,70323.52339021642
351,China,NMC811,19042.20780226504,2025,Strategy 1,Pyro,1.8325488049999998,34895.775152602466
352,China,NMC523,9031.167901999801,2025,Strategy 1,Pyro,1.726439185,15591.762152326697
353,China,NCA,5081.3566096419745,2025,Strategy 1,Pyro,1.811685064,9205.817874546043
354,India,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
355,India,NMC111,162.30104723622526,2025,Strategy 1,Pyro,1.672116182,271.3862074392386
356,India,NMC622,86.73121297134391,2025,Strategy 1,Pyro,1.7540295940000001,152.1291142752539
357,India,NMC811,61.84620896309075,2025,Strategy 1,Pyro,1.8325488049999998,113.33619632909223
358,India,NMC523,184.6976811729158,2025,Strategy 1,Pyro,1.726439185,318.8693141555586
359,India,NCA,554.4809508343792,2025,Strategy 1,Pyro,1.811685064,1004.5448568991632
360,Japan,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
361,Japan,NMC111,979.0150014852842,2025,Strategy 1,Pyro,1.672116182,1637.0268264042977
362,Japan,NMC622,358.73796635948986,2025,Strategy 1,Pyro,1.7540295940000001,629.2370094859217
363,Japan,NMC811,158.63012556232567,2025,Strategy 1,Pyro,1.8325488049999998,290.69744703623985
364,Japan,NMC523,908.9352007280123,2025,Strategy 1,Pyro,1.726439185,1569.221347162681
365,Japan,NCA,2190.623093880069,2025,Strategy 1,Pyro,1.811685064,3968.7191400359907
366,Korea,LFP,14.564928122795074,2025,Strategy 1,Pyro,1.5136551790000001,22.046278884831512
367,Korea,NMC111,10151.640434376488,2025,Strategy 1,Pyro,1.672116182,16974.722244166434
368,Korea,NMC622,4439.302394758371,2025,Strategy 1,Pyro,1.7540295940000001,7786.6677771212535
369,Korea,NMC811,2284.177301754456,2025,Strategy 1,Pyro,1.8325488049999998,4185.866384738252
370,Korea,NMC523,10063.164786118297,2025,Strategy 1,Pyro,1.726439185,17373.442011866773
371,Korea,NCA,24283.129475200723,2025,Strategy 1,Pyro,1.811685064,43993.382977399306
372,Thailand,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
373,Thailand,NMC111,517.2235229248901,2025,Strategy 1,Pyro,1.672116182,864.8578223937566
374,Thailand,NMC622,201.9827993488645,2025,Strategy 1,Pyro,1.7540295940000001,354.28380753687225
375,Thailand,NMC811,106.39239986617821,2025,Strategy 1,Pyro,1.8325488049999998,194.96926523584702
376,Thailand,NMC523,484.86481277002105,2025,Strategy 1,Pyro,1.726439185,837.0896121938528
377,Thailand,NCA,1264.609558547867,2025,Strategy 1,Pyro,1.811685064,2291.074249012804
378,Viet Nam,LFP,0.0,2025,Strategy 1,Pyro,1.5136551790000001,0.0
379,Viet Nam,NMC111,630.4294275971235,2025,Strategy 1,Pyro,1.672116182,1054.1512474941476
380,Viet Nam,NMC622,232.18465340045665,2025,Strategy 1,Pyro,1.7540295940000001,407.25875333703374
381,Viet Nam,NMC811,92.23796174607374,2025,Strategy 1,Pyro,1.8325488049999998,169.03056657340312
382,Viet Nam,NMC523,571.6040069363997,2025,Strategy 1,Pyro,1.726439185,986.8395558780123
383,Viet Nam,NCA,1473.543950319946,2025,Strategy 1,Pyro,1.811685064,2669.597565942204
384,France,LFP,32.50367112073725,2025,Strategy 1,Pyro,1.5136551790000001,49.19935012841668
385,France,NMC111,6077.928485640664,2025,Strategy 1,Pyro,1.672116182,10163.002573878508
386,France,NMC622,3117.885666482185,2025,Strategy 1,Pyro,1.7540295940000001,5468.863729718167
387,France,NMC811,1635.5687885707066,2025,Strategy 1,Pyro,1.8325488049999998,2997.259628990546
388,France,NMC523,6659.458076567,2025,Strategy 1,Pyro,1.726439185,11497.149374249999
389,France,NCA,9894.610359314931,2025,Strategy 1,Pyro,1.811685064,17925.917802070533
390,Germany,LFP,77.99663579454113,2025,Strategy 1,Pyro,1.5136551790000001,118.06001171498397
391,Germany,NMC111,13100.650415372322,2025,Strategy 1,Pyro,1.672116182,21905.80955426908
392,Germany,NMC622,6911.377863381261,2025,Strategy 1,Pyro,1.7540295940000001,12122.761307687222
393,Germany,NMC811,3833.4104364053674,2025,Strategy 1,Pyro,1.8325488049999998,7024.9117143091835
394,Germany,NMC523,14447.253208337861,2025,Strategy 1,Pyro,1.726439185,24942.30405449145
395,Germany,NCA,21900.364723986128,2025,Strategy 1,Pyro,1.811685064,39676.56366659815
396,Hungary,LFP,0.09309277998955993,2025,Strategy 1,Pyro,1.5136551790000001,0.14091036855870498
397,Hungary,NMC111,16.353164878984543,2025,Strategy 1,Pyro,1.672116182,27.344391621064126
398,Hungary,NMC622,8.68329621244456,2025,Strategy 1,Pyro,1.7540295940000001,15.230758530095871
399,Hungary,NMC811,4.8231330815069855,2025,Strategy 1,Pyro,1.8325488049999998,8.838626764871593
400,Hungary,NMC523,18.052185618526686,2025,Strategy 1,Pyro,1.726439185,31.16600062671793
401,Hungary,NCA,27.469082718119168,2025,Strategy 1,Pyro,1.811685064,49.765326882197016
402,Italy,LFP,17.571360849400865,2025,Strategy 1,Pyro,1.5136551790000001,26.59698135177346
403,Italy,NMC111,3060.1661075080856,2025,Strategy 1,Pyro,1.672116182,5116.9532679722215
404,Italy,NMC622,1658.786547719293,2025,Strategy 1,Pyro,1.7540295940000001,2909.560694828733
405,Italy,NMC811,967.8768980071271,2025,Strategy 1,Pyro,1.8325488049999998,1773.6816528300676
406,Italy,NMC523,3406.1970354309797,2025,Strategy 1,Pyro,1.726439185,5880.592033798876
407,Italy,NCA,5242.107779003261,2025,Strategy 1,Pyro,1.811685064,9497.048367098421
408,Poland,LFP,2.8782276811008027,2025,Strategy 1,Pyro,1.5136551790000001,4.356644235839391
409,Poland,NMC111,502.2293562533428,2025,Strategy 1,Pyro,1.672116182,839.7858336666574
410,Poland,NMC622,271.14700982521356,2025,Strategy 1,Pyro,1.7540295940000001,475.59987955803336
411,Poland,NMC811,158.15593815726496,2025,Strategy 1,Pyro,1.8325488049999998,289.8284754737498
412,Poland,NMC523,557.426560866904,2025,Strategy 1,Pyro,1.726439185,962.3630574404106
413,Poland,NCA,859.1614533554235,2025,Strategy 1,Pyro,1.811685064,1556.5299726085534
414,Slovakia,LFP,0.34590056487775317,2025,Strategy 1,Pyro,1.5136551790000001,0.5235741814462367
415,Slovakia,NMC111,60.80205462285794,2025,Strategy 1,Pyro,1.672116182,101.66809943372866
416,Slovakia,NMC622,32.26991348603289,2025,Strategy 1,Pyro,1.7540295940000001,56.6023832503214
417,Slovakia,NMC811,17.89849798634476,2025,Strategy 1,Pyro,1.8325488049999998,32.799871096170996
418,Slovakia,NMC523,67.11007990582388,2025,Strategy 1,Pyro,1.726439185,115.86147165789546
419,Slovakia,NCA,102.08169236010686,2025,Strategy 1,Pyro,1.811685064,184.9398773566485
420,Spain,LFP,9.164184131612396,2025,Strategy 1,Pyro,1.5136551790000001,13.871414772124723
421,Spain,NMC111,1631.548012988273,2025,Strategy 1,Pyro,1.672116182,2728.1378342276375
