,country,type,recycling_m,scrap,year,Strategy type,CO2,CO2_em
0,Australia,LFP,Direct,0.0,2025,Strategy 2,2.252335332,0.0
1,Australia,NCA,Direct,1112.985128806924,2025,Strategy 2,2.452491446,2729.586507924189
2,Australia,NMC111,Direct,349.9995974951503,2025,Strategy 2,2.557347078,895.0704479553987
3,Australia,NMC523,Direct,375.8289336369483,2025,Strategy 2,2.496014242,938.074370913496
4,Australia,NMC622,Direct,172.7707004842578,2025,Strategy 2,2.478807863,428.26537085639615
5,Australia,NMC811,Direct,104.98775626896702,2025,Strategy 2,2.397518212,251.71005769186561
6,Belgium,LFP,Direct,7.753718640305395,2025,Strategy 2,2.252335332,17.46397444794684
7,Belgium,NCA,Direct,2343.302467165205,2025,Strategy 2,2.452491446,5746.929256113361
8,Belgium,NMC111,Hydro,1475.9766343528656,2025,Strategy 2,2.414310695,3563.4661738882282
9,Belgium,NMC523,Hydro,1572.4968555995474,2025,Strategy 2,2.357900841,3707.791658288029
10,Belgium,NMC622,Direct,726.8099494029152,2025,Strategy 2,2.478807863,1801.6222174865784
11,Belgium,NMC811,Direct,372.0793234325817,2025,Strategy 2,2.397518212,892.066954238253
12,Brazil,LFP,Direct,0.0,2025,Strategy 2,2.252335332,0.0
13,Brazil,NCA,Direct,2281.9799763807887,2025,Strategy 2,2.452491446,5596.536372017165
14,Brazil,NMC111,Direct,775.7818942172253,2025,Strategy 2,2.557347078,1983.943560341726
15,Brazil,NMC523,Hydro,799.1828072227552,2025,Strategy 2,2.357900841,1884.3938132632754
16,Brazil,NMC622,Direct,363.7530119479138,2025,Strategy 2,2.478807863,901.6738262064217
17,Brazil,NMC811,Direct,230.56717156895394,2025,Strategy 2,2.397518212,552.7889929258957
18,Canada,LFP,Direct,0.0,2025,Strategy 2,2.252335332,0.0
19,Canada,NCA,Direct,3893.7313635310456,2025,Strategy 2,2.452491446,9549.342862081805
20,Canada,NMC111,Hydro,1248.719152745213,2025,Strategy 2,2.414310695,3014.7960055241065
21,Canada,NMC523,Hydro,1322.2993451207988,2025,Strategy 2,2.357900841,3117.850737914081
22,Canada,NMC622,Direct,602.8156483363596,2025,Strategy 2,2.478807863,1494.264169035611
23,Canada,NMC811,Direct,361.7635783045187,2025,Strategy 2,2.397518212,867.3347674233718
24,China,LFP,Direct,91306.99900766967,2025,Strategy 2,2.252335332,205653.97992386334
25,China,NCA,Direct,5081.3566096419745,2025,Strategy 2,2.452491446,12461.983619222503
26,China,NMC111,Hydro,37377.2939027401,2025,Strategy 2,2.414310695,90240.40041954372
27,China,NMC523,Hydro,9031.167901999801,2025,Strategy 2,2.357900841,21294.59839133754
28,China,NMC622,Direct,40092.55238952166,2025,Strategy 2,2.478807863,99381.73411088574
29,China,NMC811,Direct,19042.20780226504,2025,Strategy 2,2.397518212,45654.04000261892
30,Czechia,LFP,Direct,0.3282341834575253,2025,Strategy 2,2.252335332,0.7392934485715541
