,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,Direct,0.0,baseline,baseline
1,Afghanistan,NCA,Direct,-6716.26241736716,baseline,baseline
2,Afghanistan,NMC111,Direct,-16800.60603308253,baseline,baseline
3,Afghanistan,NMC523,Direct,-14556.39851028528,baseline,baseline
4,Afghanistan,NMC622,Direct,-23252.82948986041,baseline,baseline
5,Afghanistan,NMC811,Direct,0.0,baseline,baseline
6,Albania,LFP,Direct,0.0,baseline,baseline
7,Albania,NCA,Direct,-414.7985189660646,baseline,baseline
8,Albania,NMC111,Direct,-533.0714830820144,baseline,baseline
9,Albania,NMC523,Direct,-514.4301811380922,baseline,baseline
10,Albania,NMC622,Direct,-709.8329684588083,baseline,baseline
11,Albania,NMC811,Direct,-932.0575524220326,baseline,baseline
12,Algeria,LFP,Direct,0.0,baseline,baseline
13,Algeria,NCA,Direct,-94.22962662136351,baseline,baseline
14,Algeria,NMC111,Direct,-107.23057000645515,baseline,baseline
15,Algeria,NMC523,Direct,-164.33769234776835,baseline,baseline
16,Algeria,NMC622,Direct,-310.8986136777281,baseline,baseline
17,Algeria,NMC811,Direct,-927.3670276264363,baseline,baseline
18,Andorra,LFP,Direct,0.0,baseline,baseline
19,Andorra,NCA,Direct,-746.3512454831127,baseline,baseline
20,Andorra,NMC111,Direct,-856.601673613466,baseline,baseline
21,Andorra,NMC523,Direct,-1180.4925281334763,baseline,baseline
22,Andorra,NMC622,Direct,-2076.9328734370524,baseline,baseline
23,Andorra,NMC811,Direct,0.0,baseline,baseline
24,Angola,LFP,Direct,0.0,baseline,baseline
25,Angola,NCA,Direct,-175.13369559278254,baseline,baseline
26,Angola,NMC111,Direct,-261.9760383230837,baseline,baseline
27,Angola,NMC523,Direct,-306.8080662348526,baseline,baseline
28,Angola,NMC622,Direct,-470.7969114506084,baseline,baseline
29,Angola,NMC811,Direct,-1196.628653697538,baseline,baseline
30,Argentina,LFP,Direct,0.0,baseline,baseline
31,Argentina,NCA,Direct,-37.3004817145476,baseline,baseline
32,Argentina,NMC111,Direct,-53.986282832780326,baseline,baseline
33,Argentina,NMC523,Direct,-69.27315601752429,baseline,baseline
34,Argentina,NMC622,Direct,-101.50271149422726,baseline,baseline
35,Argentina,NMC811,Direct,-163.55233457260434,baseline,baseline
36,Armenia,LFP,Direct,0.0,baseline,baseline
37,Armenia,NCA,Direct,-196.55247177784335,baseline,baseline
38,Armenia,NMC111,Direct,-316.86739314230425,baseline,baseline
39,Armenia,NMC523,Direct,-336.3501058261726,baseline,baseline
40,Armenia,NMC622,Direct,-486.7355126790172,baseline,baseline
41,Armenia,NMC811,Direct,-713.590855606727,baseline,baseline
42,Aruba,LFP,Direct,0.0,baseline,baseline
43,Aruba,NCA,Direct,-310.8714702713098,baseline,baseline
44,Aruba,NMC111,Direct,-429.89685905473664,baseline,baseline
45,Aruba,NMC523,Direct,-489.8643895941481,baseline,baseline
46,Aruba,NMC622,Direct,-772.0656837019243,baseline,baseline
47,Aruba,NMC811,Direct,-1004.2597013790211,baseline,baseline
48,Australia,LFP,Direct,0.0,baseline,baseline
