,country,total_netprofits,scrap,net_profit,collection_scenario,recovery_efficiency_scenario
144,Tajikistan,-588273.9793315165,0.834001517730038,-705.3631999767389,baseline,baseline
145,Thailand,-19157359.9036948,689.1712567254372,-27.797676871667633,baseline,baseline
146,Togo,-1390526.4958390486,4.582612334079884,-303.4353321789862,baseline,baseline
147,Tonga,0.0,0.0,,baseline,baseline
148,Trinidad and Tobago,-1215581.3164499777,3.7595460606878626,-323.3319387042088,baseline,baseline
149,Tunisia,-1286782.2660944713,3.929138903324111,-327.4972704593961,baseline,baseline
150,Turkey,-15248617.47567651,1060.9196194532465,-14.37301864917439,baseline,baseline
151,USA,102890507.84873262,23571.903391733915,4.364963920767374,baseline,baseline
152,Uganda,-5281491.236816203,71.25087408400643,-74.12528343988036,baseline,baseline
153,Ukraine,-6944294.945960253,133.53466880575834,-52.003685694997564,baseline,baseline
154,United Arab Emirates,-9366650.300609345,295.7139135032124,-31.674702720768643,baseline,baseline
155,United Kingdom,-12004730.006289344,6482.425239933306,-1.8518886931911387,baseline,baseline
156,United Rep. of Tanzania,-3276393.490376701,25.695772051775606,-127.50710442850067,baseline,baseline
157,Uruguay,-1586287.8767519568,6.391504562659106,-248.1869270687028,baseline,baseline
158,Uzbekistan,-1789376.5486094402,7.553127590801068,-236.90537821560392,baseline,baseline
159,Viet Nam,45029004.56291162,4067.107048727768,11.071507099130116,baseline,baseline
160,Yemen,-1330468.5397964814,6.0923273657599735,-218.38428238015658,baseline,baseline
161,Zambia,-1666071.687223263,6.557570938524923,-254.06841997473435,baseline,baseline
162,Zimbabwe,-2691496.7483949643,17.195077500604167,-156.52716588805114,baseline,baseline
