,country,total_costs,scrap,unit_cost,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,1122720.2430522924,0.1008485134412852,11132.73963830859,baseline,baseline
1,Albania,537335.6262256323,0.9989571497758343,537.8965717860974,baseline,baseline
2,Algeria,3177941.399772129,24.314535905198728,130.70129786407514,baseline,baseline
3,Andorra,213140.99189143305,0.2297193299728053,927.8322025258614,baseline,baseline
4,Angola,1636048.3845496993,6.321644522070921,258.8010728597157,baseline,baseline
5,Argentina,7408145.834089914,116.54014376977113,63.56733048763822,baseline,baseline
6,Armenia,1053736.8921955712,3.6024034596811925,292.50940489848006,baseline,baseline
7,Aruba,921524.6201091576,2.081061580326,442.81468113250156,baseline,baseline
8,Australia,13612962.908205645,424.1372303296427,32.09565662893009,baseline,baseline
9,Austria,24986891.45675375,1148.420632398157,21.75761280479224,baseline,baseline
10,Azerbaijan,1895759.1328395822,10.602990454855782,178.79475992279083,baseline,baseline
11,Bahamas,0.0,0.0,,baseline,baseline
12,Bahrain,984671.3184122061,3.323303887452607,296.2928915799453,baseline,baseline
13,Bangladesh,1066544.0469444443,0.1668645421184985,6391.6757473079,baseline,baseline
14,Barbados,439738.8973132569,0.5047478449690962,871.205101113766,baseline,baseline
15,Belarus,3809249.554985508,32.05378111043765,118.83932013702761,baseline,baseline
16,Belgium,34753101.73065723,2085.5573552906258,16.663699822254145,baseline,baseline
17,Benin,1315224.3086209495,3.918094937367454,335.6795406046596,baseline,baseline
18,Bermuda,965933.898207332,2.8080973840064565,343.9816238955305,baseline,baseline
19,Bolivia (Plurinational State of),3557533.26004564,28.602403160904665,124.37882369647429,baseline,baseline
20,Bosnia Herzegovina,1030468.4215855446,3.5799859770621056,287.84146870630826,baseline,baseline
21,Botswana,2231693.2700658273,10.992649971769355,203.01685906465906,baseline,baseline
22,Brazil,18082548.178542074,648.9034382867271,27.866315867095228,baseline,baseline
23,Brunei Darussalam,2736787.935009809,0.96735989080478,2829.1310824691946,baseline,baseline
24,Bulgaria,1477932.643253798,4.597125935176625,321.49057130344084,baseline,baseline
25,Burkina Faso,1798965.6356216734,7.0444642305794005,255.37295339119214,baseline,baseline
26,Burundi,1440692.41419788,4.7893743705665415,300.8101482005172,baseline,baseline
27,C?te d'Ivoire,1592921.547368159,5.959378076347748,267.296608297152,baseline,baseline
28,Cabo Verde,198488.65820308746,0.1118760056487423,1774.1843485750053,baseline,baseline
29,Cambodia,5984303.749884749,10.657382186598031,561.5172323847206,baseline,baseline
30,Cameroon,728899.3838068778,1.3708810649998855,531.7014016871979,baseline,baseline
31,Canada,35522385.90203936,2392.6982076248523,14.84616229027111,baseline,baseline
32,Cayman Isds,45822.34018746469,0.0139554299817514,3283.4774885032957,baseline,baseline
33,Chile,1522364.0489111163,5.540866829991157,274.75196492198427,baseline,baseline
34,China,125218115.80695844,69771.66402027293,1.7946843831985277,baseline,baseline
35,Colombia,6265685.525603179,83.86760609385176,74.70924493291945,baseline,baseline
36,Comoros,49573.45154960273,0.014134192881787001,3507.342227760451,baseline,baseline
37,Congo,1306735.897399359,3.819388393459078,342.1322376214001,baseline,baseline
38,Costa Rica,3057658.4898611372,21.770973211156413,140.44656893400878,baseline,baseline
39,Croatia,1123801.3062534374,3.7882038965045854,296.6580830800529,baseline,baseline
40,Cyprus,1034406.3883587313,3.100298456871775,333.6473577458266,baseline,baseline
41,Czechia,5566972.145576211,71.49653688433244,77.86352162178841,baseline,baseline
42,Denmark,30525084.990263436,1633.0223939196107,18.692386034582512,baseline,baseline
