source_iso3,destination_iso3,scrap_t
IND,CHN,53301920.43618469
USA,KOR,22297286.944951035
PAK,CHN,11534194.551038465
NGA,CHN,11137544.601195741
PHL,CHN,5505129.9827533495
BRA,CHN,2925085.480582119
CAN,KOR,2736466.758225811
UGA,CHN,2693617.023269744
KEN,CHN,2487582.1069986755
EGY,CHN,2408419.4716349356
MEX,CHN,1680829.5156122241
TUR,KOR,1247666.238615138
