iso3,country,continent,lat,lon
SEN,Senegal,Africa,14.633329999999999,-17.45
SGP,Singapore,Asia,1.283333,103.85
SLB,Solomon Isds,Pacific,-9.466666,159.95
SLE,Sierra Leone,Africa,8.5,-13.28333
SLV,El Salvador,America,13.666670000000002,-89.16666
SVK,Slovakia,Europe,48.16667,17.16667
SVN,Slovenia,Europe,46.06667,14.5
SWE,Sweden,Europe,59.333330000000004,18.08333
SYC,Seychelles,Africa,-4.633333,55.46666999999999
TGO,Togo,Africa,6.1666669999999995,1.35
THA,Thailand,Asia,13.733329999999999,100.5
TJK,Tajikistan,Asia,38.633340000000004,68.85
TON,Tonga,Pacific,-21.15,-175.2333
TTO,Trinidad and Tobago,America,10.63333,-61.51667
TUN,Tunisia,Africa,36.83333,10.21667
TUR,Turkey,Europe,41.03333,28.95
TZA,United Rep. of Tanzania,Africa,-6.85,39.3
UGA,Uganda,Africa,0.3333333,32.58333
UKR,Ukraine,Europe,50.41667,30.5
URY,Uruguay,America,-34.91667,-56.166669999999996
USA,USA,America,40.75,-74.0
UZB,Uzbekistan,Asia,41.26667,69.21667
VNM,Viet Nam,Asia,21.01667,105.8667
WSM,Samoa,Pacific,-13.8,171.75
YEM,Yemen,Asia,15.4,44.23333
YUG,Serbia,Europe,44.83333,20.5
ZAF,South Africa,Africa,-25.73,28.22
ZMB,Zambia,Africa,-15.46667,28.26667
ZWE,Zimbabwe,Africa,-17.83333,31.05
MMR,Myanmar,Asia,16.46333,96.09222
MNE,Montenegro,America,42.708679,19.37439
SWZ,Eswatini,Africa,-25.472811,28.05147
