year,production_cap_gwh,global_consumption_proxy_t,global_consumption_proxy_gwh,bnef_production_scrap_gwh,bnef_production_scrap_t,bnef_data_status,finished_battery_output_t,gross_manufacturing_scrap_t,captured_manufacturing_scrap_t,uncaptured_manufacturing_scrap_t,accepted_recycled_material_t
2040,3142.1,,,301.2574836829923,1807544.9020979537,linear_forecast_from_2030_2035_trend,1807544.9020979537,1807544.9020979537,1769560.1210995973,37984.78099835638,1748172.6573032907
2041,3142.1,,,311.25986545639125,1867559.1927383477,linear_forecast_from_2030_2035_trend,1867559.1927383477,1867559.1927383477,1829867.1109215743,37692.0818167734,1808998.2905574949
2042,3142.1,,,321.2622472297902,1927573.4833787412,linear_forecast_from_2030_2035_trend,1927573.4833787414,1927573.4833787414,1890205.1579192686,37368.32545947269,1869879.4474462694
2043,3142.1,,,331.26462900318916,1987587.774019135,linear_forecast_from_2030_2035_trend,1987587.774019135,1987587.774019135,1950556.7714314333,37031.002587701805,1930785.3769034664
2044,3142.1,,,341.2670107765881,2047602.0646595284,linear_forecast_from_2030_2035_trend,2047602.0646595284,2047602.0646595284,2010903.0180338442,36699.04662568441,1991682.5628498832
2045,3142.1,,,351.26939254998706,2107616.3552999226,linear_forecast_from_2030_2035_trend,2107616.3552999226,2107616.3552999226,2071222.646882371,36393.70841755157,2052533.1954388695
2046,3142.1,,,361.271774323386,2167630.645940316,linear_forecast_from_2030_2035_trend,2167630.645940316,2167630.645940316,2131490.7923034327,36139.853636883316,2113292.8779009357
2047,3142.1,,,371.27415609678496,2227644.9365807096,linear_forecast_from_2030_2035_trend,2227644.9365807096,2227644.9365807096,2191676.736135938,35968.200444771326,2173906.6485294043
2048,3142.1,,,381.2765378701839,2287659.227221104,linear_forecast_from_2030_2035_trend,2287659.2272211043,2287659.2272211043,2251739.316381381,35919.91083972332,2234300.7967005465
2049,3142.1,,,391.2789196435829,2347673.5178614976,linear_forecast_from_2030_2035_trend,2347673.517861498,2347673.517861498,2311614.625927965,36058.89193353283,2294360.9122237535
2050,3142.1,,,401.2813014169819,2407687.8085018913,linear_forecast_from_2030_2035_trend,2407687.808501891,2407687.808501891,2371146.2728795093,36541.535622381845,2353807.386749847
