year,production_cap_gwh,global_consumption_proxy_t,global_consumption_proxy_gwh,bnef_production_scrap_gwh,bnef_production_scrap_t,bnef_data_status,finished_battery_output_t,gross_manufacturing_scrap_t,captured_manufacturing_scrap_t,uncaptured_manufacturing_scrap_t,accepted_recycled_material_t
2010,21.7,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2011,24.7,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2012,26.5,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2013,27.7,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2014,44.5,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2015,63.699999999999996,,,0.7905897904757748,4743.538742854649,BNEF_observed,4743.538742854649,4743.538742854649,4586.827072960871,156.71166989377775,4499.638294997298
2016,69.7,,,3.5466681442947157,21280.008865768294,BNEF_observed,21280.008865768294,21280.008865768294,20564.136213226426,715.8726525418696,20161.004501987496
2017,93.7,,,5.28600383812606,31716.023028756365,BNEF_observed,31716.023028756365,31716.023028756365,30678.255468300962,1037.7675604554017,30078.322892883076
2018,195.7,,,7.139708285351301,42838.24971210781,BNEF_observed,42838.24971210781,42838.24971210781,41458.93492895689,1379.3147831509195,40678.45257918532
2019,213.70000000000002,,,12.270908752671879,73625.45251603128,BNEF_observed,73625.45251603128,73625.45251603128,71254.62165049673,2370.8308655345554,69922.391258373
2020,273.7,,,13.88330972834528,83299.85837007168,BNEF_observed,83299.85837007168,83299.85837007168,80764.28679839385,2535.571571677838,79282.5866148074
2021,428.3,,,17.32190344679102,103931.42068074612,BNEF_observed,103931.42068074612,103931.42068074612,100594.89019967307,3336.530481073058,98683.42240694727
2022,1113.9,,,34.36869405902976,206212.16435417856,BNEF_observed,206212.16435417856,206212.16435417856,199198.673611573,7013.490742605574,195111.46924548995
2023,2371.581,,,56.331170699545396,337987.0241972724,BNEF_observed,337987.0241972724,337987.0241972724,326865.7494702574,11121.274727015008,320518.6032225318
2024,1088.1000000000001,,,77.89215702219822,467352.9421331893,BNEF_observed,467352.9421331893,467352.9421331893,451160.30805669795,16192.634076491393,441931.49645185634
2025,1468.6,,,100.69780417891741,604186.8250735045,BNEF_observed,604186.8250735045,604186.8250735045,587029.5469349325,17157.27813857205,575307.2960498036
2026,1734.1000000000001,,,132.6358994182768,795815.3965096609,BNEF_observed,795815.396509661,795815.396509661,772953.9975628207,22861.398946840338,757561.8360657507
2027,1974.5,,,145.40999914351693,872459.9948611016,BNEF_observed,872459.9948611016,872459.9948611016,846436.0348174616,26023.960043640047,829263.2291162558
2028,2184.8,,,172.270294792141,1033621.7687528459,BNEF_observed,1033621.7687528459,1033621.7687528459,1004295.3558387508,29326.412914095083,985040.8821364539
2029,2326.1,,,197.42388363943226,1184543.3018365935,BNEF_observed,1184543.3018365935,1184543.3018365935,1151474.4296324651,33068.87220412842,1130017.7159715542
2030,2587.7000000000003,,,201.23366594900273,1207401.9956940163,BNEF_observed,1207401.9956940163,1207401.9956940163,1173069.2759068175,34332.71978719888,1151140.1145246893
2031,2777.7,,,223.66305523807222,1341978.3314284333,BNEF_observed,1341978.3314284333,1341978.3314284333,1304742.5079711522,37235.823457281134,1281187.3568650791
2032,2960.0,,,228.8559110529844,1373135.4663179063,BNEF_observed,1373135.466317906,1373135.466317906,1335320.6283831382,37814.83793476782,1311689.1278183474
2033,3142.1,,,220.22749158777012,1321364.9495266206,BNEF_observed,1321364.9495266206,1321364.9495266206,1285105.4699236264,36259.47960299424,1262732.0341743254
2034,3142.1,,,234.21824086357933,1405309.445181476,BNEF_observed,1405309.445181476,1405309.445181476,1368426.9498853346,36882.4952961413,1345883.2041865094
2035,3142.1,,,251.24557481599751,1507473.448895985,BNEF_observed,1507473.448895985,1507473.448895985,1469091.6081004099,38381.8407955751,1445910.9157974648
2036,3142.1,,,261.2479565893965,1567487.739536379,linear_forecast_from_2030_2035_trend,1567487.7395363792,1567487.7395363792,1528980.9309940012,38506.808542378,1506009.520672202
2037,3142.1,,,271.25033836279545,1627502.030176773,linear_forecast_from_2030_2035_trend,1627502.0301767732,1627502.0301767732,1588993.1898676911,38508.840309082094,1566319.5056011986
2038,3142.1,,,281.2527201361944,1687516.3208171665,linear_forecast_from_2030_2035_trend,1687516.3208171665,1687516.3208171665,1649106.1826333234,38410.13818384316,1626804.186234731
2039,3142.1,,,291.25510190959335,1747530.6114575602,linear_forecast_from_2030_2035_trend,1747530.6114575604,1747530.6114575604,1709300.9289815505,38229.682476009955,1687431.7223994487
