iso_o,iso_d,distcap
ALB,ESP,1977.0610000000001
ALB,FIN,2122.475
ALB,FRA,1603.5339999999999
ALB,GBR,1895.345
ALB,HUN,689.0358
ALB,IND,5322.44
ALB,ITA,611.7626
ALB,JPN,9501.873
ALB,KOR,8562.792
ALB,NLD,1664.815
ALB,NOR,2160.437
ALB,POL,1218.313
ALB,ROM,617.6277
ALB,RUS,2063.678
ALB,SVK,788.7294
ALB,SWE,2006.9979999999998
ALB,THA,8241.192
ALB,TUR,1110.8139999999999
ALB,USA,7770.42
ALB,VNM,8172.986
ALB,YUG,393.4831
AND,AUS,17137.68
AND,BEL,952.5
AND,BRA,8221.112
AND,CAN,5947.019
AND,CHE,681.8435
AND,CHN,8764.593
AND,CZE,1302.353
AND,DEU,1427.727
AND,ESP,492.9274
AND,FIN,2526.0789999999997
AND,FRA,711.5485
AND,GBR,1009.577
AND,HUN,1484.944
AND,IND,6800.609
AND,ITA,909.03
AND,JPN,10354.8
AND,KOR,9559.896
AND,NLD,1125.463
AND,NOR,2038.3570000000002
AND,POL,1817.3410000000001
AND,ROM,1992.5720000000001
AND,RUS,2973.0029999999997
AND,SVK,1374.983
AND,SWE,2191.849
AND,THA,9708.485
AND,TUR,2625.211
AND,USA,6391.459
AND,VNM,9560.423
AND,YUG,1547.884
ARE,AUS,11962.66
ARE,BEL,5159.97
ARE,BRA,11957.41
ARE,CAN,10763.11
ARE,CHE,4830.737
ARE,CHN,5966.427
ARE,CZE,4461.374
ARE,DEU,4641.608
ARE,ESP,5634.6669999999995
ARE,FIN,4570.317
ARE,FRA,5249.535
ARE,GBR,5483.745
ARE,HUN,4030.737
ARE,IND,2312.871
ARE,ITA,4303.976
ARE,JPN,8062.889
ARE,KOR,6909.236
ARE,NLD,5170.816
ARE,NOR,5174.927
ARE,POL,4181.628
ARE,ROM,3386.369
ARE,RUS,3739.195
ARE,SVK,4189.749
ARE,SWE,4796.377
ARE,THA,4967.795999999999
ARE,TUR,2649.283
ARE,USA,11359.12
ARE,VNM,5265.521
ARE,YUG,3799.8959999999997
ARG,AUS,11733.88
ARG,BEL,11326.76
ARG,BRA,2353.257
ARG,CAN,9080.545
ARG,CHE,11214.51
ARG,CHN,19297.47
ARG,CZE,11836.83
ARG,DEU,11934.32
ARG,ESP,10065.85
ARG,FIN,12971.3
ARG,FRA,11072.25
ARG,GBR,11147.48
ARG,HUN,11957.08
ARG,IND,15817.92
ARG,ITA,11173.56
ARG,JPN,18372.04
ARG,KOR,19447.35
ARG,NLD,11466.75
ARG,NOR,12270.74
ARG,POL,12351.58
ARG,ROM,12249.37
ARG,RUS,13505.36
ARG,SVK,11879.9
ARG,SWE,12585.03
ARG,THA,16890.18
ARG,TUR,12502.27
ARG,USA,8403.226
ARG,VNM,17877.15
ARG,YUG,11891.46
ARM,AUS,13581.9
ARM,BEL,3299.886
