Australia,Belgium,Brazil,Canada,China,Czechia,Finland,France,Germany,Hungary,India,Italy,Japan,Korea,Netherlands,Norway,Poland,Romania,Russian Federation,Serbia,Slovakia,Spain,Sweden,Switzerland,Thailand,Turkey,USA,United Kingdom,Viet Nam,Year
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010
0.0,1.58082782086e-07,5.5606190230576375e-09,1.8144811269222923e-09,1.7870874125751078e-05,1.9618537764353744e-09,0.0,2.55591190761328e-06,7.448665150286e-07,5.737636911651828e-10,8.6513991262346e-07,6.0772189371726e-07,4.09072650836698e-06,1.2104971486938e-07,4.0838835356418e-07,6.6172394908812e-07,4.784079086774e-08,8.687859977027452e-10,0.0,0.0,2.175089853571229e-09,1.888422645301e-07,9.94966938961168e-09,0.0,0.0,0.0,9.97904599962322e-06,9.1993790578588e-07,0.0,2011
4.6369489326054113e-08,1.976294947431903e-06,4.962661592349529e-08,4.954294340728299e-07,0.00017819833867286996,2.8509945280102477e-08,5.820864054342067e-08,3.047758576966384e-05,9.93977977853282e-06,8.28879973948187e-09,8.65498955792386e-06,5.50917293874625e-06,4.66588917044789e-05,1.27624807552721e-06,5.3538787924067e-06,7.50115214293014e-06,4.958386224772965e-07,1.260730102480247e-08,0.0,0.0,3.1459626144886665e-08,2.4253898665136746e-06,4.5439628752204956e-07,3.9645242477806005e-07,0.0,0.0,0.00012740140939160972,9.097341271086761e-06,0.0,2012
1.222258011701e-06,1.3162527781351741e-05,8.096638224191099e-07,1.03109266400927e-05,0.0008114400147642961,2.300558366999045e-07,9.7720610674934e-07,0.0001759108924860095,6.350641507317468e-05,6.619515732480233e-08,3.660196594766683e-05,2.289715151560711e-05,0.0003004846600169314,7.2726196349801996e-06,4.267833589527203e-05,4.9236401333431814e-05,2.3204952971143904e-06,1.0156941472879103e-07,2.790518811354981e-05,6.5096532178164e-07,2.5150691575387773e-07,1.44197730688847e-05,6.69462183065985e-06,6.06901786446986e-06,4.2110339162041424e-05,7.015810131417024e-05,0.0008832686412788548,4.767677580277566e-05,0.0,2013
9.21981000681666e-06,6.020957927625203e-05,6.60265078405181e-06,7.560306240353872e-05,0.0026381350532899226,1.1328578789821282e-06,7.28488694384503e-06,0.0007592054729072741,0.0002986845033768037,3.242447610888512e-07,0.00010010613236353621,7.766436507682141e-05,0.0013806522763503948,3.088922787657454e-05,0.00036612244827410515,0.0002425642867846905,7.5434559911706195e-06,4.997268589703486e-07,0.0002746550456218852,6.392615176287681e-06,1.2309410574997299e-06,5.964929211867445e-05,5.112620114576995e-05,3.8694601789151774e-05,0.0003830740813986677,0.0006060791158309294,0.004540467500478047,0.00019325336403236423,3.74450671468816e-05,2014
3.959510686033972e-05,0.00021008028936439624,2.6259414667508864e-05,0.00030693208936773006,0.0073903274038632175,3.92138811809644e-06,3.4476848148072946e-05,0.002695595758121574,0.0011892340869813387,1.11616789717245e-06,0.0002153597564373861,0.00024098397961270078,0.004401972163184757,9.740683123061893e-05,0.002073632287975493,0.0009070429944551988,2.13441883102713e-05,1.7258737668917501e-06,0.0011860135874404547,2.7801713173286015e-05,4.23388463629429e-06,0.0002079106802616893,0.000266803700866163,0.00015147683230902075,0.0014770702259817637,0.0022212292316442896,0.01717435866111453,0.0006363271562591229,0.0006935047785772361,2015
0.00014165985505693374,0.0006409150017810932,6.897892450340682e-05,0.0009397423412899432,0.020116668473725126,1.162908267090062e-05,0.0001215527308571414,0.00781252424914601,0.003964900212670409,3.3016703931844784e-06,0.0003954883973527889,0.0006637203646709017,0.010857654889665813,0.00027291180945569364,0.0074385629834198665,0.0029588336541257255,5.7591155701421846e-05,5.111715838612517e-06,0.0034808347053551522,8.531196481412804e-05,1.251072051649219e-05,0.0006280697365281386,0.0010744607414601977,0.0004838892491707875,0.00394918790759032,0.005851854449869488,0.04886694027221074,0.0020146175748245268,0.00461804718324223,2016
0.00042699057044727154,0.0017776981058784664,0.00014118390354841596,0.0024493990165932425,0.053011963514680495,2.9658244097383223e-05,0.00034653547630485464,0.018968966793960106,0.010940545759767429,8.436830803300591e-06,0.0006518764921777689,0.0016040133678420262,0.022101028178611426,0.0007476178111960073,0.02043370980829937,0.008622330557959725,0.00014448944421576316,1.3019849572014757e-05,0.008051234633351735,0.00021880995120033777,3.192623380679539e-05,0.001617685355514115,0.003403699504260378,0.0013700356132129077,0.008530982546710895,0.012683814443632861,0.11327608558686243,0.006145783376208988,0.016801224106421972,2017
0.0010520740720978057,0.004544249597881352,0.00024385758616823918,0.0056567636125927166,0.1323129653542026,6.733417453222698e-05,0.0008680832250218611,0.03968350437382777,0.025765449220891908,1.9234660415443e-05,0.0010281349821432086,0.003437156865285889,0.03916170078422259,0.0019693896305633947,0.04456141061740532,0.021733013556484226,0.0003400217912950244,2.9513721188168866e-05,0.015636525846563814,0.0004917661198356005,7.271824269812251e-05,0.0036671041215911343,0.008859316144839875,0.0033482309053833787,0.015860736242644082,0.023680222687144196,0.22520427597949533,0.016395389247269753,0.0444622810774174,2018
0.0022130456675827047,0.010557254810801348,0.00037235804232258276,0.012129592372742836,0.31412596162824813,0.00014245548007782002,0.0020343772298947213,0.07358698564276038,0.05390191811018534,4.0955521083814414e-05,0.0016129166060146567,0.006745467293764331,0.06192341473772458,0.005334602078364557,0.08037346583578767,0.04755939782852799,0.0007614956021021723,6.238656987745098e-05,0.026591302837617566,0.0009569365634532597,0.00015473544841331944,0.007627850096282324,0.019949608195445508,0.007102350534258102,0.026115961937937016,0.03906849080881238,0.40628279687777524,0.037522769967430966,0.09603992791956144,2019
