year,Strategy type,country,scrap,contained_lithium,recycled_lithium,primary_lithium_gap,dynamic_total_netprofits,recycling_CO2_em,recycled_lithium_share
2025,Strategy 1,Afghanistan,0.14380968223961121,0.0042195767293805,0.00026372354558627673,0.0039558531837943,-16439712.916425396,0.2545988779927698,4.956637149373135e-06
2025,Strategy 1,Albania,1.4245099444513891,0.044353185711718104,0.0027720741069823,0.0415811116047356,-3500028.107622063,2.500894141607451,5.210063996727495e-05
2025,Strategy 1,Algeria,34.67245637057438,1.0940041730201182,0.0683752608137571,1.0256289122063607,-13309022.80997112,60.47863712946568,0.0012851008699057223
2025,Strategy 1,Andorra,0.3275790859021364,0.0102365431544865,0.0006397839471553667,0.0095967592073312,-1671179.6931719985,0.5724845309912063,1.2024625533503697e-05
2025,Strategy 1,Angola,9.014646413009256,0.2733282614240583,0.017083016339003502,0.2562452450850547,-8605655.445852278,15.860345361252087,0.0003210722547393932
2025,Strategy 1,Argentina,166.1859007316648,5.15389211766843,0.3221182573542765,4.831773860314153,-25164517.755147867,291.3460090170461,0.006054155374500721
2025,Strategy 1,Armenia,5.13701669124996,0.1536290086116741,0.0096018130382295,0.1440271955734443,-5723239.071987561,9.068292028500215,0.00018046436885573342
2025,Strategy 1,Aruba,2.967587665652468,0.0907025501890608,0.0056689093868161,0.0850336408022445,-6598391.009602947,5.218398680783912,0.00010654614399581666
2025,Strategy 1,Australia,491.66745973966965,14.486970359223864,12.182261793245052,2.304708565978811,-16853758.69486002,1152.2094999717897,0.22896344440368976
2025,Strategy 1,Austria,1331.269727500657,41.60034496585301,36.01757867143553,5.582766294417472,-31067637.81797757,3091.2404621379665,0.6769439872212788
2025,Strategy 1,Azerbaijan,15.119833065166574,0.4538734368509695,0.0283670898031853,0.425506347047784,-8716772.387269467,26.675495589959223,0.0005331544091957967
2025,Strategy 1,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Strategy 1,Bahrain,4.739021525770675,0.146523630573907,0.009157726910868991,0.1373659036630377,-5376010.754403175,8.307172008019586,0.00017211784905029484
2025,Strategy 1,Bangladesh,0.2379483441081218,0.0071978865038789,0.0004498679064923785,0.0067480185973863,-13441601.82818265,0.4174188663902414,8.455187316224509e-06
2025,Strategy 1,Barbados,0.7197689357949268,0.021034162215198802,0.0013146351384498087,0.0197195270767488,-4069673.9842504826,1.2771347621691094,2.4708333685661992e-05
2025,Strategy 1,Belarus,45.70859716989144,1.363484865202953,0.0852178040751843,1.2782670611277684,-15118229.561879758,80.75467387494743,0.0016016534759080675
2025,Strategy 1,Belgium,2417.615369959804,75.52953762537803,65.39347367605231,10.136063949325727,-32555732.130393874,5613.756979570606,1.2290587108128952
2025,Strategy 1,Benin,5.5871918058117265,0.16389324533243088,0.010243327833276701,0.15364991749915388,-7521980.440166735,9.902264028279005,0.0001925215253676202
2025,Strategy 1,Bermuda,4.004338573884539,0.1241015202331525,0.007756345014571874,0.1163451752185805,-6279208.104749189,7.015799022490518,0.00014577912547442495
2025,Strategy 1,Bolivia (Plurinational State of),40.78694240995179,1.2117252873098374,0.0757328304568646,1.1359924568529722,-15854528.896734973,72.11891049639117,0.0014233850831755458
2025,Strategy 1,Bosnia Herzegovina,5.105049427261089,0.1516680859635854,0.0094792553727238,0.1421888305908613,-5545171.980861325,9.026251045781047,0.0001781609193232484
2025,Strategy 1,Botswana,15.675486385149387,0.47206444991612,0.0295040281197573,0.4425604217963624,-10759412.279504655,27.635194399593484,0.0005545229627086756
2025,Strategy 1,Brazil,833.420568523054,24.36476987788831,21.0950177602757,3.2697521176126103,-30087663.175140567,1916.09087985199,0.39647710812026016
2025,Strategy 1,Brunei Darussalam,1.3794523465035962,0.041199785522513604,0.0025749865951567997,0.0386247989273564,-26812491.257774036,2.4368551439180655,4.839641522458051e-05
2025,Strategy 1,Bulgaria,6.555488002687612,0.2040641416776602,0.012754008854853635,0.1913101328228064,-8147446.937253023,11.506922011767138,0.00023970932877026755
2025,Strategy 1,Burkina Faso,10.04538518198132,0.302063353821609,0.0188789596138504,0.2831843942077582,-9333825.080005886,17.72163954007935,0.0003548266892722808
2025,Strategy 1,Burundi,6.829633703611431,0.2197118440506565,0.0137319902531657,0.2059798537974904,-7920214.300324359,11.882123512943494,0.00025809031526691543
