year,Strategy type,country,recycling_m,scrap,contained_lithium,recycled_lithium,primary_lithium_gap,dynamic_total_netprofits,recycling_CO2_em
2025,Strategy 1,Afghanistan,Pyro,0.14380968223961121,0.0042195767293805,0.00026372354558627673,0.0039558531837943,-16439712.916425396,0.2545988779927698
2025,Strategy 1,Albania,Pyro,1.4245099444513891,0.044353185711718104,0.0027720741069823,0.0415811116047356,-3500028.107622063,2.500894141607451
2025,Strategy 1,Algeria,Pyro,34.67245637057438,1.0940041730201182,0.0683752608137571,1.0256289122063607,-13309022.80997112,60.47863712946568
2025,Strategy 1,Andorra,Pyro,0.3275790859021364,0.0102365431544865,0.0006397839471553667,0.0095967592073312,-1671179.6931719985,0.5724845309912063
2025,Strategy 1,Angola,Pyro,9.014646413009256,0.2733282614240583,0.017083016339003502,0.2562452450850547,-8605655.445852278,15.860345361252087
2025,Strategy 1,Argentina,Pyro,166.1859007316648,5.15389211766843,0.3221182573542765,4.831773860314153,-25164517.755147867,291.3460090170461
2025,Strategy 1,Armenia,Pyro,5.13701669124996,0.1536290086116741,0.0096018130382295,0.1440271955734443,-5723239.071987561,9.068292028500215
2025,Strategy 1,Aruba,Pyro,2.967587665652468,0.0907025501890608,0.0056689093868161,0.0850336408022445,-6598391.009602947,5.218398680783912
2025,Strategy 1,Australia,Direct,143.5727686541212,4.918924198785388,3.8982474275374193,1.0206767712479676,-5205181.706238298,359.78858799682524
2025,Strategy 1,Australia,Hydro,348.09469108554845,9.568046160438477,8.284014365707632,1.2840317947308435,-11648576.98862172,792.4209119749644
2025,Strategy 1,Austria,Hydro,1331.269727500657,41.60034496585301,36.01757867143553,5.582766294417472,-31067637.81797757,3091.2404621379665
2025,Strategy 1,Azerbaijan,Pyro,15.119833065166574,0.4538734368509695,0.0283670898031853,0.425506347047784,-8716772.387269467,26.675495589959223
2025,Strategy 1,Bahamas,Pyro,0.0,0.0,0.0,0.0,0.0,0.0
2025,Strategy 1,Bahrain,Pyro,4.739021525770675,0.146523630573907,0.009157726910868991,0.1373659036630377,-5376010.754403175,8.307172008019586
2025,Strategy 1,Bangladesh,Pyro,0.2379483441081218,0.0071978865038789,0.0004498679064923785,0.0067480185973863,-13441601.82818265,0.4174188663902414
2025,Strategy 1,Barbados,Pyro,0.7197689357949268,0.021034162215198802,0.0013146351384498087,0.0197195270767488,-4069673.9842504826,1.2771347621691094
2025,Strategy 1,Belarus,Pyro,45.70859716989144,1.363484865202953,0.0852178040751843,1.2782670611277684,-15118229.561879758,80.75467387494743
2025,Strategy 1,Belgium,Hydro,2417.615369959804,75.52953762537803,65.39347367605231,10.136063949325727,-32555732.130393874,5613.756979570606
2025,Strategy 1,Benin,Pyro,5.5871918058117265,0.16389324533243088,0.010243327833276701,0.15364991749915388,-7521980.440166735,9.902264028279005
2025,Strategy 1,Bermuda,Pyro,4.004338573884539,0.1241015202331525,0.007756345014571874,0.1163451752185805,-6279208.104749189,7.015799022490518
