year,recycling_m,profit,lithium,co2_penalty,maturity,capability,battery_fit,policy,complexity_penalty
2025,Pyro,0.050695028782951165,0.0,-0.0236850030622155,0.5610294117647059,0.4591176470588236,0.31425000000000003,-0.02328054298642534,-0.11000000000000001
2025,Hydro,0.24461339714397606,0.8491704374057315,-0.6258842670902143,0.4395588235294118,0.3875,0.402,0.008156108597285067,-0.21278280542986427
2025,Direct,0.7955724712161909,0.7716848242327706,-0.8491704374057315,0.24455882352941177,0.2726470588235294,0.36825,0.013936651583710404,-0.3099660633484163
2030,Pyro,0.04215298609160911,0.0,-0.028496019309228026,0.5679705882352941,0.46952941176470586,0.31425000000000003,-0.030755656108597283,-0.12100000000000002
2030,Hydro,0.3774931495153863,0.8295625942684767,-0.6028889180881276,0.49382352941176477,0.4460588235294118,0.402,0.013524886877828053,-0.19809954751131223
2030,Direct,0.7125744922379881,0.7602695977959332,-0.8295625942684767,0.3464705882352942,0.3524705882352941,0.36825,0.026099547511312216,-0.27435294117647063
2035,Pyro,0.04907497727535151,0.0,-0.028496019309228026,0.5638676470588235,0.473,0.31425000000000003,-0.03624321266968326,-0.12925
2035,Hydro,0.46454279939320603,0.8672699849170438,-0.6322277444389232,0.5218088235294117,0.4786176470588236,0.402,0.01539366515837104,-0.1845113122171946
2035,Direct,0.7244139941848935,0.8169700491301264,-0.8672699849170438,0.41345588235294123,0.4088529411764706,0.36825,0.032521493212669686,-0.24244796380090503
2040,Pyro,0.04698660318609718,0.0,-0.024425159407909732,0.5597647058823529,0.47647058823529415,0.31425000000000003,-0.041730769230769224,-0.1375
2040,Hydro,0.5209099411758452,0.832579185520362,-0.6120642662353919,0.5497941176470589,0.5111764705882353,0.402,0.017262443438914025,-0.17092307692307693
2040,Direct,0.6712008744231949,0.8101765368953194,-0.832579185520362,0.48044117647058826,0.4652352941176471,0.36825,0.03894343891402715,-0.21054298642533936
2045,Pyro,0.050548981406588166,0.0,-0.024795237580756854,0.5597647058823529,0.47647058823529415,0.31425000000000003,-0.041730769230769224,-0.1375
2045,Hydro,0.5543448083858397,0.8642533936651584,-0.6358527945849751,0.5497941176470589,0.5111764705882353,0.402,0.017262443438914025,-0.17092307692307693
2045,Direct,0.6911674861421102,0.8564067350975113,-0.8642533936651584,0.48044117647058826,0.4652352941176471,0.36825,0.03894343891402715,-0.21054298642533936
2050,Pyro,0.05444679987391173,0.0,-0.024425159407909732,0.5597647058823529,0.47647058823529415,0.31425000000000003,-0.041730769230769224,-0.1375
2050,Hydro,0.5792592261907069,0.8627450980392157,-0.6352093165387068,0.5497941176470589,0.5111764705882353,0.402,0.017262443438914025,-0.17092307692307693
2050,Direct,0.6715643982938656,0.8605684738375514,-0.8627450980392157,0.48044117647058826,0.4652352941176471,0.36825,0.03894343891402715,-0.21054298642533936
