year,Strategy type,choice_mode,recycling_m,scrap,contained_lithium,recycled_lithium,primary_lithium_offset,primary_lithium_gap,recycling_CO2_em,total_netprofits,total_costs
2025,Strategy 1,Optimal_lithium,Direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Strategy 1,Optimal_lithium,Hydro,211289.75961954962,6282.785807269307,5439.635951933766,5439.635951933766,843.1498553355409,428479.6767944746,-1691430555.0497344,3116193992.5626645
2025,Strategy 1,Optimal_multiobjective,Direct,23311.893123587903,715.7049886698293,567.1962035208397,567.1962035208397,148.5087851489896,57648.55040780794,-655135183.8055964,837582364.5301738
2025,Strategy 1,Optimal_multiobjective,Hydro,187977.8664959617,5567.080818599477,4819.978572743427,4819.978572743427,747.1022458560499,374495.92282213445,476737146.90907216,762895401.8243271
2025,Strategy 1,Optimal_profit,Direct,135369.5098702338,3619.371787159335,2868.3521413237727,2868.3521413237727,751.019645835562,324225.0243087823,-300364536.88523567,1322436178.8740852
2025,Strategy 1,Optimal_profit,Hydro,75920.24974931582,2663.414020109972,2305.9838586112137,2305.9838586112137,357.43016149875825,180128.93615882305,329379980.2753078,263627718.2270061
2025,Strategy 1,Realistic_multiobjective,Direct,975.8179530095325,31.59385518015612,25.038130230273723,25.038130230273723,6.555724949882395,2415.33672069037,-53008682.66227473,59869023.51762894
2025,Strategy 1,Realistic_multiobjective,Hydro,205466.87584408312,6105.908981980038,5286.495996598317,5286.495996598317,819.4129853817211,415009.4705359915,-91373844.2404316,1469045078.5972912
2025,Strategy 1,Realistic_multiobjective,Pyro,4847.065822456968,145.28297010911209,9.080185631819505,9.080185631819505,136.2027844772926,8554.745176877286,-1438928065.3164399,1461840076.4992337
2025,Strategy 2,Optimal_lithium,Direct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,Strategy 2,Optimal_lithium,Hydro,714539.1783542252,21232.38123382992,18382.995672249945,18382.995672249945,2849.3855615799753,1465539.6476210123,2919245337.3589883,1941661391.3396869
2025,Strategy 2,Optimal_multiobjective,Direct,42208.39136660609,1207.9133528633024,957.2713321441671,957.2713321441671,250.64202071913522,102015.36911598583,70812929.71978365,336937774.4605194
2025,Strategy 2,Optimal_multiobjective,Hydro,672330.7869876192,20024.46788096662,17337.1842913409,17337.1842913409,2687.28358962572,1369355.6740337885,3108694877.8453097,1426219401.330209
