From Region,To Region,Amount Transported,Remaining Storage
Australia,Korea,2.3669999999998503,116.62882590632452
Belgium,Japan,3.632999999999711,20.405910780094814
Brazil,Sweden,14.037999999997659,0.0006246252691018981
Canada,Korea,5.306000000000107,96.13582590633644
Czechia,Hungary,3.2279999999997555,3.412836275071896
Finland,Sweden,0.7460000000000006,14.28062462526633
France,Korea,15.493999999996852,68.7888259063593
Germany,Korea,11.738999999998933,76.51982590638215
Italy,Hungary,6.615000000000544,0.0008362750737868083
Italy,Japan,9.593000000000123,9.420910780096092
Netherlands,Korea,2.623999999999822,114.27782590632164
Poland,Korea,6.1380000000003845,92.89882590634399
Romania,Sweden,1.650999999999929,12.27062462526648
Slovakia,Korea,1.3709999999999598,125.03482590633035
Spain,Japan,5.209000000000074,19.0139107800951
Turkey,Hungary,1.813999999999911,6.165836275072597
USA,Korea,16.297999999996936,67.92082590635516
United Kingdom,Korea,4.632999999999882,98.66082590633056
Viet Nam,Korea,4.651999999999888,99.31782590632903
