year,policy_scenario,technology_allowed,max_accessible_recovered_lithium_t,potential_lithium_t,potential_recovery_pct,processed_scrap_t,unprocessed_scrap_t,route_modeled_cost,solve_status,solve_message,reference_max_accessible_li_t,max_accessible_li_delta_vs_reference_t,max_accessible_li_delta_vs_reference_pct
2030,reference_policy,Direct,73116.92531053393,75378.62862563446,96.99954303184101,4553741.048207438,24.27808190303014,11345847.364901088,success,,73116.92531053393,0.0,0.0
2030,reference_policy,Hydro,71609.35984021363,75378.62862563446,94.9995524538649,4553741.048207438,24.27808190303014,7424680.344611991,success,,71609.35984021363,0.0,0.0
2030,reference_policy,Pyro,26382.39573060502,75378.62862563446,34.999835114581806,4553741.048207438,24.27808190303014,11358851.359626468,success,,26382.39573060502,0.0,0.0
2030,current_policy,Direct,73116.92531053392,75378.62862563446,96.999543031841,4553741.048207438,24.27808190303014,11462853.090890242,success,,73116.92531053393,-1.4551915228366852e-11,-1.990225268166516e-14
2030,current_policy,Hydro,71609.35984021363,75378.62862563446,94.9995524538649,4553741.048207438,24.27808190303014,7541686.070601147,success,,71609.35984021363,0.0,0.0
2030,current_policy,Pyro,26382.39573060502,75378.62862563446,34.999835114581806,4553741.048207438,24.27808190303014,11475857.085615624,success,,26382.39573060502,0.0,0.0
2030,strict_policy,Direct,73116.92531053392,75378.62862563446,96.999543031841,4553741.048207439,24.27808190303014,11551800.253038067,success,,73116.92531053393,-1.4551915228366852e-11,-1.990225268166516e-14
2030,strict_policy,Hydro,71609.35984021363,75378.62862563446,94.9995524538649,4553741.048207439,24.27808190303014,7573935.044097202,success,,71609.35984021363,0.0,0.0
2030,strict_policy,Pyro,26382.39573060502,75378.62862563446,34.999835114581806,4553741.048207439,24.27808190303014,11580804.216283614,success,,26382.39573060502,0.0,0.0
2030,critical_route_policy,Direct,73116.92531053392,75378.62862563446,96.999543031841,4553741.048207438,24.27808190303014,11423125.174178299,success,,73116.92531053393,-1.4551915228366852e-11,-1.990225268166516e-14
2030,critical_route_policy,Hydro,71609.35984021363,75378.62862563446,94.9995524538649,4553741.048207438,24.27808190303014,7471076.157113247,success,,71609.35984021363,0.0,0.0
2030,critical_route_policy,Pyro,26382.39573060502,75378.62862563446,34.999835114581806,4553741.048207438,24.27808190303014,11444930.392076407,success,,26382.39573060502,0.0,0.0
2040,reference_policy,Direct,697789.63859425,719377.7605188857,96.99905625257803,43973946.62217538,479.09695610377565,97686852.99075867,success,,697789.63859425,0.0,0.0
2040,reference_policy,Hydro,683402.2233655027,719377.7605188857,94.99907571128777,43973946.62217538,479.09695610377565,61923272.83589764,success,,683402.2233655027,0.0,0.0
2040,reference_policy,Pyro,251779.76650307994,719377.7605188857,34.99965947257971,43973946.62217538,479.09695610377565,95173004.7750931,success,,251779.76650307994,0.0,0.0
2040,current_policy,Direct,697789.6385942502,719377.7605188857,96.99905625257806,43973946.62217538,479.09695610377565,99377932.03021368,success,,697789.63859425,2.3283064365386963e-10,3.3366881761518356e-14
2040,current_policy,Hydro,683402.2233655025,719377.7605188857,94.99907571128776,43973946.62217538,479.09695610377565,63614351.875352666,success,,683402.2233655027,-1.1641532182693481e-10,-1.7034671215090946e-14
2040,current_policy,Pyro,251779.7665030799,719377.7605188857,34.9996594725797,43973946.62217538,479.09695610377565,96864083.81454813,success,,251779.76650307994,-2.9103830456733704e-11,-1.1559241181668857e-14
2040,strict_policy,Direct,697789.6385942502,719377.7605188857,96.99905625257806,43973946.62217538,479.09695610377565,101579194.63172695,success,,697789.63859425,2.3283064365386963e-10,3.3366881761518356e-14
2040,strict_policy,Hydro,683402.2233655027,719377.7605188857,94.99907571128777,43973946.62217538,479.09695610377565,64397018.73337498,success,,683402.2233655027,0.0,0.0
2040,strict_policy,Pyro,251779.76650307994,719377.7605188857,34.99965947257971,43973946.62217538,479.09695610377565,99465924.68491422,success,,251779.76650307994,0.0,0.0
2040,critical_route_policy,Direct,697789.6385942501,719377.7605188857,96.99905625257804,43973946.62217538,479.09695610377565,99847986.22393522,success,,697789.63859425,1.1641532182693481e-10,1.6683440880759178e-14
2040,critical_route_policy,Hydro,683402.2233655027,719377.7605188857,94.99907571128777,43973946.62217538,479.09695610377565,63180339.07940394,success,,683402.2233655027,0.0,0.0
2040,critical_route_policy,Pyro,251779.7665030799,719377.7605188857,34.9996594725797,43973946.62217538,479.09695610377565,97590065.62723589,success,,251779.76650307994,-2.9103830456733704e-11,-1.1559241181668857e-14
