year,policy_scenario,technology_allowed,max_accessible_recovered_lithium_t,potential_lithium_t,potential_recovery_pct,processed_scrap_t,unprocessed_scrap_t,route_modeled_cost,solve_status,solve_message,reference_max_accessible_li_t,max_accessible_li_delta_vs_reference_t,max_accessible_li_delta_vs_reference_pct
2050,reference_policy,Direct,1719557.22165691,1772802.5202866704,96.99654654026831,116468553.8076376,4320.405242889559,253648818.7990455,success,,1719557.22165691,0.0,0.0
2050,reference_policy,Hydro,1684102.4335815096,1772802.5202866704,94.9966177456236,116468553.8076376,4320.405242889559,162841428.4423679,success,,1684102.4335815096,0.0,0.0
2050,reference_policy,Pyro,620458.7913195036,1772802.5202866704,34.99875390628238,116468553.8076376,4320.405242889559,244163187.8385082,success,,620458.7913195036,0.0,0.0
2050,current_policy,Direct,1719557.22165691,1772802.5202866704,96.99654654026831,116468553.8076376,4320.405242889559,269631916.39865243,success,,1719557.22165691,0.0,0.0
2050,current_policy,Hydro,1684102.4335815096,1772802.5202866704,94.9966177456236,116468553.8076376,4320.405242889559,178824526.04197478,success,,1684102.4335815096,0.0,0.0
2050,current_policy,Pyro,620458.7913195036,1772802.5202866704,34.99875390628238,116468553.8076376,4320.405242889559,260146285.43811515,success,,620458.7913195036,0.0,0.0
2050,strict_policy,Direct,1719557.22165691,1772802.5202866704,96.99654654026831,116468553.80763762,4320.405242889559,293301192.2277851,success,,1719557.22165691,0.0,0.0
2050,strict_policy,Hydro,1684102.4335815096,1772802.5202866704,94.9966177456236,116468553.80763762,4320.405242889559,187785740.73351222,success,,1684102.4335815096,0.0,0.0
2050,strict_policy,Pyro,620458.7913195037,1772802.5202866704,34.99875390628239,116468553.80763762,4320.405242889559,287966569.2703452,success,,620458.7913195036,1.1641532182693481e-10,1.8762780615834172e-14
2050,critical_route_policy,Direct,1719557.2216569097,1772802.5202866704,96.9965465402683,116468553.8076376,4320.405242889559,284873422.45399314,success,,1719557.22165691,-2.3283064365386963e-10,-1.3540150959880331e-14
2050,critical_route_policy,Hydro,1684102.4335815096,1772802.5202866704,94.9966177456236,116468553.8076376,4320.405242889559,181335200.27050245,success,,1684102.4335815096,0.0,0.0
2050,critical_route_policy,Pyro,620458.7913195037,1772802.5202866704,34.99875390628239,116468553.8076376,4320.405242889559,278986642.2125917,success,,620458.7913195036,1.1641532182693481e-10,1.8762780615834172e-14
