source_run,year,policy_scenario,target_region,target_share_of_max,draws,direct_share_mean_pct,direct_share_p05_pct,direct_share_p50_pct,direct_share_p95_pct,route_cost_mean,route_cost_p50,route_cost_p95
aggregate_us_eu,2030,critical_route_policy,European Union,0.0,1,0.0,0.0,0.0,0.0,7471076.157113247,7471076.157113247,7471076.157113247
aggregate_us_eu,2030,critical_route_policy,European Union,0.75,1,0.0,0.0,0.0,0.0,7504973.515437786,7504973.515437786,7504973.515437786
aggregate_us_eu,2030,critical_route_policy,European Union,0.9,1,0.0,0.0,0.0,0.0,7580666.440758499,7580666.440758499,7580666.440758499
aggregate_us_eu,2030,critical_route_policy,European Union,0.95,1,0.0,0.0,0.0,0.0,7617633.493504454,7617633.493504454,7617633.493504454
aggregate_us_eu,2030,critical_route_policy,European Union,0.99,1,52.01540403560626,52.01540403560626,52.01540403560626,52.01540403560626,7949290.852594857,7949290.852594857,7949290.852594857
aggregate_us_eu,2030,critical_route_policy,European Union,1.0,1,99.99524999525477,99.99524999525477,99.99524999525477,99.99524999525477,8313795.21288124,8313795.21288124,8313795.21288124
aggregate_us_eu,2030,critical_route_policy,United States,0.0,1,0.0,0.0,0.0,0.0,7471076.157113247,7471076.157113247,7471076.157113247
aggregate_us_eu,2030,critical_route_policy,United States,0.75,1,0.0,0.0,0.0,0.0,7471076.157113247,7471076.157113247,7471076.157113247
aggregate_us_eu,2030,critical_route_policy,United States,0.9,1,0.0,0.0,0.0,0.0,7471076.157113247,7471076.157113247,7471076.157113247
aggregate_us_eu,2030,critical_route_policy,United States,0.95,1,0.0,0.0,0.0,0.0,7471076.157113247,7471076.157113247,7471076.157113247
aggregate_us_eu,2030,critical_route_policy,United States,0.99,1,52.02020202020232,52.02020202020232,52.02020202020232,52.02020202020232,7606729.132127032,7606729.132127032,7606729.132127032
aggregate_us_eu,2030,critical_route_policy,United States,1.0,1,100.0,100.0,100.0,100.0,7760728.364337155,7760728.364337155,7760728.364337155
aggregate_us_eu,2030,current_policy,European Union,0.0,1,0.0,0.0,0.0,0.0,7541686.070601147,7541686.070601147,7541686.070601147
aggregate_us_eu,2030,current_policy,European Union,0.75,1,0.0,0.0,0.0,0.0,7577502.875065765,7577502.875065765,7577502.875065765
aggregate_us_eu,2030,current_policy,European Union,0.9,1,0.0,0.0,0.0,0.0,7664041.672234355,7664041.672234355,7664041.672234355
aggregate_us_eu,2030,current_policy,European Union,0.95,1,0.0,0.0,0.0,0.0,7702337.216510531,7702337.216510531,7702337.216510531
aggregate_us_eu,2030,current_policy,European Union,0.99,1,52.01540403560626,52.01540403560626,52.01540403560626,52.01540403560626,8031878.980503291,8031878.980503291,8031878.980503291
aggregate_us_eu,2030,current_policy,European Union,1.0,1,99.99524999525312,99.99524999525312,99.99524999525312,99.99524999525312,8396371.700066231,8396371.700066231,8396371.700066231
aggregate_us_eu,2030,current_policy,United States,0.0,1,0.0,0.0,0.0,0.0,7541686.070601147,7541686.070601147,7541686.070601147
aggregate_us_eu,2030,current_policy,United States,0.75,1,0.0,0.0,0.0,0.0,7541686.070601147,7541686.070601147,7541686.070601147
aggregate_us_eu,2030,current_policy,United States,0.9,1,0.0,0.0,0.0,0.0,7541686.070601147,7541686.070601147,7541686.070601147
aggregate_us_eu,2030,current_policy,United States,0.95,1,0.0,0.0,0.0,0.0,7541686.070601147,7541686.070601147,7541686.070601147
aggregate_us_eu,2030,current_policy,United States,0.99,1,52.02020202020204,52.02020202020204,52.02020202020204,52.02020202020204,7677339.045614932,7677339.045614932,7677339.045614932
aggregate_us_eu,2030,current_policy,United States,1.0,1,99.99999999999966,99.99999999999966,99.99999999999966,99.99999999999966,7831338.277825048,7831338.277825048,7831338.277825048
aggregate_us_eu,2030,reference_policy,European Union,0.0,1,0.0,0.0,0.0,0.0,7424680.344611991,7424680.344611991,7424680.344611991
aggregate_us_eu,2030,reference_policy,European Union,0.75,1,0.0,0.0,0.0,0.0,7460497.14907661,7460497.14907661,7460497.14907661
aggregate_us_eu,2030,reference_policy,European Union,0.9,1,0.0,0.0,0.0,0.0,7563871.619803447,7563871.619803447,7563871.619803447
aggregate_us_eu,2030,reference_policy,European Union,0.95,1,0.0,0.0,0.0,0.0,7604823.795231903,7604823.795231903,7604823.795231903
aggregate_us_eu,2030,reference_policy,European Union,0.99,1,52.0154040356062,52.0154040356062,52.0154040356062,52.0154040356062,7942262.50804314,7942262.50804314,7942262.50804314
aggregate_us_eu,2030,reference_policy,European Union,1.0,1,99.99524999525362,99.99524999525362,99.99524999525362,99.99524999525362,8306755.227606084,8306755.227606084,8306755.227606084
aggregate_us_eu,2030,reference_policy,United States,0.0,1,0.0,0.0,0.0,0.0,7424680.344611991,7424680.344611991,7424680.344611991
