year,policy_scenario,destination_iso3,technology,scrap_t,recovered_lithium_t,route_count,destination_recovered_lithium_t,destination_scrap_t,technology_share_pct
2030,critical_route_policy,AUS,Hydro,11000.0,52.92292628445212,1,52.92292628445212,11000.0,100.0
2030,critical_route_policy,BEL,Hydro,9000.0,153.152142227672,1,153.152142227672,9000.0,100.0
2030,critical_route_policy,BRA,Hydro,10000.0,330.7875,1,330.7875,10000.0,100.0
2030,critical_route_policy,CAN,Hydro,80824.34208789561,1041.5591249780339,1,1041.5591249780339,80824.34208789561,100.0
2030,critical_route_policy,CHE,Hydro,20923.953559190428,269.64575898247386,1,269.64575898247386,20923.953559190428,100.0
2030,critical_route_policy,CHN,Hydro,1917796.717660539,32035.78327296675,116,32035.78327296675,1917796.717660539,100.0
2030,critical_route_policy,CZE,Hydro,1000.0,0.0,1,0.0,1000.0,
2030,critical_route_policy,DEU,Hydro,185000.0,1561.6294799540951,1,1561.6294799540951,185000.0,100.0
2030,critical_route_policy,ESP,Hydro,92000.0,1122.7730334508647,1,1122.7730334508647,92000.0,100.0
2030,critical_route_policy,FIN,Hydro,7000.000000000002,103.87977562629041,1,103.87977562629041,7000.000000000002,100.0
2030,critical_route_policy,FRA,Hydro,89000.0,1036.3150481628118,1,1036.3150481628118,89000.0,100.0
2030,critical_route_policy,GBR,Hydro,126999.99999999999,1454.4082462971974,1,1454.4082462971974,126999.99999999999,100.0
2030,critical_route_policy,HUN,Hydro,2734.2804273124434,37.411274749114654,1,37.411274749114654,2734.2804273124434,100.0
2030,critical_route_policy,IND,Hydro,260000.0,5408.915350957552,5,5408.915350957552,260000.0,100.0
2030,critical_route_policy,ITA,Hydro,90000.0,0.0,1,0.0,90000.0,
2030,critical_route_policy,JPN,Hydro,37277.83372939973,808.7483760504771,3,808.7483760504771,37277.83372939973,100.0
2030,critical_route_policy,KOR,Hydro,811565.0442615029,12144.60452684283,24,12144.60452684283,811565.0442615029,100.0
2030,critical_route_policy,NLD,Hydro,28000.0,566.5702002548845,1,566.5702002548845,28000.0,100.0
2030,critical_route_policy,NOR,Hydro,14563.628634489778,187.86808136517973,1,187.86808136517973,14563.628634489778,100.0
2030,critical_route_policy,POL,Hydro,71000.0,937.7771043525595,1,937.7771043525595,71000.0,100.0
2030,critical_route_policy,ROM,Hydro,1000.0,0.0,1,0.0,1000.0,
2030,critical_route_policy,RUS,Hydro,48000.0,115.36702711044575,2,115.36702711044575,48000.0,100.0
2030,critical_route_policy,SVK,Hydro,1000.0,29.200512818918682,1,29.200512818918682,1000.0,100.0
2030,critical_route_policy,SWE,Hydro,35733.22133192576,489.1338298357177,1,489.1338298357177,35733.22133192576,100.0
2030,critical_route_policy,THA,Hydro,47999.99999999999,185.72632162195708,4,185.72632162195708,47999.99999999999,100.0
2030,critical_route_policy,TUR,Hydro,10000.0,49.936124107790874,1,49.936124107790874,10000.0,100.0
2030,critical_route_policy,USA,Hydro,539000.0,6252.6435866509455,1,6252.6435866509455,539000.0,100.0
2030,critical_route_policy,VNM,Hydro,5000.0,110.2625,1,110.2625,5000.0,100.0
2030,critical_route_policy,YUG,Hydro,322.0265151822132,4.153942827247619,1,4.153942827247619,322.0265151822132,100.0
2030,current_policy,AUS,Hydro,11000.0,62.558014169243314,1,62.558014169243314,11000.0,100.0
2030,current_policy,BEL,Hydro,9000.0,200.80288141151257,1,200.80288141151257,9000.0,100.0
2030,current_policy,BRA,Hydro,10000.0,242.5775,1,242.5775,10000.0,100.0
2030,current_policy,CAN,Hydro,80824.34208789561,1041.5591249780339,1,1041.5591249780339,80824.34208789561,100.0
2030,current_policy,CHE,Hydro,20923.953559190428,269.64575898247386,1,269.64575898247386,20923.953559190428,100.0
