,country,total_costs,scrap_sum,unit_cost
0,Afghanistan,420326.79069160926,0.6710875738315795,626.3367212892206
1,Albania,3792267.454709667,30.583624762607762,123.99666436354462
2,Algeria,8554954.7419528,157.8241110728571,54.20562602125815
3,Andorra,671362.5911955108,1.5503389577070397,433.04245684986205
4,Angola,3521736.4687187066,34.13667050425152,103.16578672428219
5,Argentina,24379271.15166016,1026.4410420315062,23.75126300816004
6,Armenia,3116417.2147420305,26.45982844762992,117.77919198947704
7,Aruba,3119247.1848847223,21.77696627496735,143.23607547072803
8,Australia,49454313.98472782,3881.9764334705596,12.73946785414015
9,Austria,92284344.33458601,10957.675902251422,8.421890294786396
10,Azerbaijan,7865909.602690249,131.883949714256,59.64266023070116
11,Bahamas,18414.295818324605,0.004257025557121827,4325.62491609153
12,Bahrain,2284161.6047893246,15.703493128319193,145.45563755303198
13,Bangladesh,508040.3738800592,0.9705626591381821,523.4493302381705
14,Barbados,1641873.1392398016,6.380620659482248,257.3218542305617
15,Belarus,14955778.168361535,437.74891474994115,34.16519759256249
16,Belgium,311733506.9693242,15742.037404494647,19.802615059237404
17,Benin,2873517.7736495445,22.706448702338506,126.5507350497132
18,Bermuda,2126334.990164372,12.36525731517036,171.96043203691931
19,Bolivia (Plurinational State of),13916255.758930381,353.5712851822506,39.35912315887631
20,Bosnia Herzegovina,4316707.808760668,45.35736540723393,95.17104377654633
21,Botswana,7209523.07380608,112.55514294613135,64.05325323300902
22,Brazil,304705377.87627524,20410.872744269414,14.92858153073463
23,Brunei Darussalam,1954711.246390402,10.025613383863492,194.97173604724927
24,Bulgaria,8725398.341046222,140.13241863947832,62.26538031498793
25,Burkina Faso,7405278.82527576,116.5541792289001,63.53507762885597
26,Burundi,4238902.892205526,40.633586384228586,104.32017622374585
27,C?te d'Ivoire,4746944.065845,51.800448072690365,91.63905414840666
28,Cabo Verde,603560.4945205603,1.108323983796054,544.570453535925
29,Cambodia,7892519.290340581,131.41637714342008,60.057349486412576
30,Cameroon,1298441.2188588846,5.765595735236675,225.20504011812827
31,Canada,100795441.07455617,19456.93068211833,5.180438925405181
32,Cayman Isds,320941.8768096002,0.2743562192050441,1169.7998964249455
33,Chile,7461849.884444173,104.66153910623184,71.29505210954684
34,Colombia,23765592.17514459,996.3864317246577,23.85178221868039
35,Comoros,284054.56763185054,0.27486230192314753,1033.4431664305614
36,Congo,3204481.0295364526,27.161744794973462,117.97773131752096
37,Costa Rica,10472453.732037261,203.43822235430187,51.47731636092824
38,Croatia,7839951.617604767,116.12565142466394,67.51265996291012
39,Cyprus,5012802.438153053,49.61682914966351,101.03028597479508
40,Czechia,97933747.42614205,1152.6806709249267,84.96173302494842
41,Denmark,92545702.84883915,11219.534222714483,8.248622537420133
42,Dominican Rep.,10982656.934984172,222.03654890079824,49.46328426267793
43,Ecuador,10265867.029778935,195.46179837476026,52.5210916667006
44,Egypt,17614163.160104956,582.7436577266111,30.22626317173662
45,El Salvador,6794551.0110187745,98.58534799404781,68.92049527916666
46,Estonia,5397347.348941575,60.794548664463875,88.78012038103141
47,Eswatini,1081510.7607254952,3.2752666963556827,330.2054034039025
48,Ethiopia,8154349.890474285,140.04251181678544,58.22767518724917
49,Fiji,4237809.955853443,45.92174075591868,92.28330385771031
50,Finland,58245509.23503551,4718.9182311436525,12.342979128273523
51,France,1628128119.8399026,72933.64411131293,22.323416575140794
52,French Polynesia,5204321.721549903,60.523089486264226,85.98902940556313
53,Georgia,2843173.409722025,20.34995315917277,139.7140026556012
54,Germany,251147299.4267604,143062.13175881884,1.7555120725459121
55,Ghana,7064020.299303976,125.65346264564019,56.21827007844162
56,Greece,72227906.05757749,6856.907700661638,10.533597535607496
57,Greenland,351552.51070767234,0.3713230345625777,946.7565380688131
58,Grenada,1807796.7274507878,6.8491218994641505,263.94576618533
59,Guatemala,16064096.039993722,460.52444398304146,34.882178893820615
60,Guinea,627910.0809137363,1.5161560009355077,414.14609085496437
61,Guyana,6545586.864541573,80.31765274905767,81.496241990443
62,Honduras,6183872.01792526,74.75211761659041,82.72504131110819
63,Hungary,13990212.062964723,334.2672487522761,41.85337365591806
64,Iceland,20548966.06529487,831.1048837146795,24.724877049753186
65,India,45829999.8211567,3389.165521958673,13.52250267041267
66,Indonesia,83948155.61004703,12237.275889296252,6.860036201641504
67,Iran,9554768.937060919,241.37328675729586,39.58503057825272
68,Ireland,22323989.258688293,803.5664059903139,27.781138051902815
69,Israel,62472280.092813864,6278.971619846599,9.949444570724165
70,Italy,180898765.19868225,61612.86660557175,2.93605500222454
71,Jamaica,4301847.806201545,42.40042903730838,101.45764804446493
72,Japan,60126382.25832509,7341.833224822644,8.189559802998325
73,Jordan,10647394.310501277,231.23145587981526,46.0464787110771
74,Kazakhstan,17480046.651420455,579.4144851672644,30.168466786560135
75,Kenya,21167079.201468833,813.3015294168104,26.026115082615167
76,Kiribati,327184.0193105872,0.3565808709435514,917.5590895967667
77,Korea,88715697.83772558,23029.96726466828,3.8521851472116464
78,Kuwait,5571298.596573591,78.67757378440298,70.81177429085955
79,Kyrgyzstan,2210090.8208374004,14.100017664027213,156.743833482983
80,Lao People's Dem. Rep.,9621915.287132984,185.60827586630563,51.83990445589661
81,Latvia,5716143.069588887,67.4782809810714,84.7108578713252
82,Lebanon,11302400.045931494,253.140666804547,44.64869350548964
83,Lesotho,2658923.9892959744,17.3869449156465,152.92646305580752
84,Lithuania,7591950.110635158,113.04757780447335,67.15712320494089
85,Luxembourg,8273762.408320437,134.98939977389904,61.291941605626846
86,Madagascar,4253366.158006724,41.51290513287424,102.45888945600356
87,Malawi,10168379.32430208,209.97304801229456,48.427069190835816
88,Malaysia,1860489.284456493,10.173622016386842,182.8738360300558
89,Maldives,2785349.489143628,18.905738143864212,147.32825917445615
90,Mali,2135663.3328602747,11.602443918750907,184.07012762274962
91,Malta,3655979.1136503173,28.600481228193853,127.82928666411098
92,Mauritania,489062.80489205505,0.8845138194132997,552.9170875096692
93,Mauritius,6032823.524859203,79.55080802329844,75.83610619130782
94,Mexico,31731341.616516385,1688.5954561316746,18.791559281586753
95,Mongolia,6329450.291981755,42.22694214460429,149.89127723970242
96,Montenegro,2287689.8113696137,13.916677042845507,164.38477406111136
97,Morocco,9721467.740052436,193.3818415554138,50.27084064284669
98,Mozambique,2369832.2809882034,13.98019591201565,169.51352441001117
99,Myanmar,13820262.46434317,368.8755367030101,37.465923026145724
100,Namibia,6186544.848515618,83.41236791298813,74.16819595589386
