Year,scenario,recovery_efficiency_scenario,recycling_m,retired_lithium,collected_lithium,uncollected_lithium,recycled_lithium,primary_lithium_offset
2010,baseline,baseline,Direct,0.0,0.0,0.0,0.0,0.0
2010,baseline,baseline,Hydro,0.0,0.0,0.0,0.0,0.0
2010,baseline,baseline,Pyro,0.0,0.0,0.0,0.0,0.0
2011,baseline,baseline,Direct,0.011818761097603653,0.006520645258716499,0.005298115838887154,0.003926732574799075,0.003926732574799075
2011,baseline,baseline,Hydro,0.011818761097603653,0.006520645258716499,0.005298115838887154,0.005550373244219484,0.005550373244219484
2011,baseline,baseline,Pyro,0.011818761097603653,0.006520645258716499,0.005298115838887154,0.0003351611662980281,0.0003351611662980281
2012,baseline,baseline,Direct,0.1302289673780708,0.0724317554592971,0.057797211918773704,0.043647375839772434,0.043647375839772434
2012,baseline,baseline,Hydro,0.1302289673780708,0.0724317554592971,0.057797211918773704,0.06166839659804556,0.06166839659804556
2012,baseline,baseline,Pyro,0.1302289673780708,0.0724317554592971,0.057797211918773704,0.0037447217572456606,0.0037447217572456606
2013,baseline,baseline,Direct,0.76073502703122,0.4250139681350049,0.33572105889621506,0.25632592418222144,0.25632592418222144
2013,baseline,baseline,Hydro,0.76073502703122,0.4250139681350049,0.33572105889621506,0.3620268980573972,0.3620268980573972
2013,baseline,baseline,Pyro,0.76073502703122,0.4250139681350049,0.33572105889621506,0.022100726343020256,0.022100726343020256
2014,baseline,baseline,Direct,3.384843003306967,1.890261207327064,1.494581795979903,1.1411506908633486,1.1411506908633486
2014,baseline,baseline,Hydro,3.384843003306967,1.890261207327064,1.494581795979903,1.6106915747633912,1.6106915747633912
2014,baseline,baseline,Pyro,3.384843003306967,1.890261207327064,1.494581795979903,0.09886066114320545,0.09886066114320545
2015,baseline,baseline,Direct,11.748890683584332,6.544845322307868,5.204045361276463,3.955704512802875,3.955704512802875
2015,baseline,baseline,Hydro,11.748890683584332,6.544845322307868,5.204045361276463,5.580135121799689,5.580135121799689
2015,baseline,baseline,Pyro,11.748890683584332,6.544845322307868,5.204045361276463,0.3449133484856246,0.3449133484856246
