,country,total_costs,scrap_sum,unit_cost
0,Australia,34965996.691176385,2102.2072491347208,16.632992158869477
1,Belgium,78991457.06564556,8000.000000000003,9.873932133205692
2,Brazil,63959735.745176315,6421.491910815083,9.960261047351825
3,Canada,84830299.12142573,11218.086175682838,7.56192257689286
4,Czechia,17674840.847814724,519.0502362911369,34.05227396505962
5,Finland,46041708.168640986,3143.412811373005,14.647044766777075
6,France,196697664.21164364,42722.06910531035,4.604123075752296
7,Germany,358317949.17244387,128412.61579724787,2.7903640693543394
8,Hungary,9056835.848194854,150.5895366392542,60.14253081800112
9,India,31221178.19749501,1679.5296822883897,18.5892387176841
10,Italy,162050321.7399906,30036.570435734164,5.395100685236726
11,Japan,54539833.40258178,5471.322519039198,9.968308980651967
12,Korea,132055379.61497754,39476.13852980401,3.345194959108711
13,Netherlands,107388677.4646431,14580.190655985432,7.36538225037257
14,Norway,87855302.60626733,11872.179450108732,7.400098943540034
15,Poland,60761957.457615376,5015.113844621266,12.115768323541221
16,Romania,11611454.073274966,236.93464765674614,49.00699069600325
17,Russian Federation,40200003.220673904,2771.6216481750685,14.504145342905291
18,Serbia,6657408.070153568,99.46242049683356,66.93390364821768
19,Slovakia,18083972.5133837,539.4527131586735,33.522813162799906
20,Spain,102365561.8004664,13114.1403881806,7.805739359990804
21,Sweden,109403759.0800622,15196.970551699222,7.199050541545559
22,Switzerland,57879941.90597173,5254.826940034489,11.014623805211716
23,Thailand,41549636.74885041,2948.902815622021,14.08986302591536
24,Turkey,53461997.29872221,4698.649949238136,11.378161360454362
25,USA,249305193.9256885,93406.61720053418,2.669031396249545
26,United Kingdom,151203269.21533996,30749.96317176502,4.917185375824339
27,Viet Nam,48368478.536338165,4000.0,12.092119634084542
