,country,total_netprofits,scrap_sum,net_profit
0,Australia,-18877459.31266718,2102.207249134721,-8.97982790252352
1,Belgium,-12438339.82746307,8000.000000000003,-1.5547924784328833
2,Brazil,-8875805.436465813,6421.4919108150825,-1.3822030082319614
3,Canada,17156635.191940714,11218.086175682836,1.5293727399893504
4,Czechia,-14495894.780558836,519.050236291137,-27.927729855474027
5,Finland,-23222364.339346938,3143.4128113730044,-7.387627948619224
6,France,181806024.80882198,42722.06910531035,4.255552893767112
7,Germany,787009962.7384161,128412.61579724787,6.128758906220203
8,Hungary,-8128439.289732782,150.5895366392542,-53.97745069901451
9,India,-18283726.10251077,1679.5296822883895,-10.886217906907643
10,Italy,91948742.3711043,30036.570435734167,3.0612263995930085
11,Japan,-7901210.569569142,5471.322519039199,-1.4441134738583548
12,Korea,244451565.21213993,39476.13852980401,6.19238796691277
13,Netherlands,19788405.31829326,14580.190655985432,1.3572116980630673
14,Norway,19555428.175207183,11872.179450108732,1.6471641333746925
15,Poland,-23894687.59844301,5015.113844621266,-4.7645354300521365
16,Romania,-10162650.814053694,236.93464765674614,-42.892210635130965
17,Russian Federation,-18290770.33900777,2771.6216481750685,-6.59930274070815
18,Serbia,-5919430.682064206,99.46242049683357,-59.51424319351502
19,Slovakia,-14785222.068643171,539.4527131586735,-27.407818531620354
20,Spain,8524307.105515935,13114.1403881806,0.6500088342197898
21,Sweden,22043326.997909732,15196.970551699222,1.4505079761074484
22,Switzerland,-14626013.057446236,5254.826940034489,-2.7833481909777684
23,Thailand,-18201973.2047211,2948.902815622021,-6.172456110894825
24,Turkey,-14311524.742327208,4698.649949238137,-3.0458801776982236
25,USA,624124707.1638533,93406.61720053418,6.681803986369865
26,United Kingdom,142329636.3885887,30749.96317176502,4.62861160494909
27,Viet Nam,-15589151.785893379,4000.0000000000005,-3.897287946473344
