draw_id,random_seed,year,policy_scenario,target_region,target_share_of_max,target_constraint_li_t,solver_target_constraint_li_t,max_target_recovered_lithium_t,solve_status,solve_message,direct_cost_multiplier,direct_recovery_efficiency,hydro_cost_multiplier,hydro_recovery_efficiency,pyro_cost_multiplier,pyro_recovery_efficiency,global_recovered_lithium_t,target_recovered_lithium_t,target_max_attainment_pct,route_modeled_cost,processed_scrap_t
0,42,2050,strict_policy,China,0.95,1382576.0204336967,1382574.6378576763,1455343.1794038913,failed,(HiGHS Status 0: Not Set),1.151522186371595,0.9759295613810435,0.7462793550503737,0.9304443823157934,0.8225656959562017,0.3552927787332723,,,,,
0,42,2050,strict_policy,China,0.99,1440789.7476098523,1440788.3068201046,1455343.1794038913,failed,(HiGHS Status 0: Not Set),1.151522186371595,0.9759295613810435,0.7462793550503737,0.9304443823157934,0.8225656959562017,0.3552927787332723,,,,,
1,43,2050,strict_policy,China,0.95,1432290.7217142764,1432289.2894235547,1507674.4439097648,success,,0.8725799739060723,0.9747496430155763,0.7417257363769274,0.962973170421459,1.1568993443215856,0.3459252000488208,1724404.738138052,1432289.289423555,94.99990500000001,164064149.42220226,116468553.8076376
1,43,2050,strict_policy,China,0.99,1492597.6994706672,1492596.2068729678,1507674.4439097648,success,,0.8725799739060723,0.9747496430155763,0.7417257363769274,0.962973170421459,1.1568993443215856,0.3459252000488208,1725133.3383131507,1492596.206872969,98.9999010000001,164661198.4421664,116468553.8076376
2,44,2050,strict_policy,China,0.95,336598.37246550753,336598.03586713504,354314.07627948164,success,,1.1858613156334399,0.995,1.1316045602665705,0.9519457876150594,1.0907259421871816,0.35229475946781014,1687551.8079580935,338982.7059366566,95.67294347890044,209212208.1547293,116468553.8076376
2,44,2050,strict_policy,China,0.99,350770.9355166868,350770.5847457513,354314.07627948164,success,,1.1858613156334399,0.995,1.1316045602665705,0.9519457876150594,1.0907259421871816,0.35229475946781014,1699339.6867671881,350770.5847457513,98.999901,217372677.15486646,116468553.8076376
