From Region,To Region,Amount Transported,Remaining Storage
Australia,China,3.1649999999997624,151.66943629858633
Belgium,Japan,3.2479999999997533,29.96439583532407
Brazil,China,51.68599999997024,17.399436298052738
Canada,China,9.339000000000263,108.556436298488
Czechia,China,5.240000000000085,132.9354362986044
Finland,China,0.8570000000000007,186.51343629856547
France,China,13.587999999997908,93.02043629841381
Germany,China,6.81400000000061,122.23943629855333
Italy,China,12.143999999998709,97.44243629843493
Netherlands,China,2.296999999999858,163.72543629855824
Poland,China,7.2520000000007565,119.14143629853854
Romania,China,3.0539999999997747,152.663436298584
Serbia,China,0.06800000000000005,199.47943629856314
Slovakia,China,1.7519999999999178,171.811436298551
Spain,China,4.617999999999877,136.793436298621
Turkey,China,2.261999999999862,164.02043629855754
USA,China,51.143999999971506,17.54043629805341
United Kingdom,China,2.9629999999997847,155.26943629857794
Viet Nam,China,4.89699999999997,135.80943629861812
