From Region,To Region,Amount Transported,Remaining Storage
Australia,China,3.722999999999701,54.38436583592682
Belgium,Japan,3.766999999999696,29.046945314739602
Brazil,China,10.66299999999953,0.00036583571327264506
Brazil,Sweden,7.555000000000858,12.278830187504036
Canada,China,10.592999999999568,0.010365835713320393
Canada,Japan,1.5749999999999373,27.47194531473918
Czechia,China,5.895000000000303,31.556365835863947
Finland,China,1.050999999999995,93.94736583588454
France,China,10.574999999999578,0.009365835713315618
France,Korea,5.97400000000033,178.35662204295505
Germany,China,10.152999999999812,2.4343658357248947
Italy,China,10.533999999999601,0.005365835713296519
Italy,Hungary,4.5029999999998385,7.5732817626822175
Netherlands,China,3.0089999999997796,64.55336583590312
Poland,China,9.159000000000363,8.263365835752728
Romania,China,3.4359999999997326,56.19936583592259
Serbia,China,0.07600000000000005,110.60136583588351
Slovakia,China,1.9709999999998937,79.36636583586859
Spain,China,6.796000000000604,24.7823658358316
Turkey,China,2.669999999999817,69.80536583589088
USA,China,10.484999999999628,0.0023658357132821948
USA,Korea,7.398000000000805,176.9966220429558
United Kingdom,China,5.521000000000178,35.10836583588091
Viet Nam,China,5.5840000000001995,34.022365835875725
