From Region,To Region,Amount Transported,Remaining Storage
Australia,China,3.941999999999677,16.655164350537422
Belgium,Japan,3.969999999999674,28.68802989364134
Brazil,China,5.438000000000151,0.011164350482464669
Brazil,Sweden,19.67400000000106,0.0004315000040454606
Canada,China,5.490000000000168,0.010164350482459894
Canada,Japan,7.786000000000935,16.7350298936444
Czechia,China,5.426000000000147,0.013164350482474219
Czechia,Hungary,0.7250000000000005,9.801380969755323
Finland,China,1.1269999999999867,58.450164350487064
France,China,5.46500000000016,0.024164350482526742
France,Korea,12.241999999998654,158.95164908828505
Germany,China,5.591000000000202,0.00016435048241214643
Germany,Hungary,5.6230000000002125,0.0003809697564077794
Germany,Korea,0.2460000000000002,171.53464908830043
Italy,China,5.519000000000178,0.002164350482421696
Italy,Hungary,5.666000000000227,0.0013809697564072252
Italy,Japan,4.983999999999999,13.852029893641015
Netherlands,China,3.286999999999749,25.876164350515932
Poland,China,5.475000000000163,0.0061643504824407955
Poland,Korea,4.429999999999814,174.76064908830247
Romania,China,3.585999999999716,21.60316435052589
Serbia,China,0.08000000000000006,75.94116435048703
Slovakia,China,2.0569999999998845,42.37116435047749
Spain,China,5.582000000000199,0.039164350482598365
Spain,Japan,2.0659999999998835,24.54502989364007
Turkey,China,2.8289999999997995,32.12516435050137
USA,China,5.468000000000161,0.00916435048245512
USA,Korea,19.93500000000138,151.30164908829838
United Kingdom,China,5.43600000000015,0.0011643504824169213
United Kingdom,Korea,1.0859999999999912,184.9556490882997
Viet Nam,China,5.409000000000141,0.005164350482436021
Viet Nam,Korea,0.44400000000000034,187.45264908829978
