Year,China,India,Japan,Korea,Thailand,Viet Nam,France,Germany,Hungary,Italy,Poland,Slovakia,Spain,Sweden,United Kingdom,Norway,Russian Federation,Serbia,Turkey,USA,Canada,Brazil,Australia,Czechia,Netherlands,Belgium,Finland,Switzerland,Romania
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2013,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2014,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2015,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2016,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2017,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
2018,10.9,0,0,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.7,0,0,0
2019,26.4,0,0,2.4,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.7,0,0,0
2020,58,0,1,4,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,7.1,0,0,0.3,0,0,0.7,0,0,0
2021,114.3,0,1.4,5.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7.1,0,0,0.4,0,0,0.7,0,0,0
2022,203.3,3.2,1.9,6.1,0,0,0,4.6,2.5,3.7,1.1,0,0,0,0.1,1.2,0,0,0,7.1,0,0,0.5,0,1,0.7,0.7,0.1,0
2023,248.4,3.5,2.5,10.6,3,0.3,0.9,8.1,3.5,4.4,3,0,0.8,1,1.1,2.9,3,0,0,7.6,0.5,0,0.5,0,1.4,0.8,0.7,0.9,0
2024,416.3,4.7,3.4,13.3,3.2,0.3,4,11.6,4.5,5,4.1,0.1,2,1.9,3.6,4.6,3.2,0.1,1,14.2,1.8,1,0.6,0.1,1.6,0.8,0.7,1.7,0.1
2025,598.8,6.2,5,17.3,3.4,0.3,5,12.6,5.5,5.7,5,0.1,3.2,3,4.6,6.3,3.4,0.1,1,20.9,3.1,1,0.7,0.1,1.8,0.8,0.7,2.5,0.1
2026,715.8,8.3,7.4,24,3.7,0.4,6.3,13.6,6.5,6.4,5.5,0.1,4.4,4.5,6.3,8,3.7,0.1,1,27.5,4.3,1,0.8,0.1,2,0.8,0.7,3.3,0.1
2027,772.1,11,10.9,32.6,3.9,0.4,7.1,14.7,7.5,7,6,0.1,5.6,6.3,7.9,9.7,3.9,0.1,1,34.1,5.6,1,0.9,0.1,2.2,0.8,0.7,4.1,0.1
2028,821.1,14.7,15.2,44.4,4.2,0.4,7.8,15.9,8.5,7.7,6.4,0.1,6.8,8.4,9.5,11.4,4.2,0.1,1,40.7,6.9,1,0.9,0.1,2.4,0.8,0.7,4.9,0.1
2029,849.8,19.5,19.5,60.3,4.5,0.4,8.4,17.2,9.5,8.4,6.8,0.1,8,11,11.1,13.1,4.5,0.1,1,47.3,8.2,1,1,0.1,2.6,0.9,0.7,5.7,0.1
2030,870.1,26,23.2,82,4.8,0.5,8.9,18.5,10.5,9,7.1,0.1,9.2,13.5,12.7,14.8,4.8,0.1,1,53.9,9.4,1,1.1,0.1,2.8,0.9,0.7,6.5,0.1
2031,885.9,34.6,26.6,111.5,5.1,0.5,9.4,18.9,11.5,9.7,7.4,0.1,10.4,16.5,14.3,16.5,5.1,0.1,1,60.6,10.7,1,1.2,0.1,3,0.9,0.7,7.3,0.1
2032,898.8,46.1,30.7,151.6,5.5,0.5,9.8,19.4,12.5,10.3,7.7,0.1,11.6,20,15.9,18.2,5.5,0.1,1,67.2,12,1,1.2,0.1,3.2,0.9,0.7,8.1,0.1
2033,909.7,61.4,36.4,206.1,5.9,0.6,10.1,19.9,13.5,11,8,0.1,12.8,23.5,17.5,19.9,5.9,0.1,1,73.8,13.3,1,1.3,0.1,3.4,0.9,0.7,8.9,0.1
