,iso3,country,continent,lat,lon,producer,kmeans_cluster
107,NGA,Nigeria,Africa,6.45,3.466667,False,0
108,NIC,Nicaragua,America,12.1,-86.3,False,4
109,NLD,Netherlands,Europe,52.35,4.9,True,1
110,NOR,Norway,Europe,59.91667,10.75,True,1
111,NPL,Nepal,Asia,27.7,85.31667,False,5
112,NZL,New Zealand,Pacific,-44.28333,174.7833,False,2
113,OMN,Oman,Asia,23.616670000000006,58.63334,False,5
114,PAK,Pakistan,Asia,33.66667,73.13333,False,5
115,PAL,State of Palestine,Asia,31.53,34.44,False,1
116,PAN,Panama,America,8.95,-79.5,False,4
117,PER,Peru,America,-12.1,-77.05,False,3
118,PHL,Philippines,Asia,14.61667,120.9667,False,5
119,PLW,Palau,Pacific,7.333333,134.4833,False,2
120,PNG,Papua New Guinea,Pacific,-9.5,147.1167,False,2
121,POL,Poland,Europe,52.25,21.0,True,1
122,PRT,Portugal,Europe,38.73333,-9.133333,False,1
123,PRY,Paraguay,America,-25.25,-57.66667,False,3
124,PYF,French Polynesia,Pacific,-17.53333,-149.5667,False,3
125,QAT,Qatar,Asia,25.25,51.53333,False,5
126,ROM,Romania,Europe,44.41667,26.116670000000006,True,1
127,RUS,Russian Federation,Asia,55.75,37.7,True,1
128,RWA,Rwanda,Africa,-1.933333,30.06667,False,0
129,SAU,Saudi Arabia,Asia,24.65,46.76667,False,5
130,SDN,Sudan,Africa,15.55,32.53333,False,0
131,SEN,Senegal,Africa,14.63333,-17.45,False,4
132,SGP,Singapore,Asia,1.283333,103.85,False,2
133,SLB,Solomon Isds,Pacific,-9.466666,159.95,False,2
134,SLE,Sierra Leone,Africa,8.5,-13.28333,False,0
135,SLV,El Salvador,America,13.666670000000002,-89.16666,False,4
136,SVK,Slovakia,Europe,48.16667,17.16667,True,1
137,SVN,Slovenia,Europe,46.06667,14.5,False,1
138,SWE,Sweden,Europe,59.33333,18.08333,True,1
139,SYC,Seychelles,Africa,-4.633333,55.46666999999999,False,0
140,TGO,Togo,Africa,6.166667,1.35,False,0
141,THA,Thailand,Asia,13.73333,100.5,True,5
142,TJK,Tajikistan,Asia,38.63334,68.85,False,5
143,TON,Tonga,Pacific,-21.15,-175.2333,False,3
144,TTO,Trinidad and Tobago,America,10.63333,-61.51667,False,4
145,TUN,Tunisia,Africa,36.83333,10.21667,False,1
146,TUR,Turkey,Europe,41.03333,28.95,True,1
147,TZA,United Rep. of Tanzania,Africa,-6.85,39.3,False,0
148,UGA,Uganda,Africa,0.3333333,32.58333,False,0
149,UKR,Ukraine,Europe,50.41667,30.5,False,1
150,URY,Uruguay,America,-34.91667,-56.16667,False,3
151,USA,USA,America,40.75,-74.0,True,4
152,UZB,Uzbekistan,Asia,41.26667,69.21667,False,5
153,VNM,Viet Nam,Asia,21.01667,105.8667,True,5
154,WSM,Samoa,Pacific,-13.8,171.75,False,2
155,YEM,Yemen,Asia,15.4,44.23333,False,5
156,YUG,Serbia,Europe,44.83333,20.5,True,1
157,ZAF,South Africa,Africa,-25.73,28.22,False,0
158,ZMB,Zambia,Africa,-15.46667,28.26667,False,0
159,ZWE,Zimbabwe,Africa,-17.83333,31.05,False,0
160,MMR,Myanmar,Asia,16.46333,96.09222,False,5
161,MNE,Montenegro,America,42.708679,19.37439,False,1
162,SWZ,Eswatini,Africa,-25.472811,28.051470000000002,False,0
