From Region,To Region,Amount Transported,Remaining Storage
Australia,China,3.3369999999997435,122.03303000238284
Belgium,Japan,3.4079999999997357,29.68179567514423
Brazil,China,15.85799999999665,54.45303000215092
Canada,China,10.208999999999781,72.78603000223845
Czechia,China,5.441000000000152,100.89103000237264
Finland,China,0.9170000000000007,158.01703000235716
France,China,14.498999999997404,57.09003000216351
Germany,China,7.841000000000953,85.4060300022987
Italy,China,13.033999999998215,60.95603000218197
Netherlands,China,2.515999999999834,132.6040300023582
Poland,China,7.8390000000009525,84.36103000229372
Romania,China,3.1719999999997617,125.48103000237481
Serbia,China,0.07000000000000005,171.8390300023542
Slovakia,China,1.8199999999999104,143.96103000234132
Spain,China,5.288000000000101,101.89203000237742
Turkey,China,2.386999999999848,134.59903000235357
USA,China,15.725999999996723,54.45203000215091
United Kingdom,China,3.749999999999698,117.71803000239291
Viet Nam,China,5.1080000000000405,104.38703000238934
