From Region,To Region,Amount Transported,Remaining Storage
Australia,Korea,0.6060000000000004,70.02085569984642
Belgium,Japan,2.995999999999781,17.153806938552496
Brazil,Sweden,9.251000000000312,0.0002534941378365971
Brazil,USA,0.4100000000000003,0.0029754832374931936
Czechia,Hungary,0.8740000000000007,7.70439443001895
Finland,Sweden,0.33100000000000024,9.306253494137767
France,Korea,11.38499999999913,43.221855699831636
Germany,Korea,12.606999999998452,41.624855699830576
Germany,USA,0.3900000000000003,0.0009754832374931919
Italy,Hungary,8.636000000000653,0.0003944300190154024
Italy,Japan,4.363999999999792,12.789806938551568
Netherlands,Korea,1.7929999999999133,63.98085569984616
Poland,Korea,0.006,73.83985569984611
Romania,Sweden,0.35800000000000026,9.251253494137767
Slovakia,Korea,0.5860000000000004,70.38485569984638
Spain,Japan,1.2359999999999747,18.959806938552397
Turkey,Hungary,0.7240000000000005,8.046394430018914
United Kingdom,Korea,2.2849999999998594,62.17585569984716
Viet Nam,Korea,2.9829999999997825,60.275855699848215
