"year","policy_scenario","strategy","processed_scrap_t","unprocessed_scrap_t","contained_lithium_t","recovered_lithium_t","recycling_CO2_t","total_objective_cost","cross_border_scrap_t"
"2030","current_policy","Strategy 3","4553741.048207439","24.27808190303014","75378.27351601436","66491.17506847627","2347195.8622245686","31841509.071580358","1174702.2073570746"
"2030","reference_policy","Strategy 3","4553741.048207439","24.27808190303014","75378.27351601435","66491.17506847627","2347195.862224568","31537938.08370706","1174702.2073570746"
"2030","strict_policy","Strategy 3","4553741.048207439","24.27808190303014","75378.27351601435","66491.17506847627","2347195.862224568","31887097.476100877","1174702.2073570746"
"2030","critical_route_policy","Strategy 3","4553741.048207439","24.27808190303014","75378.27351601436","66491.17506847627","2347195.862224568","31780856.119846597","1174702.2073570746"
"2040","current_policy","Strategy 3","43973946.62217538","479.09695610377565","719370.7614373711","659375.2399334942","22629686.226586167","543284612.3108875","8851075.887856785"
"2040","reference_policy","Strategy 3","43973946.62217538","479.09695610377565","719370.7614373711","659375.2399334944","22629686.226586163","541019352.7309662","8851075.887856787"
"2040","strict_policy","Strategy 3","43973946.62217538","479.09695610377565","719370.7614373711","659375.2399334944","22629686.226586167","544296991.6777867","8851075.887856785"
"2040","critical_route_policy","Strategy 3","43973946.62217538","479.09695610377565","719370.7614373711","659375.2399334945","22629686.226586167","543070196.6694751","8851075.887856785"
"2050","current_policy","Strategy 3","116468553.8076376","4320.405242889559","1772739.4037700105","1644924.8927581925","56814193.86180648","4501564333.066768","65469897.985305026"
"2050","reference_policy","Strategy 3","116468553.8076376","4320.405242889559","1772739.4037700102","1644924.8927581925","56814193.86180648","4484242131.717799","65469897.98530504"
"2050","strict_policy","Strategy 3","116468553.80763762","4320.405242889559","1772739.4037700105","1644924.8927581925","56814193.86180649","4513196349.435083","65469897.98530504"
"2050","critical_route_policy","Strategy 3","116468553.8076376","4320.405242889559","1772739.4037700105","1644924.8927581927","56814193.86180648","4504579055.938664","65469897.98530504"
