Year,scenario,retired_li_t,collected_li_t,capture_loss_t,capture_loss_kt,collection_rate_weighted
2030,baseline,91632.03333686558,60366.12544234583,31265.90789451975,31.26590789451975,0.658788452510081
2030,high_collection,91632.03333686558,75378.62862563446,16253.404711231118,16.25340471123112,0.8226231142172852
2030,low_collection,91632.03333686558,44291.62897088525,47340.40436598033,47.340404365980326,0.48336403065570466
2040,baseline,766490.0623872235,592934.208831693,173555.85355553046,173.55585355553046,0.7735706409356529
2040,high_collection,766490.0623872235,719377.7605188858,47112.30186833763,47.11230186833763,0.9385350128068105
2040,low_collection,766490.0623872235,431411.4384559251,335078.6239312984,335.0786239312984,0.5628402240627879
2050,baseline,1856501.8410048317,1518186.1597691379,338315.68123569374,338.3156812356937,0.8177671178324388
2050,high_collection,1856501.8410048317,1772802.5202866702,83699.3207181615,83.6993207181615,0.9549155735429493
2050,low_collection,1856501.8410048317,1161682.4808214155,694819.3601834162,694.8193601834162,0.6257373169060014
