year,policy_scenario,route_access_loss_li_t,route_access_loss_kt_li
2030,current_policy,10529.086467087918,10.529086467087918
2030,reference_policy,8606.973977432086,8.606973977432085
2030,strict_policy,12574.76046275945,12.57476046275945
2030,critical_route_policy,13084.15334056788,13.08415334056788
2040,current_policy,18680.961749281465,18.680961749281465
2040,reference_policy,2856.597107266741,2.856597107266741
2040,strict_policy,120506.72880731271,120.50672880731271
2040,critical_route_policy,108924.99559645326,108.92499559645326
2050,current_policy,330595.3495712966,330.5953495712966
2050,reference_policy,413423.55566738837,413.42355566738837
2050,strict_policy,1079358.0084003706,1079.3580084003706
2050,critical_route_policy,1014995.2589543586,1014.9952589543586
