policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_scrap_t
strict_policy,DOM,KOR,0.0,13134.398558452234,13134.398558452234
strict_policy,ECU,CHN,6980.848428711333,0.0,-6980.848428711333
strict_policy,ECU,KOR,0.0,6980.848428711333,6980.848428711333
strict_policy,EGY,CHN,88809.91654358381,0.0,-88809.91654358381
strict_policy,EGY,KOR,0.0,88809.91654358381,88809.91654358381
strict_policy,EST,CHN,5382.888959212431,0.0,-5382.888959212431
strict_policy,EST,KOR,0.0,5382.888959212431,5382.888959212431
strict_policy,ETH,CHN,2699.699125582313,0.0,-2699.699125582313
strict_policy,ETH,KOR,0.0,2699.699125582313,2699.699125582313
strict_policy,FJI,CHN,0.0833888726360945,0.0,-0.0833888726360945
strict_policy,FJI,KOR,0.0,0.0833888726360945,0.0833888726360945
strict_policy,GEO,CHN,276.09206858854805,0.0,-276.09206858854805
strict_policy,GEO,KOR,0.0,276.09206858854805,276.09206858854805
strict_policy,GHA,CHN,38.92240563641306,0.0,-38.92240563641306
strict_policy,GHA,KOR,0.0,38.92240563641306,38.92240563641306
strict_policy,GIN,CHN,7.435422372123817,0.0,-7.435422372123817
strict_policy,GIN,RUS,0.0,7.435422372123817,7.435422372123817
strict_policy,GRD,CHN,436.4620420886608,0.0,-436.4620420886608
strict_policy,GRD,KOR,0.0,436.4620420886608,436.4620420886608
strict_policy,GRL,CHN,2.7171108711917586,0.0,-2.7171108711917586
strict_policy,GRL,KOR,0.0,2.7171108711917586,2.7171108711917586
strict_policy,GTM,CHN,18170.93383454622,0.0,-18170.93383454622
strict_policy,GTM,KOR,0.0,18170.93383454622,18170.93383454622
strict_policy,GUY,CHN,4209.3911272660935,0.0,-4209.3911272660935
strict_policy,GUY,KOR,0.0,4209.3911272660935,4209.3911272660935
strict_policy,HND,CHN,1579.612971237696,0.0,-1579.612971237696
strict_policy,HND,KOR,0.0,1579.612971237696,1579.612971237696
strict_policy,IDN,KOR,0.0,93315.24115487341,93315.24115487341
strict_policy,IDN,THA,93315.24115487341,0.0,-93315.24115487341
strict_policy,IND,CHN,152053.88690105866,0.0,-152053.88690105866
strict_policy,IND,KOR,0.0,152053.88690105866,152053.88690105866
strict_policy,IRN,CHN,88.65133099848848,0.0,-88.65133099848848
strict_policy,IRN,KOR,0.0,88.65133099848848,88.65133099848848
strict_policy,ISR,CHN,36925.58813383643,0.0,-36925.58813383643
strict_policy,ISR,KOR,0.0,36925.58813383643,36925.58813383643
strict_policy,JAM,CHN,12.185203285344953,0.0,-12.185203285344953
strict_policy,JAM,KOR,0.0,12.185203285344953,12.185203285344953
strict_policy,JOR,CHN,9192.548231705428,0.0,-9192.548231705428
strict_policy,JOR,KOR,0.0,9192.548231705428,9192.548231705428
strict_policy,KAZ,CHN,6367.833251924261,0.0,-6367.833251924261
strict_policy,KAZ,KOR,0.0,6367.833251924261,6367.833251924261
strict_policy,KEN,CHN,202185.23417449254,0.0,-202185.23417449254
strict_policy,KEN,KOR,0.0,202185.23417449254,202185.23417449254
strict_policy,KGZ,CHN,4.688965276065952,0.0,-4.688965276065952
strict_policy,KGZ,KOR,0.0,4.688965276065952,4.688965276065952
strict_policy,KIR,CHN,7.84979473725363,0.0,-7.84979473725363
strict_policy,KIR,KOR,0.0,7.84979473725363,7.84979473725363
strict_policy,KWT,CHN,24.95006702497011,0.0,-24.95006702497011
strict_policy,KWT,KOR,0.0,24.95006702497011,24.95006702497011
strict_policy,LAO,CHN,119006.19539204278,0.0,-119006.19539204278
strict_policy,LAO,KOR,0.0,119006.19539204278,119006.19539204278
strict_policy,LBN,CHN,75359.42621217786,0.0,-75359.42621217786
strict_policy,LBN,KOR,0.0,75359.42621217786,75359.42621217786
strict_policy,LCA,CHN,89.1974153260372,0.0,-89.1974153260372
strict_policy,LCA,KOR,0.0,89.1974153260372,89.1974153260372
strict_policy,LVA,CHN,7004.157966096351,0.0,-7004.157966096351
strict_policy,LVA,RUS,0.0,7004.157966096351,7004.157966096351
strict_policy,MDA,CHN,2562.7559405147176,0.0,-2562.7559405147176
strict_policy,MDA,RUS,0.0,2562.7559405147176,2562.7559405147176
strict_policy,MEX,CHN,488640.5171073958,0.0,-488640.5171073958
strict_policy,MEX,KOR,0.0,488640.5171073958,488640.5171073958
strict_policy,MKD,CHN,791.9008130641496,0.0,-791.9008130641496
strict_policy,MKD,RUS,0.0,791.9008130641496,791.9008130641496
strict_policy,MLI,CHN,966.3121036917381,0.0,-966.3121036917381
strict_policy,MLI,RUS,0.0,966.3121036917381,966.3121036917381
strict_policy,MLT,CHN,2325.6500342379713,0.0,-2325.6500342379713
strict_policy,MLT,RUS,0.0,2325.6500342379713,2325.6500342379713
strict_policy,MMR,CHN,58662.03735232192,0.0,-58662.03735232192
strict_policy,MMR,THA,61.34462199227162,58723.38197431418,58662.03735232191
strict_policy,MNG,CHN,2130.6378985530196,0.0,-2130.6378985530196
strict_policy,MNG,KOR,0.0,2130.6378985530196,2130.6378985530196
strict_policy,MWI,CHN,12485.17846978395,0.0,-12485.17846978395
strict_policy,MWI,THA,0.0,12485.17846978395,12485.17846978395
strict_policy,NAM,CHN,5496.445568915256,0.0,-5496.445568915256
strict_policy,NAM,THA,0.0,5496.445568915256,5496.445568915256
strict_policy,NCL,CHN,0.14317477669363782,0.0,-0.14317477669363782
strict_policy,NCL,KOR,0.0,0.14317477669363782,0.14317477669363782
strict_policy,NER,CHN,4856.886258824806,0.0,-4856.886258824806
strict_policy,NER,KOR,0.0,4856.886258824806,4856.886258824806
strict_policy,NGA,CHN,850961.3363695052,0.0,-850961.3363695052
strict_policy,NGA,KOR,0.0,850961.3363695052,850961.3363695052
strict_policy,NIC,CHN,6538.871845496138,0.0,-6538.871845496138
strict_policy,NIC,KOR,0.0,6538.871845496138,6538.871845496138
strict_policy,NPL,CHN,1372.2595057254912,0.0,-1372.2595057254912
strict_policy,NPL,KOR,0.0,1372.2595057254912,1372.2595057254912
strict_policy,OMN,CHN,3784.6115194794706,0.0,-3784.6115194794706
strict_policy,OMN,KOR,0.0,3784.6115194794706,3784.6115194794706
strict_policy,PAK,CHN,875526.4820662402,0.0,-875526.4820662402
strict_policy,PAK,KOR,0.0,875526.4820662402,875526.4820662402
strict_policy,PAL,CHN,146.9949484417296,0.0,-146.9949484417296
strict_policy,PAL,KOR,0.0,146.9949484417296,146.9949484417296
strict_policy,PAN,CHN,1.8612952349121443,0.0,-1.8612952349121443
strict_policy,PAN,KOR,0.0,1.8612952349121443,1.8612952349121443
strict_policy,PER,CHN,21916.53772021887,0.0,-21916.53772021887
strict_policy,PER,KOR,0.0,21916.53772021887,21916.53772021887
strict_policy,PHL,CHN,1807813.1352557777,0.0,-1807813.1352557777
strict_policy,PHL,KOR,0.0,1807813.1352557777,1807813.1352557777
strict_policy,PLW,CHN,8.385632735802915,0.0,-8.385632735802915
strict_policy,PLW,KOR,0.0,8.385632735802915,8.385632735802915
strict_policy,PRY,CHN,2780.584213492157,0.0,-2780.584213492157
strict_policy,PRY,KOR,0.0,2780.584213492157,2780.584213492157
strict_policy,PYF,CHN,1956.8849425858689,0.0,-1956.8849425858689
strict_policy,PYF,KOR,0.0,1956.8849425858689,1956.8849425858689
strict_policy,QAT,CHN,3.055551068231383,0.0,-3.055551068231383
strict_policy,QAT,KOR,0.0,3.055551068231383,3.055551068231383
strict_policy,ROM,CHN,439867.52358487697,0.0,-439867.52358487697
strict_policy,ROM,KOR,0.0,363076.9510625729,363076.9510625729
strict_policy,ROM,RUS,0.0,76790.57252230408,76790.57252230408
strict_policy,RWA,CHN,8.67765652802138,0.0,-8.67765652802138
strict_policy,RWA,KOR,0.0,8.67765652802138,8.67765652802138
strict_policy,SAU,CHN,54578.130739894346,0.0,-54578.130739894346
strict_policy,SAU,KOR,0.0,54578.130739894346,54578.130739894346
strict_policy,SDN,CHN,12.76837279700341,0.0,-12.76837279700341
strict_policy,SDN,KOR,0.0,12.76837279700341,12.76837279700341
strict_policy,SLB,CHN,7.834664030335648,0.0,-7.834664030335648
strict_policy,SLB,KOR,0.0,7.834664030335648,7.834664030335648
strict_policy,SLE,CHN,208.15752345437488,0.0,-208.15752345437488
strict_policy,SLE,RUS,0.0,208.15752345437488,208.15752345437488
strict_policy,SLV,CHN,0.3150971814870861,0.0,-0.3150971814870861
strict_policy,SLV,KOR,0.0,0.3150971814870861,0.3150971814870861
strict_policy,SYC,CHN,898.1348875008678,0.0,-898.1348875008678
strict_policy,SYC,THA,0.0,898.1348875008678,898.1348875008678
strict_policy,TGO,CHN,2191.1108785445963,0.0,-2191.1108785445963
strict_policy,TGO,KOR,0.0,2191.1108785445963,2191.1108785445963
strict_policy,TJK,CHN,825.3253303840977,0.0,-825.3253303840977
strict_policy,TJK,KOR,0.0,825.3253303840977,825.3253303840977
strict_policy,TON,CHN,0.0065711069141281,0.0,-0.0065711069141281
strict_policy,TON,KOR,0.0,0.0065711069141281,0.0065711069141281
strict_policy,TTO,CHN,4777.06430523801,0.0,-4777.06430523801
strict_policy,TTO,KOR,0.0,4777.06430523801,4777.06430523801
strict_policy,TUN,CHN,854.7620813828296,0.0,-854.7620813828296
strict_policy,TUN,RUS,0.0,854.7620813828296,854.7620813828296
strict_policy,TZA,CHN,24402.937765543924,0.0,-24402.937765543924
strict_policy,TZA,KOR,0.0,9644.31593904218,9644.31593904218
strict_policy,TZA,THA,0.0,14758.621826501745,14758.621826501745
strict_policy,UGA,CHN,314587.9483715965,0.0,-314587.9483715965
strict_policy,UGA,KOR,0.0,314587.9483715965,314587.9483715965
strict_policy,UKR,CHN,210.3059366007688,0.0,-210.3059366007688
strict_policy,UKR,RUS,0.0,210.3059366007688,210.3059366007688
strict_policy,URY,KOR,0.0,1188.9045027782377,1188.9045027782377
strict_policy,URY,RUS,1188.9045027782377,0.0,-1188.9045027782377
strict_policy,UZB,CHN,18403.57945053241,0.0,-18403.57945053241
strict_policy,UZB,KOR,0.0,18403.57945053241,18403.57945053241
strict_policy,VNM,CHN,65489.38045360006,0.0,-65489.38045360006
strict_policy,VNM,KOR,0.0,65489.38045360006,65489.38045360006
strict_policy,WSM,CHN,14.445340307596634,0.0,-14.445340307596634
strict_policy,WSM,KOR,0.0,14.445340307596634,14.445340307596634
strict_policy,YEM,CHN,8075.198512911633,0.0,-8075.198512911633
strict_policy,YEM,KOR,0.0,8075.198512911633,8075.198512911633
strict_policy,ZMB,CHN,12.410924561743643,0.0,-12.410924561743643
strict_policy,ZMB,THA,0.0,12.410924561743643,12.410924561743643
strict_policy,ZWE,CHN,34.08793404652709,0.0,-34.08793404652709
strict_policy,ZWE,THA,0.0,34.08793404652709,34.08793404652709
critical_route_policy,AND,CHN,0.0,10.266376964190506,10.266376964190506
critical_route_policy,AND,RUS,10.266376964190506,0.0,-10.266376964190506
critical_route_policy,ARG,CHN,0.0,8251.041278538765,8251.041278538765
critical_route_policy,ARG,RUS,8251.041278538765,0.0,-8251.041278538765
critical_route_policy,BLR,CHN,0.0,17184.78713042268,17184.78713042268
critical_route_policy,BLR,RUS,17184.78713042268,0.0,-17184.78713042268
critical_route_policy,BRA,CHN,1021934.1233970777,0.0,-1021934.1233970777
critical_route_policy,BRA,KOR,0.0,768647.2405695836,768647.2405695836
critical_route_policy,BRA,RUS,235122.9940766236,488409.87690411764,253286.88282749403
critical_route_policy,CPV,CHN,0.0,50.854643513336036,50.854643513336036
critical_route_policy,CPV,RUS,50.854643513336036,0.0,-50.854643513336036
critical_route_policy,DZA,CHN,0.0,1688.6039449306738,1688.6039449306738
critical_route_policy,DZA,RUS,1688.6039449306738,0.0,-1688.6039449306738
critical_route_policy,EGY,CHN,88809.91654358381,0.0,-88809.91654358381
critical_route_policy,EGY,KOR,0.0,88809.91654358381,88809.91654358381
critical_route_policy,HRV,CHN,0.0,70085.0374100328,70085.0374100328
critical_route_policy,HRV,RUS,70085.0374100328,0.0,-70085.0374100328
critical_route_policy,IDN,CHN,0.0,93315.24115487341,93315.24115487341
critical_route_policy,IDN,THA,93315.24115487341,0.0,-93315.24115487341
critical_route_policy,IND,CHN,152053.88690105866,0.0,-152053.88690105866
critical_route_policy,IND,KOR,0.0,152053.88690105826,152053.88690105826
critical_route_policy,KEN,CHN,202185.23417449254,0.0,-202185.23417449254
critical_route_policy,KEN,THA,0.0,202185.23417449254,202185.23417449254
critical_route_policy,KHM,CHN,0.0,9371.94838331246,9371.94838331246
critical_route_policy,KHM,THA,9371.94838331246,0.0,-9371.94838331246
critical_route_policy,LKA,CHN,0.0,367151.99398825166,367151.99398825166
critical_route_policy,LKA,THA,367151.99398825166,0.0,-367151.99398825166
critical_route_policy,LSO,CHN,0.0,2022.3450509850863,2022.3450509850863
critical_route_policy,LSO,THA,2022.3450509850863,0.0,-2022.3450509850863
critical_route_policy,LTU,CHN,0.0,10475.134847293135,10475.134847293135
critical_route_policy,LTU,RUS,10475.134847293135,0.0,-10475.134847293135
critical_route_policy,MAR,CHN,0.0,16707.59636482931,16707.59636482931
critical_route_policy,MAR,RUS,16707.59636482931,0.0,-16707.59636482931
