source_iso3,destination_iso3,route_access_open_li_t,policy_accessible_li_t,route_access_delta_li_t,route_access_loss_li_t,year,policy_scenario
AUS,AUS,151.67355260381453,62.558014169243314,-89.11553843457122,89.11553843457122,2030,current_policy
AUS,THA,75.74208983779178,0.0,-75.74208983779178,75.74208983779178,2030,current_policy
AUT,RUS,362.46238374822406,0.0,-362.46238374822406,362.46238374822406,2030,current_policy
BEL,CHN,364.1687538093563,0.0,-364.1687538093563,364.1687538093563,2030,current_policy
BRA,CHN,944.4452556931342,757.2867604208968,-187.15849527223736,187.15849527223736,2030,current_policy
CZE,CHN,52.91351937403885,0.0,-52.91351937403885,52.91351937403885,2030,current_policy
CZE,RUS,42.80633373094216,0.0,-42.80633373094216,42.80633373094216,2030,current_policy
DEU,CHN,2265.729079347825,0.0,-2265.729079347825,2265.729079347825,2030,current_policy
DNK,CHN,273.17207555968423,0.0,-273.17207555968423,273.17207555968423,2030,current_policy
DZA,CHN,3.0453173696255633,0.0,-3.0453173696255633,3.0453173696255633,2030,current_policy
ESP,CHN,261.79161127926176,0.0,-261.79161127926176,261.79161127926176,2030,current_policy
FIN,CHN,84.37600688323407,0.0,-84.37600688323407,84.37600688323407,2030,current_policy
FIN,FIN,54.820415712925666,47.0010691896335,-7.819346523292168,7.819346523292168,2030,current_policy
FRA,CHN,232.1505038557049,0.0,-232.1505038557049,232.1505038557049,2030,current_policy
FRA,FRA,2446.613838576117,0.0,-2446.613838576117,2446.613838576117,2030,current_policy
GRC,CHN,478.01148893521037,0.0,-478.01148893521037,478.01148893521037,2030,current_policy
HRV,CHN,7.649814937825724,0.0,-7.649814937825724,7.649814937825724,2030,current_policy
IND,IND,292.1044137462397,292.10441374623963,-5.684341886080802e-14,5.684341886080802e-14,2030,current_policy
IRL,CHN,63.44407231868116,0.0,-63.44407231868116,63.44407231868116,2030,current_policy
ISL,CHN,11.894165126848897,0.0,-11.894165126848897,11.894165126848897,2030,current_policy
ITA,CHN,387.5235681706707,0.0,-387.5235681706707,387.5235681706707,2030,current_policy
ITA,ITA,2394.2337070031303,824.0438986011947,-1570.1898084019358,1570.1898084019358,2030,current_policy
LTU,CHN,11.04089346742371,0.0,-11.04089346742371,11.04089346742371,2030,current_policy
LUX,CHN,10.014340877890717,0.0,-10.014340877890717,10.014340877890717,2030,current_policy
NLD,NLD,605.0224316273309,604.4714368192326,-0.5509948080982667,0.5509948080982667,2030,current_policy
NZL,CHN,73.27291754140177,0.0,-73.27291754140177,73.27291754140177,2030,current_policy
PRT,CHN,351.17687551020856,0.0,-351.17687551020856,351.17687551020856,2030,current_policy
ROM,ROM,22.413206688787106,0.0,-22.413206688787106,22.413206688787106,2030,current_policy
SEN,CHN,7.1218705609696755,0.0,-7.1218705609696755,7.1218705609696755,2030,current_policy
SVK,RUS,73.08432295434267,0.0,-73.08432295434267,73.08432295434267,2030,current_policy
SVN,CHN,10.162359760187881,0.0,-10.162359760187881,10.162359760187881,2030,current_policy
SWE,SWE,489.1338298357177,489.13382983571756,-1.1368683772161603e-13,1.1368683772161603e-13,2030,current_policy
THA,THA,114.65959909947361,114.65959909947358,-2.842170943040401e-14,2.842170943040401e-14,2030,current_policy
TUR,CHN,119.88079578674555,0.0,-119.88079578674555,119.88079578674555,2030,current_policy
TUR,TUR,95.38908476523659,35.98289297473923,-59.40619179049736,59.40619179049736,2030,current_policy
USA,CHN,428.3574647114209,0.0,-428.3574647114209,428.3574647114209,2030,current_policy
VNM,THA,180.88600213440336,86.05958099753863,-94.82642113686472,94.82642113686472,2030,current_policy
AUS,AUS,151.67355260381453,61.35681957939812,-90.31673302441641,90.31673302441641,2030,reference_policy
BEL,CHN,364.1687538093563,301.38812092587796,-62.78063288347835,62.78063288347835,2030,reference_policy
BRA,IND,4873.515052485006,0.0,-4873.515052485006,4873.515052485006,2030,reference_policy
CZE,RUS,42.80633373094216,37.499954659436085,-5.306379071506072,5.306379071506072,2030,reference_policy
DEU,CHN,2265.729079347825,1195.8137147075938,-1069.9153646402312,1069.9153646402312,2030,reference_policy
ESP,CHN,261.79161127926176,0.0,-261.79161127926176,261.79161127926176,2030,reference_policy
FIN,FIN,54.820415712925666,42.38381314502119,-12.436602567904472,12.436602567904472,2030,reference_policy
FRA,FRA,2446.613838576117,1712.2061493677375,-734.4076892083795,734.4076892083795,2030,reference_policy
GBR,GBR,1892.4740654889915,1317.0492202965902,-575.4248451924013,575.4248451924013,2030,reference_policy
IND,IND,292.1044137462397,292.10441374623963,-5.684341886080802e-14,5.684341886080802e-14,2030,reference_policy
ITA,CHN,387.5235681706707,258.3490454471139,-129.17452272355683,129.17452272355683,2030,reference_policy
JPN,JPN,215.05715489486488,215.05715489486485,-2.842170943040401e-14,2.842170943040401e-14,2030,reference_policy
NLD,NLD,605.0224316273309,192.6967459954844,-412.32568563184645,412.32568563184645,2030,reference_policy
POL,POL,998.3125324316597,950.7489817980809,-47.56355063357887,47.56355063357887,2030,reference_policy
ROM,CHN,37.51715912030845,35.8445896944627,-1.6725694258457509,1.6725694258457509,2030,reference_policy
SVK,RUS,73.08432295434267,65.24485674895135,-7.839466205391318,7.839466205391318,2030,reference_policy
SWE,SWE,489.1338298357177,489.13382983571756,-1.1368683772161603e-13,1.1368683772161603e-13,2030,reference_policy
THA,THA,114.65959909947361,114.6595990994736,-1.4210854715202004e-14,1.4210854715202004e-14,2030,reference_policy
TUR,TUR,95.38908476523659,49.936124107790874,-45.452960657445715,45.452960657445715,2030,reference_policy
USA,CHN,428.3574647114209,336.56657941611684,-91.79088529530407,91.79088529530407,2030,reference_policy
VNM,THA,180.88600213440336,105.8890756278711,-74.99692650653226,74.99692650653226,2030,reference_policy
VNM,VNM,110.2625,0.0,-110.2625,110.2625,2030,reference_policy
ABW,CHN,0.4878850819194059,0.0,-0.4878850819194059,0.4878850819194059,2030,strict_policy
ALB,CHN,2.030775683062248,0.0,-2.030775683062248,2.030775683062248,2030,strict_policy
ARG,THA,17.613694607852427,0.0,-17.613694607852427,17.613694607852427,2030,strict_policy
AUS,AUS,151.67355260381453,105.27761248216343,-46.395940121651094,46.395940121651094,2030,strict_policy
AUS,THA,75.74208983779178,0.0,-75.74208983779178,75.74208983779178,2030,strict_policy
AUT,RUS,362.46238374822406,0.0,-362.46238374822406,362.46238374822406,2030,strict_policy
BEL,BEL,153.62919079751546,0.0,-153.62919079751546,153.62919079751546,2030,strict_policy
