Year,country,scenario,retired_lithium_t,collected_lithium_t,capture_loss_lithium_t,avg_collection_rate,capture_loss_share_of_retired,collected_share_of_retired
2030,China,high_collection,43598.60376104637,34839.64426545215,8758.959495594214,0.7991,0.20089999999999997,0.7991
2030,Brazil,high_collection,8534.863618574016,6820.209517602497,1714.6541009715195,0.7991,0.20089999999999997,0.7991
2030,USA,high_collection,8606.786814732362,7573.972396964478,1032.8144177678837,0.88,0.12000000000000002,0.8799999999999999
2030,Germany,high_collection,5202.939489763786,4578.586750992132,624.3527387716543,0.88,0.12000000000000001,0.88
2030,Italy,high_collection,3583.593484522731,3153.5622663800036,430.03121814272765,0.88,0.11999999999999998,0.88
2030,France,high_collection,3450.913036081023,3036.8034717513,414.1095643297228,0.88,0.12,0.8799999999999999
2030,Philippines,high_collection,646.9815770977839,345.6822566433459,301.299320454438,0.5343,0.46570000000000006,0.5343
2030,United Kingdom,high_collection,2437.9760920337208,2145.4189609896744,292.5571310440464,0.88,0.11999999999999997,0.88
2030,Spain,high_collection,1761.179250245852,1549.8377402163496,211.34151002950222,0.88,0.11999999999999998,0.8799999999999999
2030,Indonesia,high_collection,424.06904328241916,226.58008982579653,197.48895345662262,0.5343,0.46570000000000006,0.5343
2030,Canada,high_collection,1341.7865488581406,1180.7721629951636,161.01438586297684,0.88,0.11999999999999998,0.8799999999999999
2030,Poland,high_collection,1286.0742087988115,1131.7453037429539,154.32890505585738,0.88,0.12,0.8799999999999998
2030,Korea,high_collection,1250.2371403537188,1100.2086835112725,150.02845684244622,0.88,0.11999999999999997,0.88
2030,Viet Nam,high_collection,609.8466134014982,487.3284287691373,122.51818463236098,0.7991,0.2009,0.7991000000000001
2030,Netherlands,high_collection,779.4189893272909,685.8887106080159,93.53027871927492,0.88,0.12000000000000001,0.8799999999999999
2030,India,high_collection,414.3994463818271,331.1465976037181,83.25284877810905,0.7991,0.2009,0.7991000000000001
2030,Nigeria,high_collection,177.43743908497046,94.80482370309971,82.63261538187074,0.5343,0.46569999999999995,0.5343
2030,Belgium,high_collection,667.0522109002172,587.0059455921911,80.04626530802607,0.88,0.12,0.8799999999999999
2030,Sri Lanka,high_collection,171.8531169450679,91.82112038374977,80.03199656131812,0.5343,0.4657,0.5342999999999999
2030,Sweden,high_collection,630.1257199190435,554.5106335287581,75.61508639028523,0.88,0.12000000000000001,0.8799999999999998
2030,Greece,high_collection,615.7973855458698,541.9016992803655,73.89568626550438,0.88,0.12000000000000001,0.8800000000000001
2030,Mexico,high_collection,141.26229246613445,75.47644286465564,65.78584960147883,0.5343,0.4657000000000001,0.5343
2030,Turkey,high_collection,305.3966839437113,244.04249013941973,61.35419380429158,0.7991,0.20089999999999994,0.7991
2030,Pakistan,high_collection,126.09201681220733,67.37096458276237,58.72105222944495,0.5343,0.46569999999999995,0.5342999999999999
2030,Austria,high_collection,466.9414719886223,410.9084953499876,56.03297663863467,0.88,0.11999999999999998,0.88
2030,Portugal,high_collection,452.4029376052609,398.11458509262957,54.28835251263131,0.88,0.12000000000000001,0.88
2030,Uganda,high_collection,93.87978834231053,50.15997091129651,43.719817431014015,0.5343,0.4657,0.5342999999999999
2030,Israel,high_collection,361.9114959234961,318.4821164126766,43.42937951081952,0.88,0.11999999999999998,0.8800000000000001
2030,Denmark,high_collection,351.91340339644574,309.68379498887225,42.22960840757348,0.88,0.11999999999999997,0.88
2030,Switzerland,high_collection,347.37063281641156,305.68615687844215,41.684475937969374,0.88,0.11999999999999997,0.8799999999999999
2030,Czechia,high_collection,179.594052583872,143.51360741977214,36.080445164099885,0.7991,0.2009,0.7991000000000001
2030,Saudi Arabia,high_collection,75.83692286179041,40.519667885054616,35.317254976735796,0.5343,0.4657,0.5343
2030,Australia,high_collection,292.967766025299,257.8116341022631,35.15613192303587,0.88,0.11999999999999997,0.8799999999999999
2030,Japan,high_collection,277.04696810151506,243.80133192933323,33.245636172181804,0.88,0.11999999999999998,0.8799999999999999
2030,Russian Federation,high_collection,163.6676130707778,130.78678960485854,32.880823465919256,0.7991,0.20089999999999997,0.7991
2030,Thailand,high_collection,162.66400695493002,129.9848079576846,32.679198997245436,0.7991,0.20089999999999997,0.7991000000000003
2030,Norway,high_collection,242.02069617593833,212.9782126348257,29.0424835411126,0.88,0.12,0.8799999999999999
2030,Kenya,high_collection,56.90699985660878,30.40541002338607,26.50158983322271,0.5343,0.46570000000000006,0.5343
2030,Finland,high_collection,179.31952494068872,157.80118194780607,21.518342992882644,0.88,0.11999999999999998,0.88
2030,United Arab Emirates,high_collection,42.63065041594119,22.77755651723738,19.85309389870381,0.5343,0.4657,0.5343
2030,Argentina,high_collection,37.3720968684666,19.967911356821705,17.404185511644897,0.5343,0.46570000000000006,0.5343
2030,Egypt,high_collection,36.730122112064166,19.624904244475882,17.10521786758828,0.5343,0.46569999999999995,0.5343
2030,Romania,high_collection,85.02134594352492,67.94055754347076,17.08078840005415,0.7991,0.2008999999999999,0.7990999999999999
2030,Peru,high_collection,35.0247714966355,18.713735410652347,16.31103608598315,0.5343,0.46569999999999995,0.5343
2030,Colombia,high_collection,34.219720695502,18.283596767606717,15.93612392789528,0.5343,0.4657,0.5343
2030,Slovakia,high_collection,123.27823755814696,108.4848490511693,14.793388506977633,0.88,0.12,0.8799999999999999
2030,Lebanon,high_collection,27.10679316292281,14.483159586949656,12.623633575973152,0.5343,0.4657,0.5343
2030,New Zealand,high_collection,94.39369575367894,83.06645226323747,11.327243490441472,0.88,0.11999999999999998,0.88
2030,Myanmar,high_collection,23.287182494334154,12.442341606722739,10.844840887611415,0.5343,0.4657,0.5343
2030,Guatemala,high_collection,23.247546319183677,12.42116399833984,10.826382320843837,0.5343,0.46569999999999995,0.5343
2030,Kazakhstan,high_collection,22.31740063855488,11.924187161179871,10.393213477375006,0.5343,0.46569999999999995,0.5343
2030,Ireland,high_collection,81.7317047112278,71.92390014588047,9.807804565347336,0.88,0.12,0.88
2030,Lao People's Dem. Rep.,high_collection,20.64121187314602,11.02859950382192,9.612612369324102,0.5343,0.46570000000000006,0.5343
2030,Belarus,high_collection,20.15813356640868,10.770490764532157,9.38764280187652,0.5343,0.4656999999999999,0.5343
2030,Bulgaria,high_collection,19.650521774075283,10.499273783888425,9.15124799018686,0.5343,0.46570000000000006,0.5343
2030,United Rep. of Tanzania,high_collection,19.03775348194668,10.171871685404112,8.86588179654257,0.5343,0.46570000000000006,0.5343
