policy_scenario,source_iso3,destination_iso3,baseline_policy,comparison_policy,delta_route_value
reference_policy,AUT,KOR,494.925501489283,0.0,-494.925501489283
reference_policy,AUT,RUS,0.0,494.925501489283,494.925501489283
reference_policy,CZE,KOR,3346.077641006782,0.0,-3346.077641006782
reference_policy,CZE,RUS,0.0,3302.2525716119862,3302.2525716119862
reference_policy,DNK,CHN,0.0,356.29668336320793,356.29668336320793
reference_policy,DNK,KOR,356.29668336320793,0.0,-356.29668336320793
reference_policy,GRC,CHN,0.0,509.87881152028217,509.87881152028217
reference_policy,GRC,KOR,509.87881152028217,0.0,-509.87881152028217
reference_policy,HRV,CHN,0.0,295.1845935489265,295.1845935489265
reference_policy,HRV,RUS,996.3797320536017,701.1951385046752,-295.1845935489265
reference_policy,IND,CHN,4878.040745672864,3832.746300171538,-1045.2944455013262
reference_policy,IRL,CHN,0.0,297.7680736637471,297.7680736637471
reference_policy,IRL,KOR,297.7680736637471,0.0,-297.7680736637471
reference_policy,ISL,CHN,0.0,19.240306975800443,19.240306975800443
reference_policy,ISL,KOR,19.240306975800443,0.0,-19.240306975800443
reference_policy,LTU,CHN,0.0,148.91982770918597,148.91982770918597
reference_policy,LTU,RUS,148.91982770918597,0.0,-148.91982770918597
reference_policy,LUX,CHN,0.0,39.519831304885855,39.519831304885855
reference_policy,LUX,KOR,39.519831304885855,0.0,-39.519831304885855
reference_policy,MMR,CHN,784.7880339843952,784.3663203805093,-0.4217136038859053
reference_policy,MMR,THA,1.5462832142481946,1.9679968181340657,0.4217136038858711
reference_policy,NZL,CHN,0.0,265.11345025602793,265.11345025602793
reference_policy,NZL,KOR,265.11345025602793,0.0,-265.11345025602793
reference_policy,PRT,CHN,0.0,529.5149619466164,529.5149619466164
reference_policy,PRT,KOR,529.5149619466164,0.0,-529.5149619466164
reference_policy,ROM,CHN,6148.96405290295,6063.613913053235,-85.35013984971556
reference_policy,SVK,KOR,302.24914037459007,0.0,-302.24914037459007
reference_policy,SVK,RUS,0.0,34.33274959223322,34.33274959223322
reference_policy,TUR,CHN,0.0,1019.6644532218758,1019.6644532218758
reference_policy,TUR,KOR,1019.6644532218758,0.0,-1019.6644532218758
reference_policy,USA,CHN,0.0,9104.840429820228,9104.840429820228
reference_policy,USA,KOR,6069.893619880137,0.0,-6069.893619880137
reference_policy,VNM,CHN,1252.4532769698553,777.8767338765035,-474.5765430933518
strict_policy,ABW,CHN,0.0166908448702421,0.0,-0.0166908448702421
strict_policy,ABW,KOR,0.0,0.0166908448702421,0.0166908448702421
strict_policy,AFG,CHN,0.002815460669770842,0.0,-0.002815460669770842
strict_policy,AFG,KOR,0.0,0.002815460669770842,0.002815460669770842
strict_policy,AGO,CHN,8.443114206997503,0.0,-8.443114206997503
strict_policy,AGO,KOR,0.0,8.443114206997503,8.443114206997503
strict_policy,ALB,CHN,606.2153432839142,0.0,-606.2153432839142
strict_policy,ALB,RUS,0.0,606.2153432839142,606.2153432839142
strict_policy,ARE,CHN,2.5289915876365265,0.0,-2.5289915876365265
strict_policy,ARE,KOR,0.0,2.5289915876365265,2.5289915876365265
strict_policy,ARG,KOR,0.0,110.65534517566579,110.65534517566579
strict_policy,ARG,RUS,110.65534517566579,0.0,-110.65534517566579
strict_policy,ARM,CHN,0.0292748440058437,0.0,-0.0292748440058437
