,country,type,recycling_m,net_profit
6,Afghanistan,LFP,Pyro,0.0
11,Afghanistan,NCA,Pyro,-1707.887894063024
7,Afghanistan,NMC111,Pyro,-5624.984860982561
10,Afghanistan,NMC523,Pyro,-4666.467115101076
8,Afghanistan,NMC622,Pyro,-8584.000878830826
9,Afghanistan,NMC811,Pyro,-34882.935429632525
18,Albania,LFP,Pyro,-5383.810106990062
23,Albania,NCA,Pyro,-165.2079256604799
19,Albania,NMC111,Pyro,-235.16473222646607
22,Albania,NMC523,Pyro,-219.1087259971957
20,Albania,NMC622,Pyro,-336.8490787189007
21,Albania,NMC811,Pyro,-450.49452585532066
264,Algeria,LFP,Pyro,0.0
269,Algeria,NCA,Pyro,-85.28821556527994
265,Algeria,NMC111,Pyro,-173.66209891715235
268,Algeria,NMC523,Pyro,-185.0933945541413
266,Algeria,NMC622,Pyro,-312.1519393937989
267,Algeria,NMC811,Pyro,-386.05638248476765
24,Andorra,LFP,Pyro,0.0
29,Andorra,NCA,Pyro,-1436.4283232883038
25,Andorra,NMC111,Pyro,-2623.9903397205844
28,Andorra,NMC523,Pyro,-2968.080088652431
26,Andorra,NMC622,Pyro,-4824.464079232809
27,Andorra,NMC811,Pyro,-5965.631786775338
12,Angola,LFP,Pyro,0.0
17,Angola,NCA,Pyro,-402.9458190551007
13,Angola,NMC111,Pyro,-753.4842724003112
16,Angola,NMC523,Pyro,-882.6054779597202
14,Angola,NMC622,Pyro,-1507.213789373088
15,Angola,NMC811,Pyro,-2807.6427143900387
36,Argentina,LFP,Pyro,0.0
41,Argentina,NCA,Pyro,-22.863320612141187
37,Argentina,NMC111,Pyro,-57.61168664804509
40,Argentina,NMC523,Pyro,-55.17576002711995
38,Argentina,NMC622,Pyro,-89.42600800782411
39,Argentina,NMC811,Pyro,-106.3949697859289
42,Armenia,LFP,Pyro,0.0
47,Armenia,NCA,Pyro,-59.78781254467041
43,Armenia,NMC111,Pyro,-989.0030082891427
46,Armenia,NMC523,Pyro,-121.2145255586535
44,Armenia,NMC622,Pyro,-140.30918198064774
45,Armenia,NMC811,Pyro,0.0
0,Aruba,LFP,Pyro,0.0
5,Aruba,NCA,Pyro,-488.8191048830296
1,Aruba,NMC111,Pyro,-1186.3482327150855
4,Aruba,NMC523,Pyro,-1047.6405332986076
2,Aruba,NMC622,Pyro,-63.538445287036424
3,Aruba,NMC811,Pyro,0.0
48,Australia,LFP,Pyro,0.0
53,Australia,NCA,Pyro,-21.46407685247638
49,Australia,NMC111,Pyro,-55.15771080549164
52,Australia,NMC523,Pyro,-48.305564466882785
50,Australia,NMC622,Pyro,-75.01759489859283
51,Australia,NMC811,Pyro,-86.89804569112215
54,Austria,LFP,Pyro,-230.63440632056412
59,Austria,NCA,Pyro,-2.7653193186737406
55,Austria,NMC111,Pyro,-6.302764649834202
58,Austria,NMC523,Pyro,-5.929006138450847
56,Austria,NMC622,Pyro,-10.736452769628023
