,country,type,recycling_m,scrap,unit_cost,net_profit
0,Aruba,LFP,Direct,0.0,0.0,0.0
1,Aruba,LFP,Hydro,0.0,0.0,0.0
2,Aruba,LFP,Pyro,0.0,0.0,0.0
3,Aruba,NMC111,Direct,1.7072452716632298,242.03072068458349,-236.6941016669315
4,Aruba,NMC111,Hydro,1.7072452716632298,1239.0086517242573,-1230.9080841688353
5,Aruba,NMC111,Pyro,1.7072452716632298,1190.8962994563256,-1186.3482327150855
6,Aruba,NMC622,Direct,131.2987516089303,29.97019041415109,-21.387322968146087
7,Aruba,NMC622,Hydro,131.2987516089303,56.30330880589536,-48.334243219946565
8,Aruba,NMC622,Pyro,131.2987516089303,68.11943746291642,-63.538445287036424
9,Aruba,NMC811,Direct,0.0,0.0,0.0
10,Aruba,NMC811,Hydro,0.0,0.0,0.0
11,Aruba,NMC811,Pyro,0.0,0.0,0.0
12,Aruba,NMC523,Direct,2.061299050260379,221.0556504125149,-220.9448275911349
13,Aruba,NMC523,Hydro,2.061299050260379,1083.4583002104857,-1075.9391732316321
14,Aruba,NMC523,Pyro,2.061299050260379,1051.8378388459616,-1047.6405332986076
15,Aruba,NCA,Direct,6.49383348853614,127.28638119468295,-116.73949348420794
16,Aruba,NCA,Hydro,6.49383348853614,478.6853990883927,-470.23944397717275
17,Aruba,NCA,Pyro,6.49383348853614,493.8498686775936,-488.8191048830296
18,Afghanistan,LFP,Direct,0.0,0.0,0.0
19,Afghanistan,LFP,Hydro,0.0,0.0,0.0
20,Afghanistan,LFP,Pyro,0.0,0.0,0.0
21,Afghanistan,NMC111,Direct,1.1976945334201123,896.7594090967425,-891.4227900790905
22,Afghanistan,NMC111,Hydro,1.1976945334201123,6290.790056909503,-6282.689489354081
23,Afghanistan,NMC111,Pyro,1.1976945334201123,5629.532927723802,-5624.984860982561
24,Afghanistan,NMC622,Direct,0.7359109762886042,1241.221086618853,-1232.638219172848
25,Afghanistan,NMC622,Hydro,0.7359109762886042,9879.788285553255,-9871.819219967307
26,Afghanistan,NMC622,Pyro,0.7359109762886042,8588.581871006705,-8584.000878830826
27,Afghanistan,NMC811,Direct,0.1461926550704011,3650.1529168670827,-3639.8333365871827
28,Afghanistan,NMC811,Hydro,0.1461926550704011,44186.01492775749,-44178.25403269498
29,Afghanistan,NMC811,Pyro,0.1461926550704011,34887.47427655243,-34882.935429632525
30,Afghanistan,NMC523,Direct,1.4854186100762494,776.7304088971723,-776.6195860757923
31,Afghanistan,NMC523,Hydro,1.4854186100762494,5152.815598160037,-5145.296471181183
32,Afghanistan,NMC523,Pyro,1.4854186100762494,4670.66442064843,-4666.467115101076
33,Afghanistan,NCA,Direct,4.722298644321486,358.9402666903723,-348.3933789798973
34,Afghanistan,NCA,Hydro,4.722298644321486,1763.9930880158786,-1755.5471329046586
35,Afghanistan,NCA,Pyro,4.722298644321486,1712.9186578575882,-1707.887894063024
36,Angola,LFP,Direct,0.0,0.0,0.0
37,Angola,LFP,Hydro,0.0,0.0,0.0
38,Angola,LFP,Pyro,0.0,0.0,0.0
39,Angola,NMC111,Direct,3.094833722433381,187.8394337358333,-182.5028147181813
40,Angola,NMC111,Hydro,3.094833722433381,756.9165891871393,-748.8160216317173
41,Angola,NMC111,Pyro,3.094833722433381,758.0323391415511,-753.4842724003112
42,Angola,NMC622,Direct,1.0657782430776883,315.871323496747,-307.28845605074196
43,Angola,NMC622,Hydro,1.0657782430776883,1594.5090811932673,-1586.5400156073185
44,Angola,NMC622,Pyro,1.0657782430776883,1511.794781548968,-1507.213789373088
45,Angola,NMC811,Direct,0.4087113290993409,504.0283093863986,-493.7087291064986
46,Angola,NMC811,Hydro,0.4087113290993409,3115.6757645466305,-3107.9148694841215
47,Angola,NMC811,Pyro,0.4087113290993409,2812.1815613099398,-2807.6427143900387
48,Angola,NMC523,Direct,2.428924391395116,211.39216998757684,-211.28134716619684
49,Angola,NMC523,Hydro,2.428924391395116,896.5832694161917,-889.0641424373381
50,Angola,NMC523,Pyro,2.428924391395116,886.8027835070742,-882.6054779597202
51,Angola,NCA,Direct,8.055981093583961,117.81945177937803,-107.27256406890302
52,Angola,NCA,Hydro,8.055981093583961,387.846853796208,-379.40089868498796
53,Angola,NCA,Pyro,8.055981093583961,407.9765828496647,-402.9458190551007
54,Albania,LFP,Direct,0.0830883387998987,833.5999248923995,-830.344144146594
55,Albania,LFP,Hydro,0.0830883387998987,6347.57031899426,-6346.007290974751
56,Albania,LFP,Pyro,0.0830883387998987,5384.567594682709,-5383.810106990062
57,Albania,NMC111,Direct,14.29327328219651,79.8509483619016,-74.54785962982649
58,Albania,NMC111,Hydro,14.29327328219651,219.00629707082595,-210.9373844001754
59,Albania,NMC111,Pyro,14.29327328219651,239.69087525872558,-235.16473222646607
60,Albania,NMC622,Direct,7.961932203468427,104.2485944899806,-95.69822757401771
61,Albania,NMC622,Hydro,7.961932203468427,321.1109095352608,-313.1724980817315
62,Albania,NMC622,Pyro,7.961932203468427,341.4070731899705,-336.8490787189007
63,Albania,NMC811,Direct,4.950693811104515,129.44863546450094,-119.16048989716526
64,Albania,NMC811,Hydro,4.950693811104515,438.14349265399863,-430.41224854960154
65,Albania,NMC811,Pyro,4.950693811104515,455.0093455771562,-450.49452585532066
66,Albania,NMC523,Direct,16.07206102692314,75.69525120424788,-75.61715451185452
67,Albania,NMC523,Hydro,16.07206102692314,202.83375822444603,-195.34554652073865
68,Albania,NMC523,Pyro,16.07206102692314,223.2833955873884,-219.1087259971957
69,Albania,NCA,Direct,25.17841747241124,61.6927178221404,-51.17798559782005
70,Albania,NCA,Hydro,25.17841747241124,151.22792729356433,-142.81146606891343
71,Albania,NCA,Pyro,25.17841747241124,170.21493580889478,-165.2079256604799
72,Andorra,LFP,Direct,0.0,0.0,0.0
73,Andorra,LFP,Hydro,0.0,0.0,0.0
74,Andorra,LFP,Pyro,0.0,0.0,0.0
75,Andorra,NMC111,Direct,0.2720851548807391,485.5297709875184,-480.1931519698664
76,Andorra,NMC111,Hydro,0.2720851548807391,2921.9495187645816,-2913.8489512091596
77,Andorra,NMC111,Pyro,0.2720851548807391,2628.5384064618243,-2623.9903397205844
78,Andorra,NMC622,Direct,0.0994865660012913,767.9159287466404,-759.3330613006353
79,Andorra,NMC622,Hydro,0.0994865660012913,5642.170386973552,-5634.2013213876035
80,Andorra,NMC622,Pyro,0.0994865660012913,4829.045071408689,-4824.464079232809
81,Andorra,NMC811,Direct,0.0700445671495982,901.0569395925885,-890.7373593126885
82,Andorra,NMC811,Hydro,0.0700445671495982,7097.645288495054,-7089.884393432545
83,Andorra,NMC811,Pyro,0.0700445671495982,5970.170633695238,-5965.631786775338
84,Andorra,NMC523,Direct,0.2220313075107589,532.6558310223968,-532.5450082010168
85,Andorra,NMC523,Hydro,0.2220313075107589,3337.4725577120807,-3329.953430733227
86,Andorra,NMC523,Pyro,0.2220313075107589,2972.2773941997852,-2968.080088652431
87,Andorra,NCA,Direct,0.7350115788335534,308.71401186487225,-298.16712415439724
88,Andorra,NCA,Hydro,0.7350115788335534,1525.4535879397488,-1517.0076328285288
89,Andorra,NCA,Pyro,0.7350115788335534,1441.4590870828679,-1436.4283232883038
90,United Arab Emirates,LFP,Direct,0.0,0.0,0.0
91,United Arab Emirates,LFP,Hydro,0.0,0.0,0.0
92,United Arab Emirates,LFP,Pyro,0.0,0.0,0.0
93,United Arab Emirates,NMC111,Direct,118.19734588356552,30.650598728054085,-25.313979710402087
94,United Arab Emirates,NMC111,Hydro,118.19734588356552,55.952385146465154,-47.85181759104315
95,United Arab Emirates,NMC111,Pyro,118.19734588356552,67.44150517250979,-62.89343843126979
96,United Arab Emirates,NMC622,Direct,2668.56916978142,7.315089166955438,1.2677782790495637
97,United Arab Emirates,NMC622,Hydro,2668.56916978142,7.057723486336131,0.9113420996126687
98,United Arab Emirates,NMC622,Pyro,2668.56916978142,10.06737704041426,-5.486384864534261
99,United Arab Emirates,NMC811,Direct,0.0,0.0,0.0
100,United Arab Emirates,NMC811,Hydro,0.0,0.0,0.0
101,United Arab Emirates,NMC811,Pyro,0.0,0.0,0.0
102,United Arab Emirates,NMC523,Direct,2459.9439515807794,7.593987297681184,-7.483164476301184
103,United Arab Emirates,NMC523,Hydro,2459.9439515807794,7.44984894563948,0.06927803321412096
104,United Arab Emirates,NMC523,Pyro,2459.9439515807794,10.580079121471186,-6.382773574117186
105,United Arab Emirates,NCA,Direct,477.3472801345075,16.135587944352405,-5.588700233877404
106,United Arab Emirates,NCA,Hydro,477.3472801345075,22.138198336142725,-13.692243224922723
107,United Arab Emirates,NCA,Pyro,477.3472801345075,28.774463938641333,-23.74370014407733
108,Argentina,LFP,Direct,0.0,0.0,0.0
109,Argentina,LFP,Hydro,0.0,0.0,0.0
110,Argentina,LFP,Pyro,0.0,0.0,0.0
111,Argentina,NMC111,Direct,150.89364596640695,28.030516275966175,-22.702809580990884
112,Argentina,NMC111,Hydro,150.89364596640695,50.99531503462008,-42.90316132186369
113,Argentina,NMC111,Pyro,150.89364596640695,62.153926085242105,-57.61168664804509
114,Argentina,NMC622,Direct,80.53529411824465,37.91377803243483,-29.339549200921645
115,Argentina,NMC622,Hydro,80.53529411824465,79.73394746156585,-71.7730297191202
116,Argentina,NMC622,Pyro,80.53529411824465,94.00088741244177,-89.42600800782411
117,Argentina,NMC811,Direct,62.63962688464805,42.78522819866766,-32.474003239839426
118,Argentina,NMC811,Hydro,62.63962688464805,95.35280071968853,-87.59978685776656
119,Argentina,NMC811,Pyro,62.63962688464805,110.92743029609636,-106.3949697859289
120,Argentina,NMC523,Direct,161.77421913359944,27.10727944875773,-27.0051552058858
121,Argentina,NMC523,Hydro,161.77421913359944,48.52939069229938,-41.01848096847364
122,Argentina,NMC523,Pyro,161.77421913359944,59.36704895544292,-55.17576002711995
123,Argentina,NCA,Direct,509.2514043536005,15.614513648127211,-5.076172839758951
124,Argentina,NCA,Hydro,509.2514043536005,21.452745121084096,-13.014629460962455
125,Argentina,NCA,Pyro,509.2514043536005,27.887770706848862,-22.863320612141187
126,Armenia,LFP,Direct,0.0,0.0,0.0
127,Armenia,LFP,Hydro,0.0,0.0,0.0
128,Armenia,LFP,Pyro,0.0,0.0,0.0
129,Armenia,NMC111,Direct,1.438973163824442,232.5255409387133,-227.1889219210613
130,Armenia,NMC111,Hydro,1.438973163824442,1045.9981514683602,-1037.8975839129382
131,Armenia,NMC111,Pyro,1.438973163824442,993.5510750303827,-989.0030082891427
132,Armenia,NMC622,Direct,33.75526156619675,54.52714831679624,-45.94428087079124
133,Armenia,NMC622,Hydro,33.75526156619675,128.62893812794894,-120.65987254200014
134,Armenia,NMC622,Pyro,33.75526156619675,144.89017415652773,-140.30918198064774
135,Armenia,NMC811,Direct,0.0,0.0,0.0
136,Armenia,NMC811,Hydro,0.0,0.0,0.0
137,Armenia,NMC811,Pyro,0.0,0.0,0.0
138,Armenia,NMC523,Direct,42.76566620880781,48.908198904473544,-48.797376083093546
139,Armenia,NMC523,Hydro,42.76566620880781,109.92238761094131,-102.40326063208771
140,Armenia,NMC523,Pyro,42.76566620880781,125.41183110600751,-121.2145255586535
141,Armenia,NCA,Direct,126.13646986768536,29.748261632246862,-19.20137392177186
142,Armenia,NCA,Hydro,126.13646986768536,53.58772549460205,-45.141770383382045
143,Armenia,NCA,Pyro,126.13646986768536,64.81857633923441,-59.78781254467041
144,Australia,LFP,Direct,0.0,0.0,0.0
145,Australia,LFP,Hydro,0.0,0.0,0.0
146,Australia,LFP,Pyro,0.0,0.0,0.0
147,Australia,NMC111,Direct,895.8474444472263,33.309715671506275,-28.02911214491402
148,Australia,NMC111,Hydro,895.8474444472263,46.29360161269473,-38.245916515158335
149,Australia,NMC111,Pyro,895.8474444472263,59.66915193191016,-55.15771080549164
150,Australia,NMC622,Direct,551.3218576064195,41.30004844562651,-32.77147618735069
151,Australia,NMC622,Hydro,551.3218576064195,63.9204419482264,-56.0025869693733
152,Australia,NMC622,Pyro,551.3218576064195,79.56016724875326,-75.01759489859283
153,Australia,NMC811,Direct,436.2815216269694,45.81080365508826,-35.54373801472435
154,Australia,NMC811,Hydro,436.2815216269694,74.67746766977521,-66.9661073174677
155,Australia,NMC811,Pyro,436.2815216269694,91.39675292013564,-86.89804569112215
156,Australia,NMC523,Direct,1113.0723917506434,30.25579641324835,-30.199645663821556
157,Australia,NMC523,Hydro,1113.0723917506434,40.07332663096001,-32.60584652265246
158,Australia,NMC523,Pyro,1113.0723917506434,52.46505452193834,-48.305564466882785
159,Australia,NCA,Direct,3534.08527765625,18.137335733098247,-7.644166782133568
160,Australia,NCA,Hydro,3534.08527765625,18.594534555206277,-10.197851751424269
161,Australia,NCA,Pyro,3534.08527765625,26.45515795031979,-21.46407685247638
162,Austria,LFP,Direct,14.049439539052456,77.90275963011892,-74.72639430221543
163,Austria,LFP,Hydro,14.049439539052456,208.64371238893142,-207.10895814106686
164,Austria,LFP,Pyro,14.049439539052456,231.33852382588032,-230.63440632056412
165,Austria,NMC111,Direct,2494.6687693484864,7.730261005282823,-2.517342144467222
166,Austria,NMC111,Hydro,2494.6687693484864,7.65044581503452,0.3333403249149838
167,Austria,NMC111,Pyro,2494.6687693484864,10.769950295292771,-6.302764649834202
168,Austria,NMC622,Direct,1389.2086698795574,10.03700653422657,-1.5740402639588098
169,Austria,NMC622,Hydro,1389.2086698795574,11.1164625412362,-3.260486388399193
170,Austria,NMC622,Pyro,1389.2086698795574,15.232601657031447,-10.736452769628023
171,Austria,NMC811,Direct,858.244668625578,12.442326773219792,-2.2387156479933394
172,Austria,NMC811,Hydro,858.244668625578,15.11704918739534,-7.465542640542128
173,Austria,NMC811,Pyro,858.244668625578,20.259718600104748,-15.809512982175999
174,Austria,NMC523,Direct,2807.2334477552463,7.333753957214625,-7.3436645927272854
175,Austria,NMC523,Hydro,2807.2334477552463,7.095204042036158,0.3098700941878519
176,Austria,NMC523,Pyro,2807.2334477552463,10.042802959206805,-5.929006138450847
177,Austria,NCA,Direct,4388.1865760526525,6.008786128486444,4.419473344499814
178,Austria,NCA,Hydro,4388.1865760526525,5.334998516743319,3.0021475482207003
179,Austria,NCA,Pyro,4388.1865760526525,7.7084510008495295,-2.7653193186737406
180,Azerbaijan,LFP,Direct,0.0,0.0,0.0
181,Azerbaijan,LFP,Hydro,0.0,0.0,0.0
182,Azerbaijan,LFP,Pyro,0.0,0.0,0.0
183,Azerbaijan,NMC111,Direct,20.89114841315477,67.9821621732528,-62.645543155600805
184,Azerbaijan,NMC111,Hydro,20.89114841315477,176.90951186644602,-168.80894431102402
185,Azerbaijan,NMC111,Pyro,20.89114841315477,194.17443905555595,-189.62637231431594
186,Azerbaijan,NMC622,Direct,12.879478975160668,84.90858649529822,-76.32571904929323
187,Azerbaijan,NMC622,Hydro,12.879478975160668,243.93988951231043,-235.97082392636162
188,Azerbaijan,NMC622,Pyro,12.879478975160668,260.8394553839903,-256.2584632081103
189,Azerbaijan,NMC811,Direct,10.076519044851691,95.04844974200772,-84.72886946210772
190,Azerbaijan,NMC811,Hydro,10.076519044851691,287.1322848888269,-279.37138982631814
191,Azerbaijan,NMC811,Pyro,10.076519044851691,302.97948295212166,-298.44063603222065
192,Azerbaijan,NMC523,Direct,26.012846415277927,61.4644813154994,-61.3536584941194
193,Azerbaijan,NMC523,Hydro,26.012846415277927,152.93227163997776,-145.41314466112416
194,Azerbaijan,NMC523,Pyro,26.012846415277927,169.8577426631455,-165.6604371157915
195,Azerbaijan,NCA,Direct,82.50737785361117,36.15744405097201,-25.61055634049701
196,Azerbaijan,NCA,Hydro,82.50737785361117,71.04204199998327,-62.59608688876327
