year,policy_scenario,frontier_step,target_share_of_cost_to_max_li_gap,target_recovered_lithium_t,recovered_lithium_t,cost_min_recovered_lithium_t,max_lithium_t,processed_scrap_t,unprocessed_scrap_t,route_modeled_cost,transport_cost,recycling_cost,carbon_cost,policy_cost,scenario_description
2050,reference_policy,0,0.0,1684102.4335815096,1684102.4335815082,1684102.4335815096,1719557.219937352,116468553.80763754,4320.405242889559,162841428.44236782,12403382.62546359,135571969.1767037,1050488.9701613362,13815587.670039205,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,reference_policy,1,0.2,1691193.390852678,1691193.3908526767,1684102.4335815096,1719557.219937352,116468553.8076376,4320.405242889559,169887893.35030887,12403414.432364227,142618402.2777441,1050488.970161337,13815587.670039218,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,reference_policy,2,0.4,1698284.3481238466,1698284.3481238452,1684102.4335815096,1719557.219937352,116468553.8076376,4320.405242889559,177592788.80232537,12403506.35692258,150323205.80520222,1050488.970161337,13815587.670039218,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,reference_policy,3,0.6000000000000001,1705375.305395015,1705375.3053950132,1684102.4335815096,1719557.219937352,116468553.8076376,4320.405242889559,187430784.57713157,12403592.485515777,160161115.45141524,1050488.970161337,13815587.670039218,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,reference_policy,4,0.8,1712466.2626661835,1712466.2626661812,1684102.4335815096,1719557.219937352,116468553.8076376,4320.405242889559,197859633.5606854,12403592.485515777,170589964.43496907,1050488.970161337,13815587.670039222,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,reference_policy,5,1.0,1719557.219937352,1719557.2199373515,1684102.4335815096,1719557.219937352,116468553.8076376,4320.405242889559,210106774.80640668,12403892.310161196,182836805.85604492,1050488.970161337,13815587.670039222,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,strict_policy,0,0.0,1684102.4335815099,1684102.4335815096,1684102.4335815099,1719557.219937352,116468553.8076376,4320.405242889559,187785740.73351216,13828013.125961877,162809460.23311746,362006.0595428356,10786261.314889982,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,strict_policy,1,0.2,1691193.3908526783,1691193.3908526772,1684102.4335815099,1719557.219937352,116468553.80763762,4320.405242889559,194908985.4889867,13847293.046904162,169913425.0676497,362006.0595428356,10786261.314889986,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,strict_policy,2,0.4,1698284.3481238468,1698284.3481238459,1684102.4335815099,1719557.219937352,116468553.8076376,4320.405242889559,203252071.5851255,13864653.448798226,178239117.14157057,362039.67986673303,10786261.314889986,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,strict_policy,3,0.6000000000000001,1705375.305395015,1705375.3053950132,1684102.4335815099,1719557.219937352,116468553.8076376,4320.405242889559,213532710.7907297,13848880.204901585,188535487.89680916,362081.3741290105,10786261.314889984,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,strict_policy,4,0.8,1712466.2626661835,1712466.2626661817,1684102.4335815099,1719557.219937352,116468553.8076376,4320.405242889559,225498923.6133241,13829577.557680707,200520803.43556264,362281.3051907879,10786261.314889982,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,strict_policy,5,1.0,1719557.219937352,1719557.219937351,1684102.4335815099,1719557.219937352,116468553.8076376,4320.405242889559,239794066.65750983,13829577.557680707,214815946.47974834,362281.3051907879,10786261.314889979,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,critical_route_policy,0,0.0,1684102.4335815096,1684102.4335815092,1684102.4335815096,1719557.2199373522,116468553.8076376,4320.405242889559,181335200.27050245,13711563.022296667,159178380.56303138,455354.65503480384,7989902.030139594,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,critical_route_policy,1,0.2,1691193.390852678,1691193.3908526776,1684102.4335815096,1719557.2199373522,116468553.80763762,4320.405242889559,188437786.43033367,13742635.998698778,166249893.7464605,455354.655034804,7989902.030139599,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,critical_route_policy,2,0.4,1698284.3481238466,1698284.3481238445,1684102.4335815096,1719557.2199373522,116468553.8076376,4320.405242889559,196482941.39892462,13752649.30341751,174285035.4103327,455354.655034804,7989902.030139599,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,critical_route_policy,3,0.6000000000000001,1705375.3053950153,1705375.3053950132,1684102.4335815096,1719557.2199373522,116468553.8076376,4320.405242889559,206674646.34011316,13737969.294901568,184491420.3600372,455354.655034804,7989902.030139601,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,critical_route_policy,4,0.8,1712466.2626661838,1712466.2626661826,1684102.4335815096,1719557.2199373522,116468553.8076376,4320.405242889559,218060581.82721448,13714962.042355867,195900363.09968418,455354.655034804,7989902.030139601,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2050,critical_route_policy,5,1.0,1719557.2199373522,1719557.2199373513,1684102.4335815096,1719557.2199373522,116468553.8076376,4320.405242889559,232355724.8713988,13714962.042355867,210195506.14386848,455354.655034804,7989902.030139605,Cost-recovery frontier under advanced technology and key destination capacity expansion.
