year,policy_scenario,frontier_step,target_share_of_cost_to_max_li_gap,target_recovered_lithium_t,recovered_lithium_t,cost_min_recovered_lithium_t,max_lithium_t,processed_scrap_t,unprocessed_scrap_t,route_modeled_cost,transport_cost,recycling_cost,carbon_cost,policy_cost,scenario_description
2040,reference_policy,0,0.0,683402.2233655025,683402.2233655025,683402.2233655025,697789.637896461,43973946.622175366,479.09695610377565,61923272.83589764,2920267.787044406,56978404.38289214,405729.65514987736,1618871.0108112183,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,reference_policy,1,0.2,686279.7062716943,686279.706271694,683402.2233655025,697789.637896461,43973946.62217538,479.09695610377565,64789373.38894813,2920282.788539638,59844489.9344474,405729.6551498774,1618871.0108112206,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,reference_policy,2,0.4,689157.1891778859,689157.1891778862,683402.2233655025,697789.637896461,43973946.62217538,479.09695610377565,68058863.19730331,2920309.680003898,63113952.85133831,405729.6551498774,1618871.0108112206,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,reference_policy,3,0.6000000000000001,692034.6720840776,692034.672084078,683402.2233655025,697789.637896461,43973946.62217538,479.09695610377565,72156480.31629166,2920320.9068622817,67211558.74346828,405729.6551498774,1618871.0108112202,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,reference_policy,4,0.8,694912.1549902692,694912.1549902693,683402.2233655025,697789.637896461,43973946.62217538,479.09695610377565,76390695.14555651,2920375.1770341974,71445719.30256122,405729.6551498774,1618871.0108112209,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,reference_policy,5,1.0,697789.637896461,697789.6378964614,683402.2233655025,697789.637896461,43973946.62217538,479.09695610377565,81825735.6721544,2920375.4247526256,76880759.58144066,405729.65514987754,1618871.010811221,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,strict_policy,0,0.0,683402.2233655025,683402.2233655022,683402.2233655025,697789.6378964612,43973946.622175366,479.09695610377565,64397018.73337495,2975940.642285269,59605787.3121998,339317.21493163035,1475973.5639582593,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,strict_policy,1,0.2,686279.7062716943,686279.706271694,683402.2233655025,697789.6378964612,43973946.62217538,479.09695610377565,67274625.39512196,2976819.2817806564,62482515.33445142,339317.2149316304,1475973.5639582616,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,strict_policy,2,0.4,689157.189177886,689157.1891778864,683402.2233655025,697789.6378964612,43973946.62217538,479.09695610377565,70591756.15608062,3027864.5569360107,65748600.82025473,339317.21493163035,1475973.5639582616,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,strict_policy,3,0.6000000000000001,692034.6720840777,692034.6720840781,683402.2233655025,697789.6378964612,43973946.62217538,479.09695610377565,74699888.21785235,3035097.93440214,69849499.50456032,339317.21493163035,1475973.5639582612,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,strict_policy,4,0.8,694912.1549902695,694912.1549902695,683402.2233655025,697789.6378964612,43973946.62217538,479.09695610377565,78965362.28059596,3038613.7034403775,74111457.1119265,339317.90127082,1475973.5639582614,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,strict_policy,5,1.0,697789.6378964612,697789.6378964619,683402.2233655025,697789.6378964612,43973946.62217538,479.09695610377565,84749129.17417195,2992703.5133948037,79941095.68229917,339356.4145196992,1475973.5639582612,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,critical_route_policy,0,0.0,683402.2233655027,683402.2233655027,683402.2233655027,697789.6378964611,43973946.62217538,479.09695610377565,63180339.07940394,2955527.024735787,58656300.04176018,363498.59575932065,1205013.4171486585,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,critical_route_policy,1,0.2,686279.7062716944,686279.7062716943,683402.2233655027,697789.6378964611,43973946.62217538,479.09695610377565,66055743.909116775,2955541.6426507365,61531690.25355807,363498.59575932065,1205013.4171486585,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,critical_route_policy,2,0.4,689157.189177886,689157.1891778864,683402.2233655027,697789.6378964611,43973946.62217538,479.09695610377565,69352973.1480803,2987080.624803434,64797380.5103689,363498.5957593206,1205013.4171486588,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,critical_route_policy,3,0.6000000000000001,692034.6720840777,692034.6720840782,683402.2233655027,697789.6378964611,43973946.62217538,479.09695610377565,73456596.98062035,2994281.1757060755,68893803.79200631,363498.59575932065,1205013.417148659,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,critical_route_policy,4,0.8,694912.1549902693,694912.1549902693,683402.2233655027,697789.6378964611,43973946.62217538,479.09695610377565,77696377.44625154,2995467.155528534,73132398.27781501,363498.59575932065,1205013.417148659,Cost-recovery frontier under advanced technology and key destination capacity expansion.
2040,critical_route_policy,5,1.0,697789.6378964611,697789.6378964615,683402.2233655027,697789.6378964611,43973946.62217538,479.09695610377565,83299290.29199915,2991684.855289722,78739093.42380144,363498.59575932065,1205013.4171486592,Cost-recovery frontier under advanced technology and key destination capacity expansion.
