potential_lithium_t,processed_contained_lithium_t,recovered_lithium_t,unprocessed_lithium_t,technology_recovery_loss_t,total_lithium_loss_t,processed_scrap_t,unprocessed_scrap_t,mitigation_scenario,scenario_description,year,policy_scenario,strategy,route_access_loss_t,route_access_displaced_lithium_t,baseline_total_lithium_loss_t,loss_reduction_vs_baseline_t,loss_reduction_vs_baseline_pct
1772802.5202866704,1772739.4037700105,1644924.8927581927,63.11651665989836,127814.51101181773,127877.6275284777,116468553.8076376,4320.405242889559,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2050,current_policy,Strategy 3,0.0,2.2737367544323206e-13,127877.62752847793,2.3283064365386963e-10,1.820730085112183e-13
1772802.5202866704,1772739.4037700105,1644924.8927581927,63.11651665989836,127814.51101181773,127877.6275284777,116468553.8076376,4320.405242889559,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,2.3283064365386963e-10,1.820730085112183e-13
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.80763762,4320.405242889559,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2050,strict_policy,Strategy 3,2.3283064365386963e-10,1082803.2201657014,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2050,critical_route_policy,Strategy 3,2.3283064365386963e-10,1013781.4438323372,127877.6275284777,-2.3283064365386963e-10,-1.820730085112186e-13
75378.62862563446,75378.27351601436,68954.65935679236,0.3551096201077779,6423.614159222008,6423.9692688421055,4553741.048207438,24.27808190303014,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2030,current_policy,Strategy 3,0.0,9553.709611561197,8887.453557158195,2463.484288316089,27.71867411146056
75378.62862563446,75378.27351601436,68644.44427216102,0.3551096201077779,6733.829243853339,6734.184353473436,4553741.048207439,24.27808190303014,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,2153.2692036847584,24.22819078419214
75378.62862563446,75378.27351601435,68930.15277824567,0.3551096201077779,6448.120737768681,6448.475847388792,4553741.048207439,24.27808190303014,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2030,strict_policy,Strategy 3,0.0,8165.931056872216,8887.453557158195,2438.9777097694023,27.44293057717285
75378.62862563446,75378.27351601436,68747.45527680303,0.3551096201077779,6630.818239211338,6631.173348831435,4553741.048207439,24.27808190303014,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2030,critical_route_policy,Strategy 3,0.0,12820.644842371576,8887.453557158195,2256.2802083267597,25.387251745574417
719377.7605188857,719370.7614373711,668084.4128047223,6.999081514646854,51286.34863264882,51293.34771416336,43973946.62217538,479.09695610377565,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2040,current_policy,Strategy 3,0.0,6947.59287913628,60002.52058539144,8709.172871228075,14.514678360609503
719377.7605188857,719370.7614373711,666233.2888981119,6.999081514646854,53137.47253925924,53144.47162077378,43973946.62217538,479.09695610377565,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,6858.0489646176575,11.429601452921892
719377.7605188857,719370.7614373711,666249.1813586071,6.999081514646854,53121.580078764004,53128.57916027855,43973946.62217537,479.09695610377565,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2040,strict_policy,Strategy 3,0.0,112070.24693029345,60002.52058539132,6873.941425112775,11.456087774396527
719377.7605188857,719370.7614373711,666345.4513614188,6.999081514646854,53025.31007595232,53032.309157466865,43973946.62217538,479.09695610377565,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2040,critical_route_policy,Strategy 3,0.0,109766.46807511746,60002.520585391205,6970.21142792434,11.616531038900014
1772802.5202866704,1772739.4037700105,1667962.0989915824,63.11651665989836,104777.30477842805,104840.42129508802,116468553.8076376,4320.405242889559,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2050,current_policy,Strategy 3,0.0,0.0,127877.62752847793,23037.20623338991,18.015040377770223
1772802.5202866704,1772739.4037700105,1655844.7925050682,63.11651665989836,116894.61126494221,116957.72778160218,116468553.8076376,4320.405242889559,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,10919.899746875744,8.539335580372665
1772802.5202866704,1772739.4037700102,1655876.2005105645,63.11651665989836,116863.20325944573,116926.31977610593,116468553.80763762,4320.405242889559,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2050,strict_policy,Strategy 3,0.0,790630.5623891987,127877.62752847793,10951.307752371999,8.563896565826715
1772802.5202866704,1772739.4037700105,1655888.559612716,63.11651665989836,116850.84415729437,116913.96067395434,116468553.8076376,4320.405242889559,high_direct_maturity,Lower Direct recycling cost and improve Direct Li recovery.,2050,critical_route_policy,Strategy 3,0.0,732425.5789247961,127877.6275284777,10963.666854523355,8.573561354257846
75378.62862563446,75378.27351601436,71609.35984021363,0.3551096201077779,3768.913675800737,3769.2687854208343,4553741.048207439,24.27808190303014,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2030,current_policy,Strategy 3,1.4551915228366852e-11,9155.043221878772,8887.453557158195,5118.18477173736,57.588877835710726
75378.62862563446,75378.27351601435,71609.35984021364,0.3551096201077779,3768.913675800708,3769.2687854208198,4553741.048207438,24.27808190303014,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,5118.184771737375,57.588877835710896
75378.62862563446,75378.27351601435,71609.35984021363,0.3551096201077779,3768.9136758007226,3769.2687854208343,4553741.048207439,24.27808190303014,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2030,strict_policy,Strategy 3,0.0,7748.729917788667,8887.453557158195,5118.18477173736,57.588877835710726
75378.62862563446,75378.27351601436,71609.35984021364,0.3551096201077779,3768.9136758007226,3769.2687854208198,4553741.048207439,24.27808190303014,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2030,critical_route_policy,Strategy 3,0.0,10930.07314888449,8887.453557158195,5118.184771737375,57.588877835710896
719377.7605188857,719370.7614373711,683402.2233655025,6.999081514646854,35968.53807186859,35975.537153383135,43973946.62217538,479.09695610377565,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2040,current_policy,Strategy 3,0.0,10071.107586475135,60002.52058539144,24026.983432008303,40.043290177809716
719377.7605188857,719370.7614373711,683402.2233655025,6.999081514646854,35968.53807186859,35975.537153383135,43973946.62217538,479.09695610377565,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,24026.983432008303,40.043290177809716
719377.7605188857,719370.7614373711,683402.2233655025,6.999081514646854,35968.53807186859,35975.537153383135,43973946.62217538,479.09695610377565,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2040,strict_policy,Strategy 3,0.0,110271.17234254436,60002.52058539132,24026.983432008186,40.043290177809595
719377.7605188857,719370.7614373711,683402.2233655025,6.999081514646854,35968.53807186859,35975.537153383135,43973946.62217538,479.09695610377565,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2040,critical_route_policy,Strategy 3,0.0,102463.40099032743,60002.520585391205,24026.98343200807,40.04329017780948
1772802.5202866704,1772739.4037700105,1684102.4335815096,63.11651665989836,88636.97018850083,88700.0867051608,116468553.8076376,4320.405242889559,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2050,current_policy,Strategy 3,0.0,54.603247028636474,127877.62752847793,39177.54082331713,30.636743565321794
1772802.5202866704,1772739.4037700105,1684102.4335815096,63.11651665989836,88636.97018850083,88700.0867051608,116468553.8076376,4320.405242889559,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,39177.54082331713,30.636743565321794
1772802.5202866704,1772739.4037700105,1684102.4335815096,63.11651665989836,88636.97018850083,88700.0867051608,116468553.80763762,4320.405242889559,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2050,strict_policy,Strategy 3,0.0,811887.6355476005,127877.62752847793,39177.54082331713,30.636743565321794
1772802.5202866704,1772739.4037700105,1684102.4335815096,63.11651665989836,88636.97018850083,88700.0867051608,116468553.8076376,4320.405242889559,high_recovery_efficiency,Improve technology-specific Li recovery without changing costs.,2050,critical_route_policy,Strategy 3,0.0,739522.8507198688,127877.6275284777,39177.5408233169,30.636743565321666
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207439,24.27808190303014,capacity_expansion,Expand capacity in key destination countries.,2030,current_policy,Strategy 3,0.0,9227.388352360284,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207438,24.27808190303014,capacity_expansion,Expand capacity in key destination countries.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207438,24.27808190303014,capacity_expansion,Expand capacity in key destination countries.,2030,strict_policy,Strategy 3,0.0,6688.522722042251,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207439,24.27808190303014,capacity_expansion,Expand capacity in key destination countries.,2030,critical_route_policy,Strategy 3,0.0,9720.503087531748,8887.453557158195,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334944,6.999081514646854,59995.52150387678,60002.52058539132,43973946.62217538,479.09695610377565,capacity_expansion,Expand capacity in key destination countries.,2040,current_policy,Strategy 3,0.0,2156.707062168411,60002.52058539144,1.1641532182693481e-10,1.9401738575508771e-13
719377.7605188857,719370.7614373711,659375.2399334944,6.999081514646854,59995.52150387678,60002.52058539132,43973946.622175366,479.09695610377565,capacity_expansion,Expand capacity in key destination countries.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,1.1641532182693481e-10,1.9401738575508771e-13
719377.7605188857,719370.7614373713,659375.2399334945,6.999081514646854,59995.52150387678,60002.520585391205,43973946.62217538,479.09695610377565,capacity_expansion,Expand capacity in key destination countries.,2040,strict_policy,Strategy 3,0.0,84623.17610429607,60002.52058539132,1.1641532182693481e-10,1.940173857550881e-13
719377.7605188857,719370.7614373711,659375.2399334945,6.999081514646854,59995.52150387666,60002.520585391205,43973946.62217538,479.09695610377565,capacity_expansion,Expand capacity in key destination countries.,2040,critical_route_policy,Strategy 3,0.0,78483.63745046675,60002.520585391205,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,capacity_expansion,Expand capacity in key destination countries.,2050,current_policy,Strategy 3,0.0,53.333003071443954,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,capacity_expansion,Expand capacity in key destination countries.,2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,capacity_expansion,Expand capacity in key destination countries.,2050,strict_policy,Strategy 3,0.0,770508.4662343996,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,capacity_expansion,Expand capacity in key destination countries.,2050,critical_route_policy,Strategy 3,0.0,721993.8751477463,127877.6275284777,-2.3283064365386963e-10,-1.820730085112186e-13
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207438,24.27808190303014,policy_relaxation,Use open-policy route costs for all policy scenarios.,2030,current_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207438,24.27808190303014,policy_relaxation,Use open-policy route costs for all policy scenarios.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207438,24.27808190303014,policy_relaxation,Use open-policy route costs for all policy scenarios.,2030,strict_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207438,24.27808190303014,policy_relaxation,Use open-policy route costs for all policy scenarios.,2030,critical_route_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,policy_relaxation,Use open-policy route costs for all policy scenarios.,2040,current_policy,Strategy 3,0.0,0.0,60002.52058539144,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,policy_relaxation,Use open-policy route costs for all policy scenarios.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,policy_relaxation,Use open-policy route costs for all policy scenarios.,2040,strict_policy,Strategy 3,0.0,0.0,60002.52058539132,-1.1641532182693481e-10,-1.940173857550881e-13
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,policy_relaxation,Use open-policy route costs for all policy scenarios.,2040,critical_route_policy,Strategy 3,0.0,0.0,60002.520585391205,-2.3283064365386963e-10,-3.880347715101769e-13
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,policy_relaxation,Use open-policy route costs for all policy scenarios.,2050,current_policy,Strategy 3,0.0,0.0,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,policy_relaxation,Use open-policy route costs for all policy scenarios.,2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,policy_relaxation,Use open-policy route costs for all policy scenarios.,2050,strict_policy,Strategy 3,0.0,0.0,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,policy_relaxation,Use open-policy route costs for all policy scenarios.,2050,critical_route_policy,Strategy 3,0.0,0.0,127877.6275284777,-2.3283064365386963e-10,-1.820730085112186e-13
75378.62862563446,75378.27351601436,72712.14827136147,0.3551096201077779,2666.125244652896,2666.4803542729933,4553741.048207438,24.27808190303014,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2030,current_policy,Strategy 3,0.0,5387.317748095556,8887.453557158195,6220.973202885201,69.99725132599609
75378.62862563446,75378.27351601436,72712.14827136145,0.3551096201077779,2666.1252446529106,2666.480354273008,4553741.048207439,24.27808190303014,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,6220.973202885187,69.99725132599592
75378.62862563446,75378.27351601436,72712.14827136147,0.3551096201077779,2666.125244652896,2666.4803542729933,4553741.048207439,24.27808190303014,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2030,strict_policy,Strategy 3,0.0,10755.67971823086,8887.453557158195,6220.973202885201,69.99725132599609
75378.62862563446,75378.27351601435,72712.14827136145,0.3551096201077779,2666.125244652896,2666.480354273008,4553741.048207438,24.27808190303014,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2030,critical_route_policy,Strategy 3,0.0,11016.819328654661,8887.453557158195,6220.973202885187,69.99725132599592
719377.7605188857,719370.7614373711,693834.4573615417,6.999081514646854,25536.304075829452,25543.303157343995,43973946.62217538,479.09695610377565,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2040,current_policy,Strategy 3,0.0,14144.423063983133,60002.52058539144,34459.21742804744,57.42961644254172
719377.7605188857,719370.7614373711,693834.4573615417,6.999081514646854,25536.304075829452,25543.303157343995,43973946.62217538,479.09695610377565,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,34459.21742804744,57.42961644254172
719377.7605188857,719370.7614373711,693834.4573615417,6.999081514646854,25536.304075829452,25543.303157343995,43973946.62217538,479.09695610377565,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2040,strict_policy,Strategy 3,0.0,114449.40681205322,60002.52058539132,34459.21742804733,57.42961644254164
719377.7605188857,719370.7614373711,693834.4573615418,6.999081514646854,25536.304075829335,25543.30315734388,43973946.62217538,479.09695610377565,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2040,critical_route_policy,Strategy 3,0.0,85398.33241931518,60002.520585391205,34459.21742804733,57.42961644254175
1772802.5202866704,1772739.4037700105,1719459.0611211287,63.11651665989836,53280.34264888172,53343.45916554169,116468553.8076376,4320.405242889559,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2050,current_policy,Strategy 3,0.0,2.6705961601834134,127877.62752847793,74534.16836293624,58.285542047875204
1772802.5202866704,1772739.4037700102,1719459.061121129,63.11651665989836,53280.342648881255,53343.459165541455,116468553.80763763,4320.405242889559,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,74534.16836293647,58.28554204787538
1772802.5202866704,1772739.4037700105,1719459.0611211287,63.11651665989836,53280.34264888172,53343.45916554169,116468553.80763762,4320.405242889559,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2050,strict_policy,Strategy 3,0.0,1136535.8898161538,127877.62752847793,74534.16836293624,58.285542047875204
1772802.5202866704,1772739.4037700102,1719459.061121129,63.11651665989836,53280.342648881255,53343.459165541455,116468553.8076376,4320.405242889559,combined_mitigation,"Combine Direct maturity, high Li recovery, high Li value, and key destination capacity expansion.",2050,critical_route_policy,Strategy 3,0.0,1032389.2273441727,127877.6275284777,74534.16836293624,58.2855420478753
75378.62862563446,75378.27351601433,73116.92523741705,0.3551096201077779,2261.3482785972883,2261.7033882174146,4553741.048207439,24.27808190303014,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2030,current_policy,Strategy 3,0.0,1074.29560596203,8887.453557158195,6625.75016894078,74.55172762736095
75378.62862563446,75378.27351601435,73116.92523741702,0.3551096201077779,2261.348278597332,2261.7033882174437,4553741.048207439,24.27808190303014,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,6625.750168940751,74.55172762736063
75378.62862563446,75378.27351601436,73116.92523741705,0.3551096201077779,2261.3482785973174,2261.7033882174146,4553741.048207439,24.27808190303014,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2030,strict_policy,Strategy 3,0.0,6188.104856746707,8887.453557158195,6625.75016894078,74.55172762736095
75378.62862563446,75378.27351601436,73116.92523741705,0.3551096201077779,2261.3482785973174,2261.7033882174146,4553741.048207439,24.27808190303014,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2030,critical_route_policy,Strategy 3,0.0,6661.801394750531,8887.453557158195,6625.75016894078,74.55172762736095
719377.7605188857,719370.7614373711,697789.637896461,6.999081514646854,21581.123540910194,21588.122622424737,43973946.62217538,479.09695610377565,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2040,current_policy,Strategy 3,1.1641532182693481e-10,141.73057797467686,60002.52058539144,38414.3979629667,64.0213070854215
719377.7605188857,719370.7614373711,697789.637896461,6.999081514646854,21581.123540910194,21588.122622424737,43973946.62217538,479.09695610377565,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,38414.3979629667,64.0213070854215
719377.7605188857,719370.7614373711,697789.6378964612,6.999081514646854,21581.12354090996,21588.122622424504,43973946.62217538,479.09695610377565,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2040,strict_policy,Strategy 3,0.0,97994.68252242329,60002.52058539132,38414.39796296682,64.02130708542182
719377.7605188857,719370.7614373711,697789.6378964611,6.999081514646854,21581.123540910077,21588.12262242462,43973946.62217538,479.09695610377565,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2040,critical_route_policy,Strategy 3,0.0,83480.6467956271,60002.520585391205,38414.397962966585,64.02130708542155
1772802.5202866704,1772739.4037700105,1719557.219937352,63.11651665989836,53182.183832658455,53245.30034931842,116468553.8076376,4320.405242889559,max_lithium,Upper-bound case that maximizes recovered lithium under advanced technology and key destination capacity expansion.,2050,current_policy,Strategy 3,0.0,0.0,127877.62752847793,74632.3271791595,58.362302008253266
