potential_lithium_t,processed_contained_lithium_t,recovered_lithium_t,unprocessed_lithium_t,technology_recovery_loss_t,total_lithium_loss_t,processed_scrap_t,unprocessed_scrap_t,mitigation_scenario,scenario_description,year,policy_scenario,strategy,route_access_loss_t,route_access_displaced_lithium_t,baseline_total_lithium_loss_t,loss_reduction_vs_baseline_t,loss_reduction_vs_baseline_pct
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207439,24.27808190303014,baseline,Cost-minimizing joint transport and technology choice.,2030,current_policy,Strategy 3,0.0,8500.698553704487,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207438,24.27808190303014,baseline,Cost-minimizing joint transport and technology choice.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207439,24.27808190303014,baseline,Cost-minimizing joint transport and technology choice.,2030,strict_policy,Strategy 3,0.0,7194.899642611984,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207439,24.27808190303014,baseline,Cost-minimizing joint transport and technology choice.,2030,critical_route_policy,Strategy 3,0.0,10148.860552243168,8887.453557158195,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,baseline,Cost-minimizing joint transport and technology choice.,2040,current_policy,Strategy 3,0.0,9717.028646066425,60002.52058539144,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,baseline,Cost-minimizing joint transport and technology choice.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334944,6.999081514646854,59995.52150387678,60002.52058539132,43973946.62217538,479.09695610377565,baseline,Cost-minimizing joint transport and technology choice.,2040,strict_policy,Strategy 3,0.0,106394.27007281702,60002.52058539132,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334945,6.999081514646854,59995.52150387666,60002.520585391205,43973946.62217538,479.09695610377565,baseline,Cost-minimizing joint transport and technology choice.,2040,critical_route_policy,Strategy 3,0.0,98861.00352393065,60002.520585391205,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,baseline,Cost-minimizing joint transport and technology choice.,2050,current_policy,Strategy 3,0.0,53.333003071443954,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.8076376,4320.405242889559,baseline,Cost-minimizing joint transport and technology choice.,2050,reference_policy,Strategy 3,0.0,0.0,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581925,63.11651665989836,127814.51101181796,127877.62752847793,116468553.80763762,4320.405242889559,baseline,Cost-minimizing joint transport and technology choice.,2050,strict_policy,Strategy 3,0.0,793000.5652890722,127877.62752847793,0.0,0.0
1772802.5202866704,1772739.4037700105,1644924.8927581927,63.11651665989836,127814.51101181773,127877.6275284777,116468553.8076376,4320.405242889559,baseline,Cost-minimizing joint transport and technology choice.,2050,critical_route_policy,Strategy 3,0.0,722319.2138768065,127877.6275284777,0.0,0.0
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207439,24.27808190303014,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2030,current_policy,Strategy 3,0.0,3803.785607126923,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601436,66491.17506847627,0.3551096201077779,8887.098447538097,8887.453557158195,4553741.048207438,24.27808190303014,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2030,reference_policy,Strategy 3,0.0,0.0,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207439,24.27808190303014,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2030,strict_policy,Strategy 3,0.0,9117.328435005229,8887.453557158195,0.0,0.0
75378.62862563446,75378.27351601435,66491.17506847627,0.3551096201077779,8887.098447538083,8887.453557158195,4553741.048207439,24.27808190303014,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2030,critical_route_policy,Strategy 3,0.0,10265.826860208485,8887.453557158195,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334942,6.999081514646854,59995.521503876895,60002.52058539144,43973946.62217538,479.09695610377565,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2040,current_policy,Strategy 3,0.0,3387.9115644975795,60002.52058539144,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334944,6.999081514646854,59995.52150387678,60002.52058539132,43973946.62217538,479.09695610377565,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2040,reference_policy,Strategy 3,0.0,0.0,60002.52058539144,1.1641532182693481e-10,1.9401738575508771e-13
719377.7605188857,719370.7614373711,659375.2399334944,6.999081514646854,59995.52150387678,60002.52058539132,43973946.62217538,479.09695610377565,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2040,strict_policy,Strategy 3,0.0,107640.0798060845,60002.52058539132,0.0,0.0
719377.7605188857,719370.7614373711,659375.2399334945,6.999081514646854,59995.52150387666,60002.520585391205,43973946.62217538,479.09695610377565,lithium_aware_high_price,Internalize recovered lithium value with a high lithium shadow price.,2040,critical_route_policy,Strategy 3,0.0,103771.35883922077,60002.520585391205,0.0,0.0
